Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 596114;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 596114;
007845614_00317 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00318 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00319 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00320 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00321 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00322 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00323 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00324 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00325 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00326 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00327 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00306 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00307 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00308 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00309 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00310 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00311 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00312 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00313 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00314 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00315 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
007845614_00316 (imageset: 8A7DAEBF-EC26-49C9-86D4-E4FE0253729E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC386683-180D-42BF-85B2-99D6FD2869AC/manage/8A7DAEBF-EC26-49C9-86D4-E4FE0253729E/batches/E7D792B7-BA19-45E6-B568-848686C33E30]
