Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
34E91D60-E5C4-4DD8-9C71-BE8D25D3706E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/ACC59875-186E-438E-BF7A-1A3A9224CD04/batches/34E91D60-E5C4-4DD8-9C71-BE8D25D3706E]
34E91D60-E5C4-4DD8-9C71-BE8D25D3706E;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/ACC59875-186E-438E-BF7A-1A3A9224CD04/batches/34E91D60-E5C4-4DD8-9C71-BE8D25D3706E]
6FFC9C9C-FFDF-4205-8632-1B586278D4BE;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/00033166-DDA1-47FD-A6E2-56F55385D06F/batches/6FFC9C9C-FFDF-4205-8632-1B586278D4BE]
454129C6-C5DF-45E6-B0E8-4824733C51E3;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/001449DB-2C02-4A3F-A7FB-AAE628365E63/batches/454129C6-C5DF-45E6-B0E8-4824733C51E3]
06A60779-DB19-435D-AE29-261D994EE388;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/001449DB-2C02-4A3F-A7FB-AAE628365E63/batches/06A60779-DB19-435D-AE29-261D994EE388]
BBDDFDEF-DB52-4568-89A9-6F7D50493CA3;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/00033166-DDA1-47FD-A6E2-56F55385D06F/batches/BBDDFDEF-DB52-4568-89A9-6F7D50493CA3]
ECC6EC0C-2DCB-420F-BB7A-B57CC3AB1621;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/0934E3CB-7F23-41F7-926F-7867452C21A7/batches/ECC6EC0C-2DCB-420F-BB7A-B57CC3AB1621]
ECC6EC0C-2DCB-420F-BB7A-B57CC3AB1621;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/0934E3CB-7F23-41F7-926F-7867452C21A7/batches/ECC6EC0C-2DCB-420F-BB7A-B57CC3AB1621]
2898EC5F-F455-44FE-ACBD-D9B7E95570DD;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/93BF152B-9370-4DB8-B527-DCE772C22817/batches/2898EC5F-F455-44FE-ACBD-D9B7E95570DD]
2898EC5F-F455-44FE-ACBD-D9B7E95570DD;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/93BF152B-9370-4DB8-B527-DCE772C22817/batches/2898EC5F-F455-44FE-ACBD-D9B7E95570DD]
E39E34FC-0E17-4DDC-AA38-04EE0E0F264F;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/00033166-DDA1-47FD-A6E2-56F55385D06F/batches/E39E34FC-0E17-4DDC-AA38-04EE0E0F264F]
5610A0FB-06A7-4112-9F71-066A57B73492;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/699BB85F-6178-4859-962D-38DD79A15187/batches/5610A0FB-06A7-4112-9F71-066A57B73492]
5610A0FB-06A7-4112-9F71-066A57B73492;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/699BB85F-6178-4859-962D-38DD79A15187/batches/5610A0FB-06A7-4112-9F71-066A57B73492]
70A6EC34-BF08-43BE-8EF0-0EEC5236B049;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/00033166-DDA1-47FD-A6E2-56F55385D06F/batches/70A6EC34-BF08-43BE-8EF0-0EEC5236B049]
1A38C9B2-AFD7-49E8-83E7-F47B62515A00;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/00033166-DDA1-47FD-A6E2-56F55385D06F/batches/1A38C9B2-AFD7-49E8-83E7-F47B62515A00]
BAA0F35C-C38F-4246-9E9C-0AC77AAA9D19;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/45EAE486-F27F-4A3D-A0C8-2E3551F69C31/batches/BAA0F35C-C38F-4246-9E9C-0AC77AAA9D19]
BAA0F35C-C38F-4246-9E9C-0AC77AAA9D19;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/45EAE486-F27F-4A3D-A0C8-2E3551F69C31/batches/BAA0F35C-C38F-4246-9E9C-0AC77AAA9D19]
10ED6673-6335-4B00-99FE-1F60310067F2;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/001449DB-2C02-4A3F-A7FB-AAE628365E63/batches/10ED6673-6335-4B00-99FE-1F60310067F2]
3270367E-F5DE-49B6-B1FC-75CADB9AEED5;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/001449DB-2C02-4A3F-A7FB-AAE628365E63/batches/3270367E-F5DE-49B6-B1FC-75CADB9AEED5]
B0B35A47-4472-48E5-9B93-2E72A8DD15F4;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/manage/99757CF7-258E-4591-BA77-3E801EEFC936/batches/B0B35A47-4472-48E5-9B93-2E72A8DD15F4]
