Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
102016364_00971 (imageset: 3B0F5130-0B03-460E-964A-8F1419CA2E6B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/3B0F5130-0B03-460E-964A-8F1419CA2E6B/batches/7B409C0F-DC09-47E0-BD28-782B32A6F888]
102016359_00099 (imageset: 83C2FC46-3B29-490C-B97A-986C69F203B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/83C2FC46-3B29-490C-B97A-986C69F203B7/batches/D689AE84-6F2D-4E7D-81E8-9B28B1E9E5AC]
102016359_00100 (imageset: 83C2FC46-3B29-490C-B97A-986C69F203B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/83C2FC46-3B29-490C-B97A-986C69F203B7/batches/D689AE84-6F2D-4E7D-81E8-9B28B1E9E5AC]
102016359_00101 (imageset: 83C2FC46-3B29-490C-B97A-986C69F203B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/83C2FC46-3B29-490C-B97A-986C69F203B7/batches/D689AE84-6F2D-4E7D-81E8-9B28B1E9E5AC]
102016363_00254 (imageset: 4310BD0B-7C62-4EA7-8D27-748C9181BA14);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/4310BD0B-7C62-4EA7-8D27-748C9181BA14/batches/C7D1E184-1D11-46D4-B8DD-D532E71797F9]
102016359_00102 (imageset: 83C2FC46-3B29-490C-B97A-986C69F203B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/83C2FC46-3B29-490C-B97A-986C69F203B7/batches/D689AE84-6F2D-4E7D-81E8-9B28B1E9E5AC]
102016379_00862 (imageset: DA51687E-C8C9-4C7D-B662-08BE7ED4CC8C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/DA51687E-C8C9-4C7D-B662-08BE7ED4CC8C/batches/23F553D1-2BE9-472F-BBB7-6AB1C3BE4B1C]
102016359_00103 (imageset: 83C2FC46-3B29-490C-B97A-986C69F203B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/83C2FC46-3B29-490C-B97A-986C69F203B7/batches/D689AE84-6F2D-4E7D-81E8-9B28B1E9E5AC]
102016359_00104 (imageset: 83C2FC46-3B29-490C-B97A-986C69F203B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/83C2FC46-3B29-490C-B97A-986C69F203B7/batches/D689AE84-6F2D-4E7D-81E8-9B28B1E9E5AC]
102016359_00105 (imageset: 83C2FC46-3B29-490C-B97A-986C69F203B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/83C2FC46-3B29-490C-B97A-986C69F203B7/batches/D689AE84-6F2D-4E7D-81E8-9B28B1E9E5AC]
102016381_00601 (imageset: C25FA4E7-2C72-40FD-BD26-8A42BF0D4A3D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/C25FA4E7-2C72-40FD-BD26-8A42BF0D4A3D/batches/FBFADE04-6E55-4C55-952E-68EEA311571F]
102016381_00558 (imageset: C25FA4E7-2C72-40FD-BD26-8A42BF0D4A3D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/C25FA4E7-2C72-40FD-BD26-8A42BF0D4A3D/batches/11C3FC6B-667D-4650-B22F-54D82B5F6755]
102016360_00252 (imageset: 8D89573D-71B6-428B-A3DD-1130B5E938D8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/8D89573D-71B6-428B-A3DD-1130B5E938D8/batches/3D88D386-609B-4DF3-A426-E634F112B5FA]
102016376_00021 (imageset: 1F4550A8-665F-4698-AF32-898CCF7E5E8E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/1F4550A8-665F-4698-AF32-898CCF7E5E8E/batches/6247DF9E-24BC-4B37-A479-9B60CD60B5CD]
102016368_00926 (imageset: E87E71F5-8B34-4292-8395-68C92D25B8D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/E87E71F5-8B34-4292-8395-68C92D25B8D3/batches/B9775A0C-152B-4CE3-9943-10F8A53D1BE1]
102016368_00805 (imageset: E87E71F5-8B34-4292-8395-68C92D25B8D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/E87E71F5-8B34-4292-8395-68C92D25B8D3/batches/21E6E580-0CE3-4910-867A-E10089DEFB57]
102016380_00237 (imageset: 35B449B3-1679-4DC7-AE81-633001901522);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/35B449B3-1679-4DC7-AE81-633001901522/batches/DC77AF0F-770B-401B-8582-FEAFFC752A04]
102016368_00925 (imageset: E87E71F5-8B34-4292-8395-68C92D25B8D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/E87E71F5-8B34-4292-8395-68C92D25B8D3/batches/B9775A0C-152B-4CE3-9943-10F8A53D1BE1]
102016378_00655 (imageset: 75D854FF-BCD9-4C49-AFDD-1748F7C2D93F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/75D854FF-BCD9-4C49-AFDD-1748F7C2D93F/batches/3CCADF2C-FB42-4D95-8D89-3286BDB01E06]
102016378_00398 (imageset: 75D854FF-BCD9-4C49-AFDD-1748F7C2D93F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/BC9EB1B5-4E7A-4221-A24A-88FB518A6F50/manage/75D854FF-BCD9-4C49-AFDD-1748F7C2D93F/batches/61577CBD-CB4A-404A-BE33-D3E234D71221]
