Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
331C0685-9C22-4D77-8129-6F4CAD697EDB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/02482E7C-3041-4CA8-8CC5-D469C811F2E4/batches/331C0685-9C22-4D77-8129-6F4CAD697EDB]
BDCAF64D-3CC0-489A-9127-B071E64F5691;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/overview]
276645EB-5671-40BD-AC4A-1865521BFBAF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/DE5B4A49-22D0-4E0E-8DC5-DF3565E03F21/batches/276645EB-5671-40BD-AC4A-1865521BFBAF]
DCB32BA3-FCD8-4C6E-A00C-86C2FFAB20E2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/02482E7C-3041-4CA8-8CC5-D469C811F2E4/batches/DCB32BA3-FCD8-4C6E-A00C-86C2FFAB20E2]
1A8B6E31-DB25-440F-BA08-5F00341392D3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/BE982CD6-BE51-46AE-948D-7CF0BD3DF70C/batches/1A8B6E31-DB25-440F-BA08-5F00341392D3]
A105D4AC-B3FF-43EB-86A0-EF244E25EE26;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/573B0811-A927-4CC8-88AD-85A3FE64E6B2/batches/A105D4AC-B3FF-43EB-86A0-EF244E25EE26]
2D10880E-2F5B-4992-B769-4616A0704401;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/61FAB3FB-EEF3-4B85-A0D2-20575E725049/batches/2D10880E-2F5B-4992-B769-4616A0704401]
BE360F11-B4BF-41FF-AB0C-1F7AD8203B91;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/9E7A1D48-9A5D-4AC2-B42A-C53486484ABE/batches/BE360F11-B4BF-41FF-AB0C-1F7AD8203B91]
2FE30732-B89B-400B-A39F-C01FE3B9FB62;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/573B0811-A927-4CC8-88AD-85A3FE64E6B2/batches/2FE30732-B89B-400B-A39F-C01FE3B9FB62]
D658C35D-5C94-42A3-AF03-54E3B07C6F87;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/BE982CD6-BE51-46AE-948D-7CF0BD3DF70C/batches/D658C35D-5C94-42A3-AF03-54E3B07C6F87]
72314006-2B54-458E-B9CE-7F79D7A160C3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/E9003726-5757-4D29-A734-7446FC487E67/batches/72314006-2B54-458E-B9CE-7F79D7A160C3]
1DF446C8-37B1-424F-824F-656AE41DBF80;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/0C95F38D-7C39-40F8-8D00-2FC26C049D1B/batches/1DF446C8-37B1-424F-824F-656AE41DBF80]
8D019D54-2341-4CD4-955D-7826BA15495E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/FAFB8F4B-01BE-45EC-8324-604150ECBD0C/batches/8D019D54-2341-4CD4-955D-7826BA15495E]
83BE0786-23E5-46CA-B63B-5F13086884B2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/0F52BB18-2910-44A4-A2D9-B6C68A2D4835/batches/83BE0786-23E5-46CA-B63B-5F13086884B2]
08BD5596-F711-4B23-B9DD-93197740B302;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/D0A19706-421B-4154-B37D-EF78FBF8D231/batches/08BD5596-F711-4B23-B9DD-93197740B302]
7A7664E6-FB81-4ED0-8CE9-9DC002D1DC06;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/9E57DE7D-1D90-4EB9-8390-F54160AE006F/batches/7A7664E6-FB81-4ED0-8CE9-9DC002D1DC06]
5683ACC5-FEB2-43B0-BD03-395F8C5DA233;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/67A30420-E53D-4085-9425-390F2C59A064/batches/5683ACC5-FEB2-43B0-BD03-395F8C5DA233]
6C75DCBA-3BC6-4B57-A0AC-D2A6F2BBFF29;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/3B5FAA9F-1974-4547-8C92-0119763D09CE/batches/6C75DCBA-3BC6-4B57-A0AC-D2A6F2BBFF29]
516F7340-9BAF-48E5-9D5F-28950A1723E1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/5549A302-3234-47B8-AD44-A1B7B1279C1C/batches/516F7340-9BAF-48E5-9D5F-28950A1723E1]
5D79AF50-9FE3-4558-9A71-5C25A8B4B5FC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/88FAC596-E080-442E-89C5-6F156FD9F6DB/batches/5D79AF50-9FE3-4558-9A71-5C25A8B4B5FC]
209370A4-2910-4CBE-8C50-330ED280AAB9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/88FAC596-E080-442E-89C5-6F156FD9F6DB/batches/209370A4-2910-4CBE-8C50-330ED280AAB9]
0321A284-11A4-44C0-B679-A543835D3756;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/BE982CD6-BE51-46AE-948D-7CF0BD3DF70C/batches/0321A284-11A4-44C0-B679-A543835D3756]
E47D4D75-F8DD-4D3D-9147-1ECDB72EC66D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/88FAC596-E080-442E-89C5-6F156FD9F6DB/batches/E47D4D75-F8DD-4D3D-9147-1ECDB72EC66D]
D1E50E1C-A6FA-4077-97FF-6C292A187F7C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/9E7A1D48-9A5D-4AC2-B42A-C53486484ABE/batches/D1E50E1C-A6FA-4077-97FF-6C292A187F7C]
6D0A1F4E-5990-42D6-8801-A2147CE72626;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/5549A302-3234-47B8-AD44-A1B7B1279C1C/batches/6D0A1F4E-5990-42D6-8801-A2147CE72626]
CFA410EC-5703-49C7-8FE5-90A3E2CB0D72;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/BE982CD6-BE51-46AE-948D-7CF0BD3DF70C/batches/CFA410EC-5703-49C7-8FE5-90A3E2CB0D72]
88889EF0-5C6E-49CD-BF72-33A378B2D35A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/D0A19706-421B-4154-B37D-EF78FBF8D231/batches/88889EF0-5C6E-49CD-BF72-33A378B2D35A]
47462075-A5A7-433B-BFF5-A839FB69A07A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/61FAB3FB-EEF3-4B85-A0D2-20575E725049/batches/47462075-A5A7-433B-BFF5-A839FB69A07A]
351D8B4D-3E43-46C6-BA85-950DABE3B159;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/67A30420-E53D-4085-9425-390F2C59A064/batches/351D8B4D-3E43-46C6-BA85-950DABE3B159]
0838C500-C926-41EA-AC36-3D3D5F629347;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BDCAF64D-3CC0-489A-9127-B071E64F5691/manage/4173FE06-AD3A-43C2-B206-35CE8068BCCA/batches/0838C500-C926-41EA-AC36-3D3D5F629347]
