Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 3;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 97;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
16312A35-2D37-47A1-B0FE-4B2792403BD9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/7E4A072C-1C56-4946-9931-E48595A857C5/batches/16312A35-2D37-47A1-B0FE-4B2792403BD9]
B60EF98E-534E-4271-AF18-0F1385298C64;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/E58B1A26-2827-47E7-BCFC-B2EE79C4609A/batches/B60EF98E-534E-4271-AF18-0F1385298C64]
2934385B-C18B-47DE-A097-B90BBB592971;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/1BDEFA41-982C-424B-9DAB-95E3C4A727C5/batches/2934385B-C18B-47DE-A097-B90BBB592971]
57E0DDAA-005A-46DD-A534-38BFF0585BA9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/CA7A93C7-F93E-4DA0-87B6-D50C49E2A6B5/batches/57E0DDAA-005A-46DD-A534-38BFF0585BA9]
3F4ADAA0-9DF8-4EB9-BC63-9B8BC5060671;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/649B379A-96F6-4743-8237-3A8095B1D16D/batches/3F4ADAA0-9DF8-4EB9-BC63-9B8BC5060671]
71729A9D-8903-40F6-A5E3-CA4FAB2DC3F7;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/3BAB5853-AD6C-498F-BA11-FB9EB12CDB35/batches/71729A9D-8903-40F6-A5E3-CA4FAB2DC3F7]
BB1638CA-A412-4C6E-BC19-96F5E4D04DB0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/1E8CCB5A-08CB-4492-9B74-1E195501ADE5/batches/BB1638CA-A412-4C6E-BC19-96F5E4D04DB0]
88F66102-E3AF-4F67-951E-636D8DEC25CB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/14BB6990-8478-46D4-8DB8-D16EE4CC7C5A/batches/88F66102-E3AF-4F67-951E-636D8DEC25CB]
86D73CB1-6C1D-489C-BD3D-EC5114625D1B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/F252A0FC-E317-449F-997E-7BD7F14D0F37/batches/86D73CB1-6C1D-489C-BD3D-EC5114625D1B]
85C35978-705A-4E20-B148-9AADB9B700D5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/27759C0E-722A-41DA-9988-A2FA91951A44/batches/85C35978-705A-4E20-B148-9AADB9B700D5]
2FFFFE64-0D1A-4382-82C8-C10B0A89CDAC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/E58B1A26-2827-47E7-BCFC-B2EE79C4609A/batches/2FFFFE64-0D1A-4382-82C8-C10B0A89CDAC]
DAF7E1AA-AF89-4D41-9B77-06157850406A;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/BF7DBE31-E91C-4EB4-997B-85274E04AB54/manage/DAF7E1AA-AF89-4D41-9B77-06157850406A/batches/list]
