Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_PROJECT: 365;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_STATES: 365;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 223836;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 223836;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
33ECFA35-0E13-47EA-9BDC-999A76016B40;IMAGESET;IMAGESET_NOT_IN_PROJECT \\ States: \\NA_BLOCKED: 2907;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/33ECFA35-0E13-47EA-9BDC-999A76016B40/batches/list]
FFDED6CB-F910-48EF-BC97-7CFF3E8BBB18;IMAGESET;IMAGESET_NOT_IN_PROJECT \\ States: \\NA_BLOCKED: 15;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/FFDED6CB-F910-48EF-BC97-7CFF3E8BBB18/batches/list]
5FC0CF37-4AA1-4AD2-8AD6-395124B1D53E;IMAGESET;IMAGESET_NOT_IN_PROJECT \\ States: \\NA_BLOCKED: 3094;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/5FC0CF37-4AA1-4AD2-8AD6-395124B1D53E/batches/list]
1985029F-B1BC-44DE-9645-1179F0965989;IMAGESET;IMAGESET_NOT_IN_PROJECT \\ States: \\NA_BLOCKED: 2555;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/1985029F-B1BC-44DE-9645-1179F0965989/batches/list]
3FEBE4BC-9256-4C31-BC02-70B083B68590;IMAGESET;IMAGESET_NOT_IN_PROJECT \\ States: \\NA_BLOCKED: 2947;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/3FEBE4BC-9256-4C31-BC02-70B083B68590/batches/list]
