Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 610;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 610;
C07FFD98-5BF1-4A8B-88D7-CCA606091E2F;PROJECT;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/overview]
0DFA8D49-10EB-48F2-95F7-EF2B258AB326;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/73F17780-B917-48F4-8A0B-B091B19B8A67/batches/0DFA8D49-10EB-48F2-95F7-EF2B258AB326]
2421E001-27BF-40E9-A008-9F5D0FC5A9D2;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/5FD3ACF9-C8F2-41FF-942B-80C83219144D/batches/2421E001-27BF-40E9-A008-9F5D0FC5A9D2]
293A2D25-579B-4CC3-BFFD-694D2EF44B3B;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/9B2667D0-D777-42AC-AE15-3DD460D84C6C/batches/293A2D25-579B-4CC3-BFFD-694D2EF44B3B]
DC081443-F519-45A0-921E-2E81FC0FF4EE;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/3E9F20A6-B79F-4EA2-BD49-C26E6C55A4DD/batches/DC081443-F519-45A0-921E-2E81FC0FF4EE]
B4F2B738-25EB-4EA6-B372-97149CBA79D6;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/821F9783-BD03-4401-8311-6948D75DADE0/batches/B4F2B738-25EB-4EA6-B372-97149CBA79D6]
6DAC8AB6-ADD9-420C-9BB7-CE42E16598BC;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/061E00EE-12F6-45E9-A97E-33DA1698C433/batches/6DAC8AB6-ADD9-420C-9BB7-CE42E16598BC]
F2BA6385-5ED4-4D1B-B11A-910C7C03E738;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/F64A33B3-1B9D-42C4-9D13-595495D9C93E/batches/F2BA6385-5ED4-4D1B-B11A-910C7C03E738]
EB99ABF4-FE70-4FBF-866A-3537CBB29C0A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/5576A77A-8E9F-45ED-B5BF-975410570458/batches/EB99ABF4-FE70-4FBF-866A-3537CBB29C0A]
2B321DBE-5BAE-4DDD-B959-4A1E9838DF36;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/B87CA277-B660-481A-822E-873B99400C5E/batches/2B321DBE-5BAE-4DDD-B959-4A1E9838DF36]
CE2CC82B-D55D-4EBF-8651-315A6B9A8341;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/58E0CBA0-23EB-4003-BA9B-7A9D49D9193D/batches/CE2CC82B-D55D-4EBF-8651-315A6B9A8341]
6489B14C-A556-4009-93CE-01892BEA6F65;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/EFA20C23-1105-4F8F-99F1-5F06B9F103CE/batches/6489B14C-A556-4009-93CE-01892BEA6F65]
ABADE7DF-C70F-49C4-9B4D-944165D905A4;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C07FFD98-5BF1-4A8B-88D7-CCA606091E2F/manage/18448EA5-DF21-4F42-BDD8-28EB8BD526EE/batches/ABADE7DF-C70F-49C4-9B4D-944165D905A4]
