Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 11;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 11;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
004628946_00225 (imageset: FE434DD0-0EF9-4513-9606-AFA99E7FB214);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/FE434DD0-0EF9-4513-9606-AFA99E7FB214/batches/D5EC6FCB-1378-4A4D-A098-6042B0E612DF]
004024494_00011 (imageset: DBAD548E-E6DD-46DA-B44E-D31AA8281924);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/DBAD548E-E6DD-46DA-B44E-D31AA8281924/batches/64E129A9-1613-421A-88B8-EDEE41D2E447]
004024494_00012 (imageset: DBAD548E-E6DD-46DA-B44E-D31AA8281924);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/DBAD548E-E6DD-46DA-B44E-D31AA8281924/batches/64E129A9-1613-421A-88B8-EDEE41D2E447]
004024494_00010 (imageset: DBAD548E-E6DD-46DA-B44E-D31AA8281924);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/DBAD548E-E6DD-46DA-B44E-D31AA8281924/batches/64E129A9-1613-421A-88B8-EDEE41D2E447]
004024494_00015 (imageset: DBAD548E-E6DD-46DA-B44E-D31AA8281924);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/DBAD548E-E6DD-46DA-B44E-D31AA8281924/batches/64E129A9-1613-421A-88B8-EDEE41D2E447]
004024494_00013 (imageset: DBAD548E-E6DD-46DA-B44E-D31AA8281924);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/DBAD548E-E6DD-46DA-B44E-D31AA8281924/batches/64E129A9-1613-421A-88B8-EDEE41D2E447]
004024494_00014 (imageset: DBAD548E-E6DD-46DA-B44E-D31AA8281924);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/DBAD548E-E6DD-46DA-B44E-D31AA8281924/batches/64E129A9-1613-421A-88B8-EDEE41D2E447]
