Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 32;
103303255_00235 (imageset: 847C2978-5AB2-447B-B29B-C0187CFF8AE9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/847C2978-5AB2-447B-B29B-C0187CFF8AE9/batches/DFCBC6CD-ED99-4DEE-A07C-12317485E895]
103356163_00109 (imageset: 64E47647-F1A7-436E-8CE6-0161759E4FAC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/64E47647-F1A7-436E-8CE6-0161759E4FAC/batches/BEE7CFA8-9404-45BC-85CF-2E7034E7BBFA]
102586028_00105 (imageset: 7687F233-66C8-4323-9AFE-ACDC9AA6B5B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/7687F233-66C8-4323-9AFE-ACDC9AA6B5B6/batches/D6B1C0DD-4A29-4E03-A2F7-61B1067AABCD]
103354570_00111 (imageset: 1D58F2D9-08AC-4ED9-871C-F0F1B961FFEF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/1D58F2D9-08AC-4ED9-871C-F0F1B961FFEF/batches/31468043-873C-42CE-BD40-AE22786C5E80]
102598213_00008 (imageset: F1E449BD-96D1-4E92-8ABF-8089D654F6F1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/F1E449BD-96D1-4E92-8ABF-8089D654F6F1/batches/908E913A-D374-4C50-B6AE-76CFDD8FA2A5]
103355038_00058 (imageset: CF0F4519-C039-46A6-A44D-0D9CAE3892CD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/CF0F4519-C039-46A6-A44D-0D9CAE3892CD/batches/901B2522-77EB-41D0-89E6-8D5D5B33407D]
103303250_00170 (imageset: A47D0695-C86A-4AA9-9755-8219CDA3498B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/A47D0695-C86A-4AA9-9755-8219CDA3498B/batches/DC6E573E-2FC6-4A77-9577-C4B0E9A3CA68]
103356146_00225 (imageset: B840C3E7-AD25-441F-B959-0BC759FAF7F5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/B840C3E7-AD25-441F-B959-0BC759FAF7F5/batches/E81C9AE6-FB74-45F0-972B-2EB29D21E4D4]
103303035_00213 (imageset: 3274FFBB-AA05-4A05-AE73-892CBE4FB206);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/3274FFBB-AA05-4A05-AE73-892CBE4FB206/batches/AFA0D369-2F83-47D8-A84F-C3FCA8A2D785]
102598289_00203 (imageset: 0737D324-F9F9-4E87-A4A0-D837A879B6B4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/0737D324-F9F9-4E87-A4A0-D837A879B6B4/batches/3FC5E785-DC9C-4090-9F70-779E6364F0C4]
102598229_00302 (imageset: 06132FB3-4640-4100-BFC2-FC8A617E38B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/06132FB3-4640-4100-BFC2-FC8A617E38B6/batches/7982972F-8E02-48EF-A95E-CABF4962677D]
103354562_00114 (imageset: 664081EA-F959-41A3-85A1-B71DDB73C45E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/664081EA-F959-41A3-85A1-B71DDB73C45E/batches/4566B3B8-D686-4CD0-AA42-7F560E97EAA0]
103303255_00233 (imageset: 847C2978-5AB2-447B-B29B-C0187CFF8AE9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/847C2978-5AB2-447B-B29B-C0187CFF8AE9/batches/DFCBC6CD-ED99-4DEE-A07C-12317485E895]
103354562_00113 (imageset: 664081EA-F959-41A3-85A1-B71DDB73C45E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/664081EA-F959-41A3-85A1-B71DDB73C45E/batches/4566B3B8-D686-4CD0-AA42-7F560E97EAA0]
103303255_00234 (imageset: 847C2978-5AB2-447B-B29B-C0187CFF8AE9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/847C2978-5AB2-447B-B29B-C0187CFF8AE9/batches/DFCBC6CD-ED99-4DEE-A07C-12317485E895]
102586012_00073 (imageset: 34B38D00-933A-466A-8E40-D8FF7624175D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/34B38D00-933A-466A-8E40-D8FF7624175D/batches/EFC2A976-6046-47FF-8930-B450BC2E0120]
103303255_00231 (imageset: 847C2978-5AB2-447B-B29B-C0187CFF8AE9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/847C2978-5AB2-447B-B29B-C0187CFF8AE9/batches/DFCBC6CD-ED99-4DEE-A07C-12317485E895]
103303255_00232 (imageset: 847C2978-5AB2-447B-B29B-C0187CFF8AE9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/847C2978-5AB2-447B-B29B-C0187CFF8AE9/batches/DFCBC6CD-ED99-4DEE-A07C-12317485E895]
102598289_00153 (imageset: 0737D324-F9F9-4E87-A4A0-D837A879B6B4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/0737D324-F9F9-4E87-A4A0-D837A879B6B4/batches/5625701A-92DE-43F8-92D5-DCAA6CCAAD5C]
103303255_00229 (imageset: 847C2978-5AB2-447B-B29B-C0187CFF8AE9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/847C2978-5AB2-447B-B29B-C0187CFF8AE9/batches/DFCBC6CD-ED99-4DEE-A07C-12317485E895]
103354560_00086 (imageset: 3194B766-31BE-4AC7-9B63-44313F1989C8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/3194B766-31BE-4AC7-9B63-44313F1989C8/batches/601D7301-2A3E-4CD7-ABEA-399C6D53CB52]
103354560_00085 (imageset: 3194B766-31BE-4AC7-9B63-44313F1989C8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/3194B766-31BE-4AC7-9B63-44313F1989C8/batches/601D7301-2A3E-4CD7-ABEA-399C6D53CB52]
103303079_00011 (imageset: 0FBBF129-5CA4-4B5C-B78E-D2DB119F15CD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/0FBBF129-5CA4-4B5C-B78E-D2DB119F15CD/batches/CFD6FE35-0E3F-4395-B782-1B74FB5D95E4]
103303035_00220 (imageset: 3274FFBB-AA05-4A05-AE73-892CBE4FB206);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/3274FFBB-AA05-4A05-AE73-892CBE4FB206/batches/AFA0D369-2F83-47D8-A84F-C3FCA8A2D785]
103303257_00065 (imageset: E97FBBFB-BA95-4FBB-881C-FD9F0F9AC931);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/E97FBBFB-BA95-4FBB-881C-FD9F0F9AC931/batches/FDC0C08F-407D-4BD1-9E49-23022FD7C800]
102598281_00054 (imageset: B632C173-78B2-4E53-B3B3-1A45ACB73408);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/B632C173-78B2-4E53-B3B3-1A45ACB73408/batches/C88EA3E4-7F11-44C3-AD6E-00BA49E73772]
103303257_00063 (imageset: E97FBBFB-BA95-4FBB-881C-FD9F0F9AC931);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/E97FBBFB-BA95-4FBB-881C-FD9F0F9AC931/batches/FDC0C08F-407D-4BD1-9E49-23022FD7C800]
102518076_00294 (imageset: 7A4C2244-8117-48D1-A2AC-17B052FC97B1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/7A4C2244-8117-48D1-A2AC-17B052FC97B1/batches/EA3D79EF-2619-4CF5-84A0-DA1446513803]
103355031_00071 (imageset: A8B5085B-2C86-495D-94BD-D03592D39C2D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C3553274-5382-433C-8225-525CADEB5902/manage/A8B5085B-2C86-495D-94BD-D03592D39C2D/batches/51F79441-E374-4218-BC2B-9FE524B83AFD]
