Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_FAILED_STATE: 1;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 217;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 25;
005715934_00127 (imageset: 06892261-50A6-424C-878B-5CF3D74D727A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/06892261-50A6-424C-878B-5CF3D74D727A/batches/89D89679-3A94-4699-A471-C65DBF8F9F30]
005715934_00489 (imageset: 06892261-50A6-424C-878B-5CF3D74D727A);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/06892261-50A6-424C-878B-5CF3D74D727A/batches/777B066F-4FCB-4E71-9649-FFD5D91F1482]
005715934_00247 (imageset: 06892261-50A6-424C-878B-5CF3D74D727A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/06892261-50A6-424C-878B-5CF3D74D727A/batches/010B6FE1-4C5F-4FBB-8AED-B27088EDF452]
005715934_00129 (imageset: 06892261-50A6-424C-878B-5CF3D74D727A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/06892261-50A6-424C-878B-5CF3D74D727A/batches/89D89679-3A94-4699-A471-C65DBF8F9F30]
005715171_01613 (imageset: ACD97560-27FC-4861-94EC-6D949A4F8992);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/ACD97560-27FC-4861-94EC-6D949A4F8992/batches/10DE22B3-0544-4205-ADB2-298C429503F8]
005716255_00127 (imageset: 093EFD0B-FBC1-4F11-B5A4-01645DD4554A);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/093EFD0B-FBC1-4F11-B5A4-01645DD4554A/batches/A04D0B52-066F-4F56-AA5F-2682F809B2FF]
005718827_00018 (imageset: 25AFADE4-14DF-45F5-995C-5E5F1F001507);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/25AFADE4-14DF-45F5-995C-5E5F1F001507/batches/2F4C458C-F14B-4FD5-BC8B-DC84D33E530F]
005718743_00155 (imageset: 27337892-5823-49C3-8FBC-B9BFC20E2341);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/27337892-5823-49C3-8FBC-B9BFC20E2341/batches/84FEDAF9-6A10-4C56-BF2B-F0759DAC3611]
005720262_00303 (imageset: 6FFA89E4-B8AC-4A82-8ABE-F4185F40F1FE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/6FFA89E4-B8AC-4A82-8ABE-F4185F40F1FE/batches/A42B5A8F-7014-4528-B3FA-0C50F4BDC0AB]
005718667_00574 (imageset: 651F189D-D11E-48BC-ADD9-43B5CEA4C162);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/651F189D-D11E-48BC-ADD9-43B5CEA4C162/batches/1B7A553E-81A6-4AFB-86F1-FF5A36542D01]
005718791_00924 (imageset: 457C9570-8C4C-49A5-A417-D0E3405CE10B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/457C9570-8C4C-49A5-A417-D0E3405CE10B/batches/02A9B934-A632-4681-B140-2A32E10EA65C]
005715987_00801 (imageset: A6984D75-8D91-46C6-B6BC-EF32B08E9125);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/A6984D75-8D91-46C6-B6BC-EF32B08E9125/batches/35BE817B-0E33-47D0-9480-21B515C972BF]
005716255_00803 (imageset: 093EFD0B-FBC1-4F11-B5A4-01645DD4554A);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/093EFD0B-FBC1-4F11-B5A4-01645DD4554A/batches/4B9FA9B9-80CF-4C32-8D0C-29F7B6B8F991]
005719882_00537 (imageset: 49ADEB90-C116-4598-837A-D87F1C8A15F2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/49ADEB90-C116-4598-837A-D87F1C8A15F2/batches/63DCBC2A-9523-4859-85A7-B72D14FB4240]
005716050_00670 (imageset: 24F93FE0-E116-4BC6-A535-40A97E3A7A2F);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/24F93FE0-E116-4BC6-A535-40A97E3A7A2F/batches/35B52F08-7CC6-43F9-857E-0A8513F2C3DC]
005715952_01045 (imageset: 0A4B43F4-BDF5-44FD-8B35-280CCDC7BE5C);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/0A4B43F4-BDF5-44FD-8B35-280CCDC7BE5C/batches/F10E4CC9-1D14-4158-983E-7142BEF3F4B5]
005716274_00960 (imageset: D66AFF9A-629D-4401-80EA-192634E4CA9C);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/D66AFF9A-629D-4401-80EA-192634E4CA9C/batches/AA7CD507-F911-401D-863D-58595BB5956E]
005718743_00383 (imageset: 27337892-5823-49C3-8FBC-B9BFC20E2341);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/27337892-5823-49C3-8FBC-B9BFC20E2341/batches/4BA03E3F-F786-4109-9356-FBE03A26C8F6]
005716104_00018 (imageset: C30AD634-2499-423C-8013-DF6FE384FF87);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/C30AD634-2499-423C-8013-DF6FE384FF87/batches/F5A8DE3D-65FB-41A6-B501-993700F34AF5]
005713670_00660 (imageset: FC07F7F3-095A-44FC-8B2E-2C0BD5219C22);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/FC07F7F3-095A-44FC-8B2E-2C0BD5219C22/batches/AE19E76B-95CF-4BE6-B4DD-516F52743780]
005713686_00135 (imageset: 45354247-1A90-41D0-986F-869F59D63FAD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/45354247-1A90-41D0-986F-869F59D63FAD/batches/1D4ADD9E-6E62-4785-AD99-7C89E11CDA75]
005718743_00022 (imageset: 27337892-5823-49C3-8FBC-B9BFC20E2341);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/27337892-5823-49C3-8FBC-B9BFC20E2341/batches/D898B194-B192-4546-838D-9747798D3DE2]
005720262_01766 (imageset: 6FFA89E4-B8AC-4A82-8ABE-F4185F40F1FE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/6FFA89E4-B8AC-4A82-8ABE-F4185F40F1FE/batches/0413ADED-1617-433F-A32C-5A8A1670AABA]
005720262_01769 (imageset: 6FFA89E4-B8AC-4A82-8ABE-F4185F40F1FE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/6FFA89E4-B8AC-4A82-8ABE-F4185F40F1FE/batches/0413ADED-1617-433F-A32C-5A8A1670AABA]
005716225_00658 (imageset: B85271FD-FF26-4EE0-8637-CCC89D093F36);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/B85271FD-FF26-4EE0-8637-CCC89D093F36/batches/420C6FE7-62A8-4AE2-B86B-1D25DF265B22]
005718771_01441 (imageset: 32D22DB7-CC9D-44A8-AB0A-B5533536200C);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/32D22DB7-CC9D-44A8-AB0A-B5533536200C/batches/E1ED14D5-5A75-42A3-B177-A4E09084A4BD]
005715934_00130 (imageset: 06892261-50A6-424C-878B-5CF3D74D727A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/06892261-50A6-424C-878B-5CF3D74D727A/batches/89D89679-3A94-4699-A471-C65DBF8F9F30]
005713470_00075 (imageset: E26AC33C-3FE1-42FC-9033-21E0D0B90512);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/E26AC33C-3FE1-42FC-9033-21E0D0B90512/batches/467B58D2-7D8B-4E2F-844A-2014524DC8C0]
005713470_00076 (imageset: E26AC33C-3FE1-42FC-9033-21E0D0B90512);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/E26AC33C-3FE1-42FC-9033-21E0D0B90512/batches/467B58D2-7D8B-4E2F-844A-2014524DC8C0]
005713728_00171 (imageset: E8C8B8B9-6ABD-48AB-8642-1E06DDE9C38E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/E8C8B8B9-6ABD-48AB-8642-1E06DDE9C38E/batches/3181B2FB-F435-4876-BAC9-C81434893C6A]
005715934_00027 (imageset: 06892261-50A6-424C-878B-5CF3D74D727A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4CBC894-7AE8-4E81-A694-DABF13E6EB1B/manage/06892261-50A6-424C-878B-5CF3D74D727A/batches/F3F7CA87-8402-4ABA-BE92-51718345B748]
