Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 2;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;BATCH_HAS_NO_IMAGES: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 544;
F6178249-B8BE-4028-9DB7-A809F7DF7C7A;BATCH;BATCH_HAS_NO_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/manage/no_imageset/batches/F6178249-B8BE-4028-9DB7-A809F7DF7C7A]
2EBAAADB-0B42-4A46-A193-9E111FDD2B70;BATCH;BATCH_HAS_TOO_MANY_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/manage/E349DC56-88C4-46B7-86E2-3450C67DEC24/batches/2EBAAADB-0B42-4A46-A193-9E111FDD2B70]
DA8C903B-AF38-4628-BF20-BEBDF84C9B25;BATCH;BATCH_HAS_TOO_MANY_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/manage/9E66E418-81BD-4D78-9317-CAA0388B7D1C/batches/DA8C903B-AF38-4628-BF20-BEBDF84C9B25]
C4F542D4-BE18-416A-B38B-9BE31ADA5FE9;PROJECT;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/overview]
007844940_01415 (imageset: B3DCD118-42B3-41E1-9AA7-B72B0EB8FFCE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/manage/B3DCD118-42B3-41E1-9AA7-B72B0EB8FFCE/batches/F2B08F95-CB08-420C-B61C-6036BE1DE24B]
007844466_01181 (imageset: 8158A554-0F6B-4858-B850-B6B7B28E3B84);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/manage/8158A554-0F6B-4858-B850-B6B7B28E3B84/batches/46844952-7B9B-4978-AE41-EDA6F57B47E1]
007844945_01795 (imageset: 447E82B2-4010-4A3A-BBAE-E974305A4614);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/manage/447E82B2-4010-4A3A-BBAE-E974305A4614/batches/755A86ED-09B7-452B-B0A1-36054863997E]
007844945_01792 (imageset: 447E82B2-4010-4A3A-BBAE-E974305A4614);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C4F542D4-BE18-416A-B38B-9BE31ADA5FE9/manage/447E82B2-4010-4A3A-BBAE-E974305A4614/batches/755A86ED-09B7-452B-B0A1-36054863997E]
