Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 95;
E3BEAD39-5018-4DAB-9B9F-8CE0C0B9F93D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/98BAAAE1-3F39-4205-A8BA-DEE591AC5EF7/batches/E3BEAD39-5018-4DAB-9B9F-8CE0C0B9F93D]
F358864B-125D-431B-8636-AA42D8DF2B26;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/5185D389-52CB-49E7-B899-992BCB859E70/batches/F358864B-125D-431B-8636-AA42D8DF2B26]
3AC2E66A-357F-4D68-825B-AE29835CF163;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/2A0E529D-1C60-4617-B57D-88CF0A485528/batches/3AC2E66A-357F-4D68-825B-AE29835CF163]
BA597541-FAF6-4748-BB7E-157E2EEAE4AB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/D11ACEDA-D769-46C2-A38D-11DC0C293BC4/batches/BA597541-FAF6-4748-BB7E-157E2EEAE4AB]
8B2C2E2E-F311-41CF-B957-46BE80F6C794;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/EBA88833-058D-499F-9FB9-83847F675D13/batches/8B2C2E2E-F311-41CF-B957-46BE80F6C794]
3F30E79F-13F2-460D-867D-C2A65BDD5681;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/EC5321DF-79AE-40B7-9AFA-9CB36B742A07/batches/3F30E79F-13F2-460D-867D-C2A65BDD5681]
79662C1F-2D86-4D53-8FBA-4987D0190CE7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/671AA595-7A39-45F4-BEEB-3EF1C9FCEB55/batches/79662C1F-2D86-4D53-8FBA-4987D0190CE7]
5B122299-F47A-4C7F-BFBC-7D364FCF35E7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/516BB9C5-5DDA-4022-B04E-E99E0B06D05F/batches/5B122299-F47A-4C7F-BFBC-7D364FCF35E7]
0BA4E0A5-0603-4201-A880-A7CEADE50713;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/D11ACEDA-D769-46C2-A38D-11DC0C293BC4/batches/0BA4E0A5-0603-4201-A880-A7CEADE50713]
309F55F2-C916-4CC3-8E6C-E33B9ABFF66A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/F9F0ED97-8638-4B02-8CD6-29AD97FA8028/batches/309F55F2-C916-4CC3-8E6C-E33B9ABFF66A]
75695790-9274-4215-9E1F-E364B96AFDB2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/98BAAAE1-3F39-4205-A8BA-DEE591AC5EF7/batches/75695790-9274-4215-9E1F-E364B96AFDB2]
A6F5E80D-12F2-44A8-9B1C-65115EE027A9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/60B87B81-0A92-48A9-AF4E-373BB0D0E2D0/batches/A6F5E80D-12F2-44A8-9B1C-65115EE027A9]
134E4FD8-7343-417F-80B7-B54FC32218DC;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/D05A2BC0-DFD0-43C2-A14C-72EB25E10081/batches/134E4FD8-7343-417F-80B7-B54FC32218DC]
70B5C7CF-9B2E-4A95-95B9-315506AE5E1A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/21544121-91FF-4CFC-A860-CF8825653523/batches/70B5C7CF-9B2E-4A95-95B9-315506AE5E1A]
CA102BC5-E18C-431C-8164-7F159D5B66FB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/9D6E72B7-D410-47E0-87E1-C196BAC1ED70/batches/CA102BC5-E18C-431C-8164-7F159D5B66FB]
E1FDE0D3-FCED-4B63-B606-520D180A9F02;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/D8081009-EC72-4B34-84D9-5B3C6F88D27F/batches/E1FDE0D3-FCED-4B63-B606-520D180A9F02]
CB7201A4-136D-424F-8A49-466DF5E8CEBC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/418BA19C-757F-480D-A55D-96D411739213/batches/CB7201A4-136D-424F-8A49-466DF5E8CEBC]
83A7E8D2-D737-4739-8B24-35FC29B30B67;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/EC5321DF-79AE-40B7-9AFA-9CB36B742A07/batches/83A7E8D2-D737-4739-8B24-35FC29B30B67]
DB57DE00-6205-4372-8350-A80A296B0F1B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/C672619B-EEAD-4D86-9DB7-8D056CD365EF/batches/DB57DE00-6205-4372-8350-A80A296B0F1B]
14D28C42-B741-46AA-AD1F-067DBDE06A33;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/D878C203-3164-4862-9F50-B421F1899D8B/batches/14D28C42-B741-46AA-AD1F-067DBDE06A33]
BDA3C1E4-CB78-46CB-9EBA-FAB72A9109D2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/A88BED70-D8F3-4D77-84F3-C61825C64AFD/batches/BDA3C1E4-CB78-46CB-9EBA-FAB72A9109D2]
308AE10C-0686-4899-908A-F350D5AB57B1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/4976F436-EA2C-4538-8425-A4B34D8472A6/batches/308AE10C-0686-4899-908A-F350D5AB57B1]
D21291B5-EEDA-4366-A5BE-B59997AEDC7A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/EBA88833-058D-499F-9FB9-83847F675D13/batches/D21291B5-EEDA-4366-A5BE-B59997AEDC7A]
A67904FB-6A4B-47C2-9481-0AAD4410ECB8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/16DED17B-34EA-4A9D-BA11-BBBD38440FDA/batches/A67904FB-6A4B-47C2-9481-0AAD4410ECB8]
285C3C3E-C379-4057-B461-322900B9A491;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/3FA007DB-8DDB-407C-B784-D3D82BA58F6A/batches/285C3C3E-C379-4057-B461-322900B9A491]
5D21E4E6-1057-4F36-90DD-D375300F57A7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/CECE5B22-E207-48BB-9933-1D3E6D403536/batches/5D21E4E6-1057-4F36-90DD-D375300F57A7]
03015FE8-947D-465C-8CCC-A1F285E70875;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/36E970C3-DDFD-438E-AF0B-425D6440EC98/batches/03015FE8-947D-465C-8CCC-A1F285E70875]
6500089E-439C-4B5D-AD44-F18C3E1EB69E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/773D65FC-A143-43FD-ABDE-D5D52366D875/batches/6500089E-439C-4B5D-AD44-F18C3E1EB69E]
DE72D2A7-0C04-4E49-9EDC-8321BEB4EDA2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/9012A293-811B-4CD7-9F14-6E0FB1C8408F/batches/DE72D2A7-0C04-4E49-9EDC-8321BEB4EDA2]
C39046A4-0DBD-4765-B760-50B7B9D1A6F5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/C6084B9F-9ADA-4E75-9363-E2BC74999682/manage/7C8CAC38-0318-4A8E-B45A-1BABFB03B49E/batches/C39046A4-0DBD-4765-B760-50B7B9D1A6F5]
