Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 168;
007715803_07203 (imageset: 6E3214F8-35C4-4A05-899B-CCCD85416104);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/6E3214F8-35C4-4A05-899B-CCCD85416104/batches/ACC9BEB0-DB00-4D24-8D33-BBD5E4B97E38]
007715782_05712 (imageset: E021ABE9-1C11-40E8-A12F-D1391527C805);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/E021ABE9-1C11-40E8-A12F-D1391527C805/batches/1E07D4E1-FCDF-4E1F-8570-ED4E4BABA733]
007715786_13547 (imageset: 383A8CC3-2006-46E2-BB2D-7914676B6FB0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/383A8CC3-2006-46E2-BB2D-7914676B6FB0/batches/79A66E62-A9A4-415F-8913-F42D69004C37]
007715772_01599 (imageset: 1E47400C-2336-43CC-B98B-CE7CE26722F0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/1E47400C-2336-43CC-B98B-CE7CE26722F0/batches/CDE954C2-7A6D-4FBB-97FD-D59E44959237]
007715767_01770 (imageset: ABB4AA18-11FF-4FC9-844C-D3DE0443B81A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/ABB4AA18-11FF-4FC9-844C-D3DE0443B81A/batches/DFE3EC38-90C4-460C-8244-D390E65FF441]
007715760_00757 (imageset: 187DC632-BE5B-49F3-BAFA-33A250C60191);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/187DC632-BE5B-49F3-BAFA-33A250C60191/batches/3E861EA5-4DC6-458B-8C81-59329092E5F0]
007715766_07145 (imageset: C903C336-9DD5-48F1-9CDC-FA194680B6AD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/C903C336-9DD5-48F1-9CDC-FA194680B6AD/batches/6BEB958A-79DC-495B-AEED-513D651550D4]
007715825_02179 (imageset: D2DBC610-9C19-4AD1-9C5A-935717E60825);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/D2DBC610-9C19-4AD1-9C5A-935717E60825/batches/01F51CF6-626D-4836-95EA-2D816572DAFB]
007715788_06197 (imageset: 0DA5D8D4-8C75-4107-AC20-1C0E214FDAAE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/0DA5D8D4-8C75-4107-AC20-1C0E214FDAAE/batches/2B3C4544-2E28-4956-B84C-C5F828EAD829]
007715794_10778 (imageset: 24C90C64-378F-47DE-9F6E-7D7A113720C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/24C90C64-378F-47DE-9F6E-7D7A113720C1/batches/AFDC205A-DF61-4B46-BBF9-A301318F88DD]
007715769_01709 (imageset: 6AFC4AA3-F3A2-4E5D-927F-DBA429B6D6F7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/6AFC4AA3-F3A2-4E5D-927F-DBA429B6D6F7/batches/1894D130-45EE-4BDA-A980-5C6FA2423F29]
007715775_04177 (imageset: 6A9A965C-90D7-4052-A142-5D3F77A97413);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/6A9A965C-90D7-4052-A142-5D3F77A97413/batches/3CBAC814-7DD1-4905-80BC-1B60EECA0375]
007715823_02030 (imageset: 789E57AF-BAC7-49E5-9426-17D068AA9297);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/789E57AF-BAC7-49E5-9426-17D068AA9297/batches/64466166-98B7-48CC-9EE4-A962406769C0]
007715764_02463 (imageset: C0FBD502-6B69-4755-B63F-0B66A94FFEE2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/C0FBD502-6B69-4755-B63F-0B66A94FFEE2/batches/80504EAD-51E4-402F-9978-D80325757B2C]
007715807_01279 (imageset: D16AB5FE-C688-43B7-816C-F00FC6695C70);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/D16AB5FE-C688-43B7-816C-F00FC6695C70/batches/A5F55985-4CEF-4A0C-B7C6-3682B99C88B2]
007715828_09364 (imageset: 1D21F392-ECB2-469C-B60B-29103C036557);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/1D21F392-ECB2-469C-B60B-29103C036557/batches/B84705D6-2A89-4B03-BF37-B5D855EEDF55]
007715827_04027 (imageset: D24430CA-85F9-4D72-BC1E-198D3CC80A1F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/D24430CA-85F9-4D72-BC1E-198D3CC80A1F/batches/BA94BA66-71F6-48A9-B4AE-07EC9D9D9E36]
007715761_05199 (imageset: 6BACC5FF-F563-4673-B69A-1FDAD128EF1C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/6BACC5FF-F563-4673-B69A-1FDAD128EF1C/batches/DED5F7BA-1C6D-41E6-904B-CE6E7B891518]
007715843_08429 (imageset: 04BE82CE-F11F-41BF-814A-E3F3F9E95BD2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6826638-391B-4479-B51A-EF50144E64FB/manage/04BE82CE-F11F-41BF-814A-E3F3F9E95BD2/batches/038DA575-707C-4437-9FD1-950314137C4F]
