Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 17841;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 103;
008525080_00492 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/8AFE7D65-B7C5-4B6C-B9C7-E8C10F46A73A]
008525078_00940 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/028C847C-A53A-41B6-A4A9-5A060ED5564B]
008525080_00491 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/8AFE7D65-B7C5-4B6C-B9C7-E8C10F46A73A]
008525078_00941 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/028C847C-A53A-41B6-A4A9-5A060ED5564B]
008525080_00494 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/2438AE21-7DF9-4B0F-A230-6113FB00DD67]
008525080_00493 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/8AFE7D65-B7C5-4B6C-B9C7-E8C10F46A73A]
008525080_00496 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/2438AE21-7DF9-4B0F-A230-6113FB00DD67]
008621760_01021 (imageset: 9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2/batches/577F5B07-527A-4189-BBFB-53B45D75C866]
008525078_00944 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/68F1434A-A561-4F66-A3FE-BEC0D87763EC]
008525080_00495 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/2438AE21-7DF9-4B0F-A230-6113FB00DD67]
008525078_00945 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/68F1434A-A561-4F66-A3FE-BEC0D87763EC]
008621760_01022 (imageset: 9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2/batches/0D9BDD70-87D5-43AA-8409-77952E2A8FCB]
008525080_00498 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/E21FB933-33EB-4E2B-86F5-14ADD81448B1]
008525080_00497 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/2438AE21-7DF9-4B0F-A230-6113FB00DD67]
008621760_01020 (imageset: 9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2/batches/577F5B07-527A-4189-BBFB-53B45D75C866]
008525078_00943 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/68F1434A-A561-4F66-A3FE-BEC0D87763EC]
008525078_00948 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/5606CA33-A0E5-47DC-856F-D57FFE15D0A9]
008525080_00499 (imageset: 752872B5-43D9-4E4A-B86D-6564428F01C2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/752872B5-43D9-4E4A-B86D-6564428F01C2/batches/E21FB933-33EB-4E2B-86F5-14ADD81448B1]
008525078_00949 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/5606CA33-A0E5-47DC-856F-D57FFE15D0A9]
008525078_00946 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/68F1434A-A561-4F66-A3FE-BEC0D87763EC]
008525078_00947 (imageset: B67C108C-C86C-41EB-92A7-62B7D4DC820B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/B67C108C-C86C-41EB-92A7-62B7D4DC820B/batches/5606CA33-A0E5-47DC-856F-D57FFE15D0A9]
008621760_01025 (imageset: 9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2/batches/685CCF27-8E6A-46BE-877D-009A0145C434]
008621760_01026 (imageset: 9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2/batches/5A6FE9B1-732D-4F28-91AC-ACFEF55C76D1]
008621760_01023 (imageset: 9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2/batches/0D9BDD70-87D5-43AA-8409-77952E2A8FCB]
008621760_01024 (imageset: 9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C6AE8721-458F-4783-8940-3C0F529D4562/manage/9C193AC6-1B2D-4BFD-B6C7-777353CE1BA2/batches/685CCF27-8E6A-46BE-877D-009A0145C434]
