Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 112;
102707754_00149 (imageset: 35B4219E-EB9B-498F-AABE-34DB77D1D469);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/35B4219E-EB9B-498F-AABE-34DB77D1D469/batches/D9F0D80C-F42F-43B7-AE1B-9DB5F8CEE7A4]
102574089_00201 (imageset: CCBED1C1-157C-428D-AA76-11083522F79D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/CCBED1C1-157C-428D-AA76-11083522F79D/batches/9C9099DA-F8DD-4569-A4D6-459A1EB86E51]
102574089_00202 (imageset: CCBED1C1-157C-428D-AA76-11083522F79D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/CCBED1C1-157C-428D-AA76-11083522F79D/batches/9C9099DA-F8DD-4569-A4D6-459A1EB86E51]
102567030_00088 (imageset: 5970E6A3-0508-49F5-BBFB-929024B38D47);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/5970E6A3-0508-49F5-BBFB-929024B38D47/batches/76E02B30-FB38-4408-B7AB-AA16788696DD]
102567030_00091 (imageset: 5970E6A3-0508-49F5-BBFB-929024B38D47);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/5970E6A3-0508-49F5-BBFB-929024B38D47/batches/76E02B30-FB38-4408-B7AB-AA16788696DD]
102573919_00187 (imageset: AEE515EC-0A63-4D1F-A34D-64FF87A980F9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/AEE515EC-0A63-4D1F-A34D-64FF87A980F9/batches/66EB27E0-68C8-481D-8F6B-6DE27646FC58]
102565857_00037 (imageset: AFBC6011-32CB-4938-9A8B-C3134DB843C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/AFBC6011-32CB-4938-9A8B-C3134DB843C1/batches/E158F16B-E4F3-4EF2-884D-F49B8A96A227]
102573919_00100 (imageset: AEE515EC-0A63-4D1F-A34D-64FF87A980F9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/AEE515EC-0A63-4D1F-A34D-64FF87A980F9/batches/D8786EAE-B8FF-451A-9E1C-E6CEDA186721]
102565857_00038 (imageset: AFBC6011-32CB-4938-9A8B-C3134DB843C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C79AEE05-26CE-4A55-A4FB-34939156A774/manage/AFBC6011-32CB-4938-9A8B-C3134DB843C1/batches/E158F16B-E4F3-4EF2-884D-F49B8A96A227]
