Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 34580;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 1863;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_NO_INDEXING_OR_BATCHING_BATCHES: 1;
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 100;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1863;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_IN_ANOTHER_SIMILAR_PROJECT: 1;
106367488_01630 (imageset: 7356BDA8-036D-4ADC-A85F-E12DF5FEAE6E);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C7CA6DA6-99A0-4728-8178-2997F667CA61/manage/7356BDA8-036D-4ADC-A85F-E12DF5FEAE6E/batches/list]
106367452_00037 (imageset: B40A19DA-6245-454E-8A41-7351AED32AD4);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C7CA6DA6-99A0-4728-8178-2997F667CA61/manage/B40A19DA-6245-454E-8A41-7351AED32AD4/batches/list]
106367452_00035 (imageset: B40A19DA-6245-454E-8A41-7351AED32AD4);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C7CA6DA6-99A0-4728-8178-2997F667CA61/manage/B40A19DA-6245-454E-8A41-7351AED32AD4/batches/list]
