Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 846;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 846;
005079040_00200 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00205 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00206 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00207 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00208 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00201 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00202 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00203 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00204 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00209 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00210 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00211 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00216 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00212 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00213 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00214 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00215 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00220 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00221 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00222 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00227 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
005079040_00228 (imageset: B59753FA-7B1B-4DC6-A82D-C254E84AF0FF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/C9272102-A61E-48AD-9122-2C3704AE584F/manage/B59753FA-7B1B-4DC6-A82D-C254E84AF0FF/batches/2948E393-3CCF-45A1-B6EB-0C8636B1FDC6]
