Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 14;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 4;
004140226 (58B17DF1-724D-4FEE-953C-280CDD518728);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/58B17DF1-724D-4FEE-953C-280CDD518728/batches/list]
004111150 (7A63FC8C-9599-4B01-A463-14A2DA0676CD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/7A63FC8C-9599-4B01-A463-14A2DA0676CD/batches/list]
004116727 (942C75C4-909A-4CDF-A0C1-897A77BF9056);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/942C75C4-909A-4CDF-A0C1-897A77BF9056/batches/list]
004110390 (A5EB2713-26E5-4EC2-B8AF-3751DC4F2774);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/A5EB2713-26E5-4EC2-B8AF-3751DC4F2774/batches/list]
004113023 (645FE382-E89A-43C6-AA1D-375DE55FF4CD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/645FE382-E89A-43C6-AA1D-375DE55FF4CD/batches/list]
004152894 (6940076E-A3DF-42E8-B7FF-6C718E160EB3);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/6940076E-A3DF-42E8-B7FF-6C718E160EB3/batches/list]
004110000 (69F92113-F8A5-44B6-A682-A99FCFC73E3C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/69F92113-F8A5-44B6-A682-A99FCFC73E3C/batches/list]
004112643 (DAF1CD1E-FF3E-403D-8873-863DA62836D2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/DAF1CD1E-FF3E-403D-8873-863DA62836D2/batches/list]
004110042 (735A5E89-DE6D-4D56-8EC6-1056778FADFA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/735A5E89-DE6D-4D56-8EC6-1056778FADFA/batches/list]
004112637 (C01DAF4D-D93C-4B5D-ABE9-6DD8CDC5606A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/C01DAF4D-D93C-4B5D-ABE9-6DD8CDC5606A/batches/list]
004111377 (86EF0525-E4C4-4B67-A12C-DC2ED68E7803);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/86EF0525-E4C4-4B67-A12C-DC2ED68E7803/batches/list]
004099026 (7BBECC87-CD54-4BE3-8DD6-727728D5F389);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/7BBECC87-CD54-4BE3-8DD6-727728D5F389/batches/list]
004110393 (7260DAE6-197A-44AB-A184-1324FCEB82E4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/7260DAE6-197A-44AB-A184-1324FCEB82E4/batches/list]
004116804 (B7B4EF25-D72B-468C-A10E-1C92A7AB14AF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/B7B4EF25-D72B-468C-A10E-1C92A7AB14AF/batches/list]
004116804_00170 (imageset: B7B4EF25-D72B-468C-A10E-1C92A7AB14AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/B7B4EF25-D72B-468C-A10E-1C92A7AB14AF/batches/0FFA35F6-8739-4CCF-A04C-61918F7B24F5]
004116804_00183 (imageset: B7B4EF25-D72B-468C-A10E-1C92A7AB14AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/B7B4EF25-D72B-468C-A10E-1C92A7AB14AF/batches/B9CE84AC-CB2C-4046-B03F-1C5569DBFD68]
004116804_00163 (imageset: B7B4EF25-D72B-468C-A10E-1C92A7AB14AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/B7B4EF25-D72B-468C-A10E-1C92A7AB14AF/batches/62F3FF3E-6946-4DF9-A1A7-AAA95AB8D669]
004113023_00195 (imageset: 645FE382-E89A-43C6-AA1D-375DE55FF4CD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CA4E46D2-19C5-4E1F-9FD4-9C53ACBD15C5/manage/645FE382-E89A-43C6-AA1D-375DE55FF4CD/batches/19A303DD-A7E5-4EBA-A41F-57B6BC5190A7]
