Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
101105434_00050 (imageset: 6780E396-B919-4730-96C5-5159029FD000);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/6780E396-B919-4730-96C5-5159029FD000/batches/DC2959F6-4716-4DB2-8392-4ECE6FC00ACF]
101105399_00266 (imageset: FBE8C4E8-D24D-4DEC-BE5D-964FD2079B7E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/FBE8C4E8-D24D-4DEC-BE5D-964FD2079B7E/batches/9A8E348E-E0E2-4A98-A09E-FC02912C5252]
101105434_00051 (imageset: 6780E396-B919-4730-96C5-5159029FD000);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/6780E396-B919-4730-96C5-5159029FD000/batches/DC2959F6-4716-4DB2-8392-4ECE6FC00ACF]
101105073_00099 (imageset: BD68CB90-8AE7-480A-85CA-06D17C534409);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/BD68CB90-8AE7-480A-85CA-06D17C534409/batches/2F563B31-A2DE-40B7-9546-79F0A5A7CA40]
101105092_00220 (imageset: 03C0CE0C-B41F-4E0C-AAAE-9EFB88018825);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/03C0CE0C-B41F-4E0C-AAAE-9EFB88018825/batches/FF3F37FC-36D8-4EA7-B2B8-73A229526A69]
101105073_00098 (imageset: BD68CB90-8AE7-480A-85CA-06D17C534409);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/BD68CB90-8AE7-480A-85CA-06D17C534409/batches/2F563B31-A2DE-40B7-9546-79F0A5A7CA40]
101105092_00221 (imageset: 03C0CE0C-B41F-4E0C-AAAE-9EFB88018825);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/03C0CE0C-B41F-4E0C-AAAE-9EFB88018825/batches/FF3F37FC-36D8-4EA7-B2B8-73A229526A69]
101105092_00222 (imageset: 03C0CE0C-B41F-4E0C-AAAE-9EFB88018825);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/03C0CE0C-B41F-4E0C-AAAE-9EFB88018825/batches/FF3F37FC-36D8-4EA7-B2B8-73A229526A69]
101105462_00016 (imageset: 7C8F55CF-B168-4A0F-A271-F2E175C42814);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CAC8B690-48E4-47F8-A7D9-4B8CC43579F1/manage/7C8F55CF-B168-4A0F-A271-F2E175C42814/batches/FE2A76EF-B469-4514-B806-5EA04C04CB31]
