Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
B9228A8D-CA14-45F7-95FA-397CD30868FE;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/6E5CEEB9-DCD3-47C2-8C87-9FC38A4EF2B0/batches/B9228A8D-CA14-45F7-95FA-397CD30868FE]
D9B8D14E-AE4D-4B18-AF45-823E19B70DCA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/9F537F88-423A-42E9-AB1D-2FD5537FF744/batches/D9B8D14E-AE4D-4B18-AF45-823E19B70DCA]
B62A11A1-D2D9-472B-A869-2D46664DF262;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/19C68ADC-38EA-4E47-BBB8-1A8D9D23B0E0/batches/B62A11A1-D2D9-472B-A869-2D46664DF262]
3FAD883F-4CAC-4C1E-943A-2DB195CA7F82;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/DA9D2646-F73C-48CD-8D91-DACBB4AEDFFF/batches/3FAD883F-4CAC-4C1E-943A-2DB195CA7F82]
62F7A27B-1D42-4AB3-95E7-33634C8CB01F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/0F881052-9839-4D80-8BAD-2DED34D5467C/batches/62F7A27B-1D42-4AB3-95E7-33634C8CB01F]
895D84A4-A338-4B71-936A-B4EA60264144;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/E928643A-A465-410C-A05C-EB35C6888A4B/batches/895D84A4-A338-4B71-936A-B4EA60264144]
829647B6-5F11-4FA7-B017-96D1C3FA5665;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/B855C85B-FDB7-42C2-BC89-48F283559874/batches/829647B6-5F11-4FA7-B017-96D1C3FA5665]
EF66F255-CAF5-4B4D-A89C-C2D2AF942FBA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/906BB29B-6279-4C95-8FC6-347FDB1F9D7F/batches/EF66F255-CAF5-4B4D-A89C-C2D2AF942FBA]
22AC8426-053D-4B15-9622-4F01BB9BF3B4;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/8677F217-D760-4BEB-82B1-DCD03112632D/batches/22AC8426-053D-4B15-9622-4F01BB9BF3B4]
6D679B39-7D8C-4020-A569-2D8D3E544065;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/B84B4392-FEE7-4A36-BF8C-30FC7ED32923/batches/6D679B39-7D8C-4020-A569-2D8D3E544065]
BB0EF7E6-F6A9-4356-A0DD-8C86ED380529;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/02200C6B-A275-4067-9867-1FFCC53BAA8D/batches/BB0EF7E6-F6A9-4356-A0DD-8C86ED380529]
078238B4-8D9F-4A1A-93F1-E292416A20D8;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/4A2B3419-2736-4B73-B5C1-C4E4C1050112/batches/078238B4-8D9F-4A1A-93F1-E292416A20D8]
DCD4E64C-BCFF-44D7-9AFA-354766750D6E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/CD9B01AE-7BCD-4F11-9725-BF77B6A3CF05/manage/D37C79F3-2F47-4568-8B37-EEEBA28961BC/batches/DCD4E64C-BCFF-44D7-9AFA-354766750D6E]
