Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 8;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 20;
008090797 (A6665211-412F-4A29-9B0C-746D952BEDAF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/A6665211-412F-4A29-9B0C-746D952BEDAF/batches/list]
008090799 (436A5C61-8194-4399-9AEA-60FD04F49125);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/436A5C61-8194-4399-9AEA-60FD04F49125/batches/list]
008090798 (6F8CBE75-A9CD-428D-8902-165B385115F3);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/6F8CBE75-A9CD-428D-8902-165B385115F3/batches/list]
008090796 (004BC9CD-6CF1-49EC-9D3C-6DD79BE9C95F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/004BC9CD-6CF1-49EC-9D3C-6DD79BE9C95F/batches/list]
008090800 (179F25BC-8CE0-43A1-BC84-E3FD29278A24);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/179F25BC-8CE0-43A1-BC84-E3FD29278A24/batches/list]
008090795 (5DB1EA50-0C50-4CD8-8172-1C8EEAF8CF52);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/5DB1EA50-0C50-4CD8-8172-1C8EEAF8CF52/batches/list]
007898661 (8DAEBBB8-EE89-4CDC-9FCD-F1AC57283564);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/8DAEBBB8-EE89-4CDC-9FCD-F1AC57283564/batches/list]
008090794 (9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/list]
008090794_00645 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/E36A1744-A22F-4D04-98C3-A69B981E3D3B]
008090794_00326 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/39B8855A-B67B-486F-8046-7DAEFE63CBDA]
008090794_00302 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/BB51F9F9-00E6-4F25-99E1-F6764B26295B]
008090794_00202 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/4B66F4D6-9C6F-49B8-A824-D9F12E726D16]
008090794_00201 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/4B66F4D6-9C6F-49B8-A824-D9F12E726D16]
008090794_00168 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/64DFBE83-91EF-4DC1-AB88-A91BF7F49BC7]
008090794_00595 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/69DF94C9-336B-4238-9884-4B9004AEF318]
008090794_00274 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/648FE584-29A5-454A-9DF2-97A0958D1CF9]
008090794_00273 (imageset: 9D6F9B30-52D6-483F-880C-9B3AAEDF8E45);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/manage/9D6F9B30-52D6-483F-880C-9B3AAEDF8E45/batches/648FE584-29A5-454A-9DF2-97A0958D1CF9]
