Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 2;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 125;
103394982_00503 (imageset: D91CC242-417C-4EB5-BDD0-D996017C6278);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/D91CC242-417C-4EB5-BDD0-D996017C6278/batches/7F1C5AE5-7432-4637-8B5E-931D849E86BF]
103701832_00520 (imageset: A95948A6-6CA0-49D5-AE96-F2973F81C345);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/A95948A6-6CA0-49D5-AE96-F2973F81C345/batches/3B0281A6-10F1-4108-8497-3B96DC9C4725]
103334381_00067 (imageset: 42011FAC-87BF-45EA-93E5-5E7C17531D80);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/42011FAC-87BF-45EA-93E5-5E7C17531D80/batches/168AA77E-3001-464B-94C5-4D2324D133F5]
103600570_02587 (imageset: EC1EA42A-3B36-44D5-B270-33D699EB22FC);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/EC1EA42A-3B36-44D5-B270-33D699EB22FC/batches/924B5851-211F-481C-AB2C-254D6DD36862]
103155520_00836 (imageset: 6B2E62F9-D523-43B3-86F6-379EBE470689);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/6B2E62F9-D523-43B3-86F6-379EBE470689/batches/2908A184-DDF2-49FD-B3A2-ECFA150BEFD0]
103260848_00875 (imageset: 93FEB43D-3F99-4A02-B443-5E057C9ECACE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/93FEB43D-3F99-4A02-B443-5E057C9ECACE/batches/145408A2-8601-4231-960C-35772C5878A8]
103279753_00816 (imageset: 637F169E-0D85-40C3-A29C-1D54A2E983DA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/637F169E-0D85-40C3-A29C-1D54A2E983DA/batches/9CBE444A-5987-48ED-B2A1-CAFEC8E0B559]
103279753_00811 (imageset: 637F169E-0D85-40C3-A29C-1D54A2E983DA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/637F169E-0D85-40C3-A29C-1D54A2E983DA/batches/9CBE444A-5987-48ED-B2A1-CAFEC8E0B559]
103693301_00398 (imageset: E9888AD6-9FC2-47BC-86AC-A920ABA2FF83);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/manage/E9888AD6-9FC2-47BC-86AC-A920ABA2FF83/batches/0EC1B31F-C1C5-4DA5-B4AD-A5641D5CAE60]
