Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 99;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
D0BAB763-9F8A-4324-BA87-3C9D2582DFA0;PROJECT;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/overview]
F4AFC30D-901B-4999-AD18-A6ED65709931;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/F4AFC30D-901B-4999-AD18-A6ED65709931/batches/list]
637DF3C7-3FB6-478C-9E90-4F6C53334E20;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/637DF3C7-3FB6-478C-9E90-4F6C53334E20/batches/list]
6A0A9433-1287-4C5D-A7CE-BA9B7A36F633;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/6A0A9433-1287-4C5D-A7CE-BA9B7A36F633/batches/list]
B5544711-8511-412C-B114-F208403CD252;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/B5544711-8511-412C-B114-F208403CD252/batches/list]
57F522A0-7465-4465-A394-9767750F1BE8;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/57F522A0-7465-4465-A394-9767750F1BE8/batches/list]
CFC8081F-C209-4473-9D4D-F33375E01CF0;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/CFC8081F-C209-4473-9D4D-F33375E01CF0/batches/list]
14B04457-0984-4247-B21D-D58D882E88B4;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/14B04457-0984-4247-B21D-D58D882E88B4/batches/list]
024EB715-6B0D-4DBB-ADA6-910A4C377080;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/024EB715-6B0D-4DBB-ADA6-910A4C377080/batches/list]
1E938ECF-9042-4195-9831-852A4ECEEF95;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/1E938ECF-9042-4195-9831-852A4ECEEF95/batches/list]
DAFD913A-2C5A-45FD-9F9D-92BD4F20D1F6;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/DAFD913A-2C5A-45FD-9F9D-92BD4F20D1F6/batches/list]
92D11A76-E72B-4B36-8553-6BAA919B3823;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/92D11A76-E72B-4B36-8553-6BAA919B3823/batches/list]
2DD25BE1-939A-4BB3-8D86-736813810242;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/2DD25BE1-939A-4BB3-8D86-736813810242/batches/list]
96B9379A-072D-40EB-85CA-9156375A5AF4;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/96B9379A-072D-40EB-85CA-9156375A5AF4/batches/list]
89F2F10D-D098-496A-9DF8-25529598A180;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/89F2F10D-D098-496A-9DF8-25529598A180/batches/list]
503F47C7-4682-4ACF-AAC2-B35D58AB1F52;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/503F47C7-4682-4ACF-AAC2-B35D58AB1F52/batches/list]
8014D058-6D8F-4770-8712-5F4DF59C42AF;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/8014D058-6D8F-4770-8712-5F4DF59C42AF/batches/list]
906FA5E3-9F76-434D-80A3-D90201A6CE78;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/906FA5E3-9F76-434D-80A3-D90201A6CE78/batches/list]
A045A52A-33A5-4E6D-BAA6-2D2F564D41F3;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D0BAB763-9F8A-4324-BA87-3C9D2582DFA0/manage/A045A52A-33A5-4E6D-BAA6-2D2F564D41F3/batches/list]
