Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 299;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
D3D24608-F8C4-4941-BD5A-8F22B6E4069A;PROJECT;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/overview]
804A29BC-3C3E-4BB7-938D-50FD2D6E3830;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/manage/804A29BC-3C3E-4BB7-938D-50FD2D6E3830/batches/list]
CF06A057-AF60-41D5-A922-217EAB1B681E;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/manage/CF06A057-AF60-41D5-A922-217EAB1B681E/batches/list]
8A63691A-8601-4A92-959E-5436741A3DA0;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/manage/8A63691A-8601-4A92-959E-5436741A3DA0/batches/list]
278B3E7B-23F0-4429-889C-A137AAF2D976;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/manage/278B3E7B-23F0-4429-889C-A137AAF2D976/batches/list]
8FB0C796-4652-4D37-9634-9C18F06F6F0E;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/manage/8FB0C796-4652-4D37-9634-9C18F06F6F0E/batches/list]
719B7A96-9EE5-4597-8961-8BB049132C4E;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/manage/719B7A96-9EE5-4597-8961-8BB049132C4E/batches/list]
FC99E682-75E3-4B04-8800-A98D3128256B;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D3D24608-F8C4-4941-BD5A-8F22B6E4069A/manage/FC99E682-75E3-4B04-8800-A98D3128256B/batches/list]
