Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 291;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5709;
DB4B58EE-6CE4-4030-8E38-9F8B45B153BE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/C66F5DBE-CABD-491D-837D-6F525A1B76FB/batches/DB4B58EE-6CE4-4030-8E38-9F8B45B153BE]
0E1118D8-3870-456E-B411-495F25A7D7A4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/0DDECE5D-9FFC-4DE5-84C0-AC5A26BF945F/batches/0E1118D8-3870-456E-B411-495F25A7D7A4]
B84E27D3-6427-4AEA-A62D-70BE8B335A79;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/71C1C844-B673-482D-B400-3ACDC082ACB8/batches/B84E27D3-6427-4AEA-A62D-70BE8B335A79]
226E12B2-4866-4377-AD3E-DBDD1989589E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/DC428D6F-B7F7-4CFD-84D6-185B273731B3/batches/226E12B2-4866-4377-AD3E-DBDD1989589E]
F7DD805F-8176-4468-BCDB-ED171EF3074A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/E4F08BC2-8393-4B7A-B5AD-CFD98EB99B4C/batches/F7DD805F-8176-4468-BCDB-ED171EF3074A]
8F3A8058-35A7-4041-A264-24C8899F5A33;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/E4F08BC2-8393-4B7A-B5AD-CFD98EB99B4C/batches/8F3A8058-35A7-4041-A264-24C8899F5A33]
3ED96268-EDE2-4DBC-94BE-E3F13D645111;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/36DE707A-4353-4E1F-8A44-6EF5DF547FE0/batches/3ED96268-EDE2-4DBC-94BE-E3F13D645111]
FC53C81C-89AE-41A2-999D-87A4071A1E03;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/B9A5E02E-72C7-4106-B415-DA70B238ABFD/batches/FC53C81C-89AE-41A2-999D-87A4071A1E03]
0B89A5C1-E508-438E-9C41-1B03011E8D1C;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/214E391F-BE73-469E-8BD5-BE4BB8B4F0FB/batches/0B89A5C1-E508-438E-9C41-1B03011E8D1C]
89FEA431-3823-474F-BCE0-FCE80790BE13;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/876632C9-6FFB-404F-A9F4-02F2ABAA3538/batches/89FEA431-3823-474F-BCE0-FCE80790BE13]
104DFAEE-46B3-4FEA-BAC7-819E1DDDCECD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/2660116F-8048-4677-BD58-3E0B23AB8ABD/batches/104DFAEE-46B3-4FEA-BAC7-819E1DDDCECD]
7676236F-DE51-4840-8FF0-686CC7CEE56C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/DC428D6F-B7F7-4CFD-84D6-185B273731B3/batches/7676236F-DE51-4840-8FF0-686CC7CEE56C]
59A6A853-13A9-4B5A-88AD-E70FDF964278;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/2660116F-8048-4677-BD58-3E0B23AB8ABD/batches/59A6A853-13A9-4B5A-88AD-E70FDF964278]
6A232D04-B76F-432A-81B9-31AC494B9ED9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/1DC94774-24D8-4D56-9B62-23F381D862A6/batches/6A232D04-B76F-432A-81B9-31AC494B9ED9]
20D2537A-556E-45A4-AB32-BD31AF7A9D99;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/A5DE93DC-F6DA-45C9-B269-D4E8ED9ACD04/batches/20D2537A-556E-45A4-AB32-BD31AF7A9D99]
A91849D5-9AE1-4AB2-906C-88C968D93D06;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/A5DE93DC-F6DA-45C9-B269-D4E8ED9ACD04/batches/A91849D5-9AE1-4AB2-906C-88C968D93D06]
5AE7CEFA-8106-48F0-B749-35270F6500D4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/0DDECE5D-9FFC-4DE5-84C0-AC5A26BF945F/batches/5AE7CEFA-8106-48F0-B749-35270F6500D4]
75375A9E-5D0E-42E6-9885-09815AF59796;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/2660116F-8048-4677-BD58-3E0B23AB8ABD/batches/75375A9E-5D0E-42E6-9885-09815AF59796]
CBCD7589-E9C0-4EB9-A873-0123428AC1C3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/AA7ACF7F-9D06-48C3-9C5F-1462B0BA45BF/batches/CBCD7589-E9C0-4EB9-A873-0123428AC1C3]
0B3C97E7-6647-41D8-80F1-5719828F4935;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/214E391F-BE73-469E-8BD5-BE4BB8B4F0FB/batches/0B3C97E7-6647-41D8-80F1-5719828F4935]
D86819A7-E8B1-461D-A91A-940D235E84EB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/B9A5E02E-72C7-4106-B415-DA70B238ABFD/batches/D86819A7-E8B1-461D-A91A-940D235E84EB]
81CF992B-B9DE-4711-B90E-8A8046EB8520;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/876632C9-6FFB-404F-A9F4-02F2ABAA3538/batches/81CF992B-B9DE-4711-B90E-8A8046EB8520]
EF57DF12-8E94-4C11-858E-2EFB5EAE4B5B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/2660116F-8048-4677-BD58-3E0B23AB8ABD/batches/EF57DF12-8E94-4C11-858E-2EFB5EAE4B5B]
DC15DE68-BDC5-4EE4-B1F4-EABAC41F7C43;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/C5D51050-8132-40F1-BD9B-A8969AD274A7/batches/DC15DE68-BDC5-4EE4-B1F4-EABAC41F7C43]
C91BE657-5DFB-4730-A671-B25D8C3F778A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/A5DE93DC-F6DA-45C9-B269-D4E8ED9ACD04/batches/C91BE657-5DFB-4730-A671-B25D8C3F778A]
A78E3E7A-7E7D-476C-A4B8-0CDE7504ECA6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/C5D51050-8132-40F1-BD9B-A8969AD274A7/batches/A78E3E7A-7E7D-476C-A4B8-0CDE7504ECA6]
2174C5E3-6138-409F-A716-EE17D50E51B5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/479494AD-DD9A-4F22-936D-1FCCD526BC96/batches/2174C5E3-6138-409F-A716-EE17D50E51B5]
170CBB00-EA55-470F-953E-CFA3CEDD59A2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/1DC94774-24D8-4D56-9B62-23F381D862A6/batches/170CBB00-EA55-470F-953E-CFA3CEDD59A2]
CCA2B0D9-FE9F-4251-8728-EB968DC379B3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D3E00FAB-C7D5-4AA3-8035-7ED831B9622A/manage/36DE707A-4353-4E1F-8A44-6EF5DF547FE0/batches/CCA2B0D9-FE9F-4251-8728-EB968DC379B3]
