Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
16CB56F8-344C-46B5-85F8-6B32C38160DB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/97498DF5-AEF3-4841-89C2-8F365A420BBF/batches/16CB56F8-344C-46B5-85F8-6B32C38160DB]
1F52DE27-6332-4426-8A33-171708626423;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/2B3D4B7D-25E9-46EB-B811-CE133549709C/batches/1F52DE27-6332-4426-8A33-171708626423]
03F75BD1-EFB3-4073-A77F-E44BC8FF0AA2;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/5BFBE155-3E1F-4AB7-A303-3A995685CA47/batches/03F75BD1-EFB3-4073-A77F-E44BC8FF0AA2]
06F86A39-3342-4E44-AE00-6F0E395328C5;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/630DF2CB-52F5-4366-AE04-5A4E00EC5811/batches/06F86A39-3342-4E44-AE00-6F0E395328C5]
1B94C006-D3F6-450A-87D7-39F1ED7EF05F;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/57DFFF74-CE3E-48E3-915A-DAC775FF0151/batches/1B94C006-D3F6-450A-87D7-39F1ED7EF05F]
26856CE5-30E7-4B19-A206-BA8A44120D03;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/B05BE153-32CC-4C7A-A3DB-4AAC1CBAEEF8/batches/26856CE5-30E7-4B19-A206-BA8A44120D03]
133671B1-9FFD-4A2D-A051-A7DF41B9F6AD;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/F40F5C5C-F5BE-4ECF-9D08-628D1E75E5EF/batches/133671B1-9FFD-4A2D-A051-A7DF41B9F6AD]
0893F625-01AD-450F-9817-DDEFCBED0997;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/40F48F7F-BA22-4711-BABF-B8688C8CA0F1/batches/0893F625-01AD-450F-9817-DDEFCBED0997]
22C0C656-A30D-4F03-8B1A-8B1776870E1B;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/7E1F63B0-14EA-4C25-BF28-9393E9944209/batches/22C0C656-A30D-4F03-8B1A-8B1776870E1B]
2A287CCB-AEA5-447B-9414-80D9BFFCE057;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/2B1B4BDF-EC21-4A91-8D5F-7E9B2A242F91/batches/2A287CCB-AEA5-447B-9414-80D9BFFCE057]
24EE98A8-D1BB-4558-9A94-8D8F8E9946E5;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/E66D144F-256A-47A0-98BD-A2DD35AA4C8B/batches/24EE98A8-D1BB-4558-9A94-8D8F8E9946E5]
0127A5D1-3BF9-484B-97CD-DE172DE2F733;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/472CA065-5859-4151-8AA5-899BEC7EF261/batches/0127A5D1-3BF9-484B-97CD-DE172DE2F733]
1BFC2EBE-D553-440D-BA22-A5309C098468;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/088A5690-F292-4D41-9966-501BAD857CBF/batches/1BFC2EBE-D553-440D-BA22-A5309C098468]
039379CD-ACBD-48B3-A32E-482A425D661F;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/FECC7586-9E85-497D-8849-6A1018B9AC0F/batches/039379CD-ACBD-48B3-A32E-482A425D661F]
08677C1F-B39F-4658-9E9D-19BBFE1BE4A0;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/BCCBE860-18FA-47FD-B618-092BA23C19C2/batches/08677C1F-B39F-4658-9E9D-19BBFE1BE4A0]
05A18721-03D2-4AD5-BFCA-73A0DEBF319D;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/C69D44BA-AB1E-4F11-A805-FCFDDDC3886C/batches/05A18721-03D2-4AD5-BFCA-73A0DEBF319D]
03D1ECE6-2BF7-452C-906C-8CC2610BBBF6;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/96795754-A094-4AEC-83DD-507FFB82A5B3/batches/03D1ECE6-2BF7-452C-906C-8CC2610BBBF6]
2839B236-D27F-487D-8B62-49FF76D7F73F;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/B18E5843-A2D8-4045-94E0-6D9044F9EFB0/batches/2839B236-D27F-487D-8B62-49FF76D7F73F]
1B7AED7D-E34D-49EF-8C63-29D7432651D4;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/8F2E9BB5-4BD6-4CA0-8B21-6229189C8C0A/batches/1B7AED7D-E34D-49EF-8C63-29D7432651D4]
1118605A-76B7-4DC9-8D9C-02B7E36B63CB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/D0B9FB3E-3D71-4792-B7FD-0D56202F7100/batches/1118605A-76B7-4DC9-8D9C-02B7E36B63CB]
22BBB4AF-E791-4A05-8BBE-43B842E31A48;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/8C59ED37-1598-4EA2-8AD1-586B40A6A5A1/batches/22BBB4AF-E791-4A05-8BBE-43B842E31A48]
121B9D34-F168-45C4-B220-611945D165B4;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/D0454692-1165-4A71-841F-68F37E54F818/batches/121B9D34-F168-45C4-B220-611945D165B4]
27D7DD87-34DC-419C-AA5F-BF95E4DC35BA;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/7F90395A-B996-4647-BAF4-F625894665F4/batches/27D7DD87-34DC-419C-AA5F-BF95E4DC35BA]
15F843E7-B0A4-4C0C-A7B5-71F1AA163EF1;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/01248E70-89D2-4C09-89F0-B6779EEAFE79/batches/15F843E7-B0A4-4C0C-A7B5-71F1AA163EF1]
045718D2-F98A-4417-9C9E-17330ED2A992;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/C94C499C-4074-46D3-B1AC-7368DAB12D8D/batches/045718D2-F98A-4417-9C9E-17330ED2A992]
181049CB-6630-443E-BDE2-4422B67BA053;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/5D69BD92-D5C0-4F75-89AE-48E7FAC0C566/batches/181049CB-6630-443E-BDE2-4422B67BA053]
05C34E11-BCAB-4EA7-BB29-1571F52DA2A0;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/6C6ABA83-185C-4B66-9D2B-FC8A3499E6A9/batches/05C34E11-BCAB-4EA7-BB29-1571F52DA2A0]
238A999A-5578-4959-A06B-3C2EA7DD7CCC;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/CD9F2789-D812-4863-947A-0AC544C7FC1F/batches/238A999A-5578-4959-A06B-3C2EA7DD7CCC]
00C8178E-DEC9-47D3-9425-5B1C54F8B9A0;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/CB571C39-6221-43E2-8409-D4D19371D0BC/batches/00C8178E-DEC9-47D3-9425-5B1C54F8B9A0]
182ABABC-E2C6-46AC-9B48-B4B0B7397613;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/C820FBD8-0DB1-48FE-BCCF-582575336DD5/batches/182ABABC-E2C6-46AC-9B48-B4B0B7397613]
0B55FB6F-3D2F-479E-A29E-1803CB818E29;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/0603C155-B156-46B5-AFF2-F43C8A711A5B/batches/0B55FB6F-3D2F-479E-A29E-1803CB818E29]
2311ADC8-AEE5-43D3-BFEA-E35AB0BD432D;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/A3F5C368-915D-4F4C-917E-714B1973F21D/batches/2311ADC8-AEE5-43D3-BFEA-E35AB0BD432D]
04755BA6-052E-45BF-9BCF-C202DFA64567;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/95D2B425-DE1A-4D01-8CED-13192FE803D3/batches/04755BA6-052E-45BF-9BCF-C202DFA64567]
1656F838-21BE-41E9-937C-416D2D3F84F6;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/E853D3AC-8D0F-4873-AB2B-A3F321B3051F/batches/1656F838-21BE-41E9-937C-416D2D3F84F6]
1084A2CD-DE60-45B4-A178-34A480FC1144;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/4040484F-2B53-40FB-997E-689DC24F10E4/batches/1084A2CD-DE60-45B4-A178-34A480FC1144]
17396F15-F40D-47D2-A438-C9FC369CF1E6;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/4E098FD4-9B69-4678-8474-C0ED8F30B642/batches/17396F15-F40D-47D2-A438-C9FC369CF1E6]
1DA4FF25-1D66-4832-A524-707385D5D25A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/AA5A5D14-8A63-4181-B29A-E14477500450/batches/1DA4FF25-1D66-4832-A524-707385D5D25A]
1464C77F-D8A6-49AB-ACC7-C1C0D428E765;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/B31D424D-A58F-47AD-8862-37DB7446CEBC/batches/1464C77F-D8A6-49AB-ACC7-C1C0D428E765]
1BD8ADFA-00B8-483B-969A-8AFFCAE4DCB9;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/01BDB5BF-7148-4D4B-9A6B-21952EA800AA/batches/1BD8ADFA-00B8-483B-969A-8AFFCAE4DCB9]
224F1A56-CF31-4E3A-9E1F-5D3B85F66D9A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/AB519B27-2189-4754-B908-79C7B802D161/batches/224F1A56-CF31-4E3A-9E1F-5D3B85F66D9A]
1BF34A23-396F-4FEC-A9B7-0791B7230236;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/9C28CC4D-BD34-4727-B071-8D611820F0D7/batches/1BF34A23-396F-4FEC-A9B7-0791B7230236]
16D7F323-97FE-448F-9912-3A4715BB950A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/2167B6EA-4BCF-48C3-8ED9-D7E5D0E63CA2/batches/16D7F323-97FE-448F-9912-3A4715BB950A]
2B4D019E-1F1A-4003-B3F3-981D224DE70C;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/04116E23-50B7-4F94-B1AB-3FCF440905C7/batches/2B4D019E-1F1A-4003-B3F3-981D224DE70C]
2BFEDE99-4E47-482D-AF76-AAC7B23A2D60;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/D4B463F0-651B-4477-AA5B-776E5650A524/manage/CDCA5A3E-5773-45BF-8F88-9E03E8A61687/batches/2BFEDE99-4E47-482D-AF76-AAC7B23A2D60]
