Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 50;
105301040 (E70DD460-08E0-471C-99A7-4A1AC00ADD4B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/E70DD460-08E0-471C-99A7-4A1AC00ADD4B/batches/list]
105301043 (D44E0319-388E-4380-A1AB-E55C827DB854);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/D44E0319-388E-4380-A1AB-E55C827DB854/batches/list]
105301045 (D8B41C81-B9A9-4516-9D8E-4D9A0EC2D658);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/D8B41C81-B9A9-4516-9D8E-4D9A0EC2D658/batches/list]
105301053 (CDC844D5-7CC2-425E-8A2E-31FE6BD6CD6C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/CDC844D5-7CC2-425E-8A2E-31FE6BD6CD6C/batches/list]
105301060 (C2EC9BD2-CB4E-40A1-A7AC-3E9FF10A3C69);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/C2EC9BD2-CB4E-40A1-A7AC-3E9FF10A3C69/batches/list]
105301071 (7E8BC2FC-5F0F-4258-8FD4-A32C957A3ACF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/7E8BC2FC-5F0F-4258-8FD4-A32C957A3ACF/batches/list]
105301036 (DB470741-4007-458D-8747-1EEDE7AE96BE);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/DB470741-4007-458D-8747-1EEDE7AE96BE/batches/list]
105301068 (3183AB04-B33A-424C-B1B8-395524F86EDA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/3183AB04-B33A-424C-B1B8-395524F86EDA/batches/list]
105301035 (14B38368-D455-4862-B55E-56DB1B2DA7BA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D588DB62-5886-49E3-B8E5-D03F48FD9EB8/manage/14B38368-D455-4862-B55E-56DB1B2DA7BA/batches/list]
