Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 23;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 7771;
101896357_00527 (imageset: C5D4CB45-FE61-47E2-8114-704DC6185EC1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/C5D4CB45-FE61-47E2-8114-704DC6185EC1/batches/F5B93F17-CB43-4E1B-864E-29D51EEDB5E3]
101910753_01310 (imageset: F85A9C81-36D3-416D-BE51-4DFCD7141554);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/F85A9C81-36D3-416D-BE51-4DFCD7141554/batches/D52BB165-04E9-4426-9323-74E5A8F22259]
101910490_00406 (imageset: 07D56FC8-1988-4ABD-A9EA-D8B78F6A7446);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/07D56FC8-1988-4ABD-A9EA-D8B78F6A7446/batches/C0D56596-D85B-49AA-82C2-C6124F8990A5]
101896387_01461 (imageset: 46101771-B302-4F82-874E-631E37BB9E9E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/46101771-B302-4F82-874E-631E37BB9E9E/batches/958EFF52-746A-4916-8ECE-CE3198CAF878]
101910762_00099 (imageset: 6EE3069B-9EED-43AC-8A1A-38B43456A1E2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/6EE3069B-9EED-43AC-8A1A-38B43456A1E2/batches/F7698EF7-11DB-4953-A0F1-8D62D5EFD7FD]
101896357_00526 (imageset: C5D4CB45-FE61-47E2-8114-704DC6185EC1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/C5D4CB45-FE61-47E2-8114-704DC6185EC1/batches/F5B93F17-CB43-4E1B-864E-29D51EEDB5E3]
101896357_00522 (imageset: C5D4CB45-FE61-47E2-8114-704DC6185EC1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/C5D4CB45-FE61-47E2-8114-704DC6185EC1/batches/CF7A2D20-7D0A-453A-BA43-0D602840C43D]
101896370_01098 (imageset: 1D594CCC-BB67-40EF-8A23-8AAD7277FBFA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D5A83245-1C11-4824-A5F6-080AA793293E/manage/1D594CCC-BB67-40EF-8A23-8AAD7277FBFA/batches/3532F6EE-62BD-4355-BFAB-050FDC192E0F]
