Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 20;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
005412517_00012 (imageset: 9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9/batches/616E412F-8714-4CC5-B3E8-574181F88419]
005412467_00019 (imageset: EF9EF026-B448-48AD-A747-FD1A1BAA29A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/EF9EF026-B448-48AD-A747-FD1A1BAA29A5/batches/84F52079-2E13-4FEE-B019-B0881F9A4041]
005412546_00067 (imageset: B738181E-8787-44C5-8561-8C576BA2A0C8);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/B738181E-8787-44C5-8561-8C576BA2A0C8/batches/17B766B2-8856-4F69-B53E-DC5EC5036C67]
005412517_00013 (imageset: 9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9/batches/616E412F-8714-4CC5-B3E8-574181F88419]
005412517_00010 (imageset: 9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9/batches/616E412F-8714-4CC5-B3E8-574181F88419]
005412517_00011 (imageset: 9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9/batches/616E412F-8714-4CC5-B3E8-574181F88419]
005412476_00200 (imageset: 84E8B8FB-C919-484F-AFD9-7D1BCD511E55);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/84E8B8FB-C919-484F-AFD9-7D1BCD511E55/batches/E6887992-1F6F-4F33-A920-802FF78D2FC4]
005412517_00015 (imageset: 9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9/batches/616E412F-8714-4CC5-B3E8-574181F88419]
005382168_00498 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/A36B13BF-3759-454A-B58A-D4537AF39375]
005382168_01546 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/753CF0BE-6D1F-48C6-B38A-8532EB0BE22E]
005382168_00990 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/BEBCC1B4-2308-4BAB-B0BF-08E54E4EC489]
005412499_00402 (imageset: 1341053E-CCB4-4763-82B2-5354E58FD389);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/1341053E-CCB4-4763-82B2-5354E58FD389/batches/37028C4F-1E84-4819-9CBB-C5BC1AA8C2EF]
005412549_00422 (imageset: FEAB8274-6FD6-49D0-8659-FF5BD11B7906);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/FEAB8274-6FD6-49D0-8659-FF5BD11B7906/batches/4F7E2BF4-9B84-43E6-841D-07BE7D6CBE31]
004515456_00009 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
004515456_00008 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
004515456_00007 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
005412424_00292 (imageset: 6F11D9CF-1FB5-4443-9474-CF65C81C8431);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/6F11D9CF-1FB5-4443-9474-CF65C81C8431/batches/8D8629FC-5D02-49BC-BF4E-458DEAF4D5D9]
004515456_00006 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
004515456_00005 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
005412467_00012 (imageset: EF9EF026-B448-48AD-A747-FD1A1BAA29A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/EF9EF026-B448-48AD-A747-FD1A1BAA29A5/batches/84F52079-2E13-4FEE-B019-B0881F9A4041]
005412467_00007 (imageset: EF9EF026-B448-48AD-A747-FD1A1BAA29A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/EF9EF026-B448-48AD-A747-FD1A1BAA29A5/batches/84F52079-2E13-4FEE-B019-B0881F9A4041]
005412496_00817 (imageset: F33DE5BE-8670-43DF-BAC2-9AC3C56FCB37);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/F33DE5BE-8670-43DF-BAC2-9AC3C56FCB37/batches/0F505BB3-C366-4C69-9DC9-AEDF511BBF7F]
005382168_00988 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/BEBCC1B4-2308-4BAB-B0BF-08E54E4EC489]
005382168_00504 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/A36B13BF-3759-454A-B58A-D4537AF39375]
005382168_00982 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/BEBCC1B4-2308-4BAB-B0BF-08E54E4EC489]
005412517_00009 (imageset: 9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9/batches/616E412F-8714-4CC5-B3E8-574181F88419]
005412425_00460 (imageset: 6DB3924B-46DC-4F4F-A5CD-C3F96BF0A82D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/6DB3924B-46DC-4F4F-A5CD-C3F96BF0A82D/batches/71B274B7-0B63-4C09-AA1A-34EC3C0676FE]
005382168_00984 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/BEBCC1B4-2308-4BAB-B0BF-08E54E4EC489]
005412517_00008 (imageset: 9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/9B5B9CAA-7C84-4AB7-AA4F-7C982522F3D9/batches/616E412F-8714-4CC5-B3E8-574181F88419]
005382168_01550 (imageset: AEE7C213-517B-4E59-AAA8-4369533FD566);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/AEE7C213-517B-4E59-AAA8-4369533FD566/batches/753CF0BE-6D1F-48C6-B38A-8532EB0BE22E]
005412548_00651 (imageset: A06D8307-6EBB-49CD-A028-B554E15E2DE9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/A06D8307-6EBB-49CD-A028-B554E15E2DE9/batches/8FEA9DD5-22C1-4AB6-A3A5-608BC06355CF]
004515456_00012 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
004515456_00011 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
004515456_00010 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
005412545_00722 (imageset: F32CA984-E812-44B1-AA70-A7F36FFD5088);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/F32CA984-E812-44B1-AA70-A7F36FFD5088/batches/D838BDFB-CB5B-4635-AA49-5DF3C3D0A39F]
005370557_00240 (imageset: 73D2DEAF-3C02-48FE-9DDA-E647F81E5B69);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/73D2DEAF-3C02-48FE-9DDA-E647F81E5B69/batches/4C1EB64F-984F-4A69-9704-37BB572878FD]
004515456_00014 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
005412347_00787 (imageset: 56B31D92-DC9E-4BB1-A659-8E21B7AC6BEA);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/56B31D92-DC9E-4BB1-A659-8E21B7AC6BEA/batches/259F14F4-376F-49F5-BE2C-B8DC94092F76]
005412347_00226 (imageset: 56B31D92-DC9E-4BB1-A659-8E21B7AC6BEA);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/56B31D92-DC9E-4BB1-A659-8E21B7AC6BEA/batches/41EB197E-68A5-469D-9065-34EA2B3ABDC8]
004515456_00013 (imageset: 7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D6A79524-35AF-45BF-A227-043199769092/manage/7DA9257B-B6EC-4308-BD98-EC5E2DD0C9CF/batches/3DDDEDEE-6881-4451-ABDE-03E5AAD678D8]
