Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;IMAGE:NO_INDEXING_BATCH: 100;
004979498_00042 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00042 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00075 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00075 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00094 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00094 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00056 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00056 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00061 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00061 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00006 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00006 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00039 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00039 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
004979498_00023 (imageset: FA95EDD1-1EDB-45A8-85EA-8977D2CA8500);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D75B846B-552C-4B1C-B4DE-1EB329BBE03D/manage/FA95EDD1-1EDB-45A8-85EA-8977D2CA8500/batches/DF2250CA-AF82-499A-B64C-F48B5F65CA25]
