Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 494;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
13-1167;DGS_ASSIGNMENT;DGS_MISSASSIGNMENTS;[13-1167 DgsMisassignments|13-1167 DgsMisassignments]
100428593 (6675EDD6-6852-4130-A388-C3874FE73340);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/6675EDD6-6852-4130-A388-C3874FE73340/batches/list]
100401993 (F20DB2BB-6339-4B70-9FAA-3DD7ACE2BEB7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/F20DB2BB-6339-4B70-9FAA-3DD7ACE2BEB7/batches/list]
100236568 (6DE49B24-577F-4417-BDC6-4C45DA5CCEFD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/6DE49B24-577F-4417-BDC6-4C45DA5CCEFD/batches/list]
100323028 (6FB58E02-9854-48F9-8490-8A3C78FD4A3C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/6FB58E02-9854-48F9-8490-8A3C78FD4A3C/batches/list]
100214416 (8A493723-F616-468C-ACEC-26BAFCA70F8B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/8A493723-F616-468C-ACEC-26BAFCA70F8B/batches/list]
100429995 (158EDD4D-BC56-427E-8D7B-7E59CA13007E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/158EDD4D-BC56-427E-8D7B-7E59CA13007E/batches/list]
100236576 (F5BF4040-F782-43C9-8C6F-A91D8C969E4F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/F5BF4040-F782-43C9-8C6F-A91D8C969E4F/batches/list]
100354212 (1B6CF19C-022D-4C8D-BC01-165835B07A53);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/1B6CF19C-022D-4C8D-BC01-165835B07A53/batches/list]
100236569 (0A54D0C9-8A23-4416-8FAD-E16273CAA316);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/0A54D0C9-8A23-4416-8FAD-E16273CAA316/batches/list]
100401984 (B106E1EB-B041-4BEA-AE6B-E26E241F35B4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/B106E1EB-B041-4BEA-AE6B-E26E241F35B4/batches/list]
100288866 (8BEE1A8D-5E83-4EA4-B0AB-D0DBF86C0E90);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/8BEE1A8D-5E83-4EA4-B0AB-D0DBF86C0E90/batches/list]
100353709 (A5123EF2-6B77-4C32-A360-D9F56D4B8184);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/A5123EF2-6B77-4C32-A360-D9F56D4B8184/batches/list]
100430012 (8CCDDB8F-B5CB-454C-8EBD-983C2AAF6256);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/8CCDDB8F-B5CB-454C-8EBD-983C2AAF6256/batches/list]
100543090 (3DB7362D-2DC0-4BB2-9F01-625184CDC946);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/3DB7362D-2DC0-4BB2-9F01-625184CDC946/batches/list]
100486465 (B1182535-ABEB-4123-9BE9-1D8759450B12);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/B1182535-ABEB-4123-9BE9-1D8759450B12/batches/list]
100214403 (DDBF7983-5D1C-485E-9C32-9405B9A0DDD7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/DDBF7983-5D1C-485E-9C32-9405B9A0DDD7/batches/list]
100486671 (747750D6-3379-4A6E-A21A-23586144BA89);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/747750D6-3379-4A6E-A21A-23586144BA89/batches/list]
100486429 (DF16B31C-524D-4424-BA1A-1C80689074D5);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/DF16B31C-524D-4424-BA1A-1C80689074D5/batches/list]
100401987 (00E1621B-4CAE-4AE0-B2EE-AC41DCC41FEB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/00E1621B-4CAE-4AE0-B2EE-AC41DCC41FEB/batches/list]
100460507 (B667A09A-E51F-487E-82B0-FDE2ED9C8E15);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/B667A09A-E51F-487E-82B0-FDE2ED9C8E15/batches/list]
100542976 (A552D56F-3568-4ECF-8C29-9505412793DB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/A552D56F-3568-4ECF-8C29-9505412793DB/batches/list]
100323025 (C4BC367F-849D-4CA1-BF8F-4938B1935FF9);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/C4BC367F-849D-4CA1-BF8F-4938B1935FF9/batches/list]
100542962 (A43A82EA-9DDC-4DD2-9449-92BEDD669E9A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/A43A82EA-9DDC-4DD2-9449-92BEDD669E9A/batches/list]
100288860 (2440CA04-2D61-49A3-A867-A9088D8AE35E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/2440CA04-2D61-49A3-A867-A9088D8AE35E/batches/list]
100288852 (1B445CCE-62C0-4AD9-B62C-15828FFA5870);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/1B445CCE-62C0-4AD9-B62C-15828FFA5870/batches/list]
100460531 (55313F1E-12D8-44A4-BF03-71097BD9843B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/55313F1E-12D8-44A4-BF03-71097BD9843B/batches/list]
100401988 (AB00BB58-34A9-40F6-A5D4-6E05F7062DAC);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/AB00BB58-34A9-40F6-A5D4-6E05F7062DAC/batches/list]
100486660 (A88EF23E-D037-48D7-8147-1EAC1319A2A7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/A88EF23E-D037-48D7-8147-1EAC1319A2A7/batches/list]
100288877 (2AA8896C-793C-4889-ACEF-0711A2D0ADDF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/2AA8896C-793C-4889-ACEF-0711A2D0ADDF/batches/list]
100214426 (D04478B8-EE80-461F-94E7-C10395780496);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/D04478B8-EE80-461F-94E7-C10395780496/batches/list]
100429985 (9F7A542D-7FB5-45B3-A778-8AAF6F875380);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/D771DBC1-12A1-4C47-A8F3-9F3C2130A714/manage/9F7A542D-7FB5-45B3-A778-8AAF6F875380/batches/list]
