Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 139;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 473;
005091573_00526 (imageset: B8124E97-B7C2-4B2B-ABBE-1A9C7E69B983);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/B8124E97-B7C2-4B2B-ABBE-1A9C7E69B983/batches/C660BEFF-417A-4C97-9B32-AD2C83B592DE]
005091573_00647 (imageset: B8124E97-B7C2-4B2B-ABBE-1A9C7E69B983);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/B8124E97-B7C2-4B2B-ABBE-1A9C7E69B983/batches/2A0603C5-65EA-4189-A86D-032D8B5D3696]
005091681_00126 (imageset: 63638EB8-5E1E-4094-8649-7C2B56EB39C1);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/63638EB8-5E1E-4094-8649-7C2B56EB39C1/batches/B0B191DC-83F5-4FBF-A80B-BAAB0FAB4C0D]
005091316_00314 (imageset: 865ECFBF-0CC9-4C4E-8A4B-19A1F92643F2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/865ECFBF-0CC9-4C4E-8A4B-19A1F92643F2/batches/44803F7A-947F-40C1-BDBF-95685B85EAF8]
005091573_00529 (imageset: B8124E97-B7C2-4B2B-ABBE-1A9C7E69B983);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/B8124E97-B7C2-4B2B-ABBE-1A9C7E69B983/batches/9295B835-9CDE-40B5-8BB0-FF111AAB83A9]
005091509_00231 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/7A5FC4E5-D19A-4252-AC8B-B2F3B7F198FD]
005091509_00232 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/7A5FC4E5-D19A-4252-AC8B-B2F3B7F198FD]
005091582_00395 (imageset: 8D5AA495-A7F4-48A7-96BB-BEF5F6358283);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/8D5AA495-A7F4-48A7-96BB-BEF5F6358283/batches/A7129BCF-F157-475E-B445-E29C7F538C09]
005091576_00241 (imageset: E3408B8C-A11A-4102-8874-621ED13062BE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/E3408B8C-A11A-4102-8874-621ED13062BE/batches/27D9B9A3-7664-48A9-893D-DD0AA33D1D94]
005091509_00233 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/CF786045-11A6-42E0-B5F0-CDEB8C37985B]
005091341_00018 (imageset: 832BA45E-FD6F-482B-905E-EC68BD12E1BD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/832BA45E-FD6F-482B-905E-EC68BD12E1BD/batches/207DFD7F-C65A-48E0-87C2-4EBA5496A53A]
005091521_00184 (imageset: F78E1CD3-16B4-41B7-8768-7F59A4D6B72A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/F78E1CD3-16B4-41B7-8768-7F59A4D6B72A/batches/36A60C2F-51B3-4DA1-86AC-8A44CD413542]
005091509_00234 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/CF786045-11A6-42E0-B5F0-CDEB8C37985B]
005091509_00476 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/E68270A0-A4B1-4EC5-8557-F654965A4D23]
005091509_00235 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/B24061D6-6740-4F67-9E8E-423BBC013D7F]
005091509_00477 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/E68270A0-A4B1-4EC5-8557-F654965A4D23]
005091521_00065 (imageset: F78E1CD3-16B4-41B7-8768-7F59A4D6B72A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/F78E1CD3-16B4-41B7-8768-7F59A4D6B72A/batches/54BBD26A-1575-423E-88B9-8B96B5C49481]
005091509_00236 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/B24061D6-6740-4F67-9E8E-423BBC013D7F]
005091509_00119 (imageset: AEFA53D0-7213-4007-9586-788140A83E62);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/D8110765-1BF8-470E-9F08-830176AFAFBA/manage/AEFA53D0-7213-4007-9586-788140A83E62/batches/0662CA2B-0AB9-480E-A05D-F6AE7F67B10F]
