Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 9;
007760134_00077 (imageset: 4C046AD6-44A5-43AF-8231-1F4AE7393372);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/4C046AD6-44A5-43AF-8231-1F4AE7393372/batches/A05524C2-6B24-4A4E-A37F-ADD047AF712E]
007760177_00545 (imageset: F3BBD2A2-B06B-405F-AE1E-FF6CDBC4E826);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/F3BBD2A2-B06B-405F-AE1E-FF6CDBC4E826/batches/B802789D-69C1-4E1B-A5FA-506675241360]
007760153_00273 (imageset: 84344E09-1EBD-4BC1-A421-4CDFFCAC4C48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/84344E09-1EBD-4BC1-A421-4CDFFCAC4C48/batches/5B0D165F-8B98-477B-A5E4-4BFD0978D8F1]
007760180_00276 (imageset: AE0C8ACE-AA34-4306-8363-A29D912D88FE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/AE0C8ACE-AA34-4306-8363-A29D912D88FE/batches/E27A4D0F-0B8E-4727-8A79-5D4DE6456FD7]
007760150_00391 (imageset: DE9F7C7C-2A17-4DDF-ADB0-CA1850668B43);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/DE9F7C7C-2A17-4DDF-ADB0-CA1850668B43/batches/D4097343-0443-42B3-8EFF-02F007F6E6EB]
007760167_00340 (imageset: C345EFB7-FC1F-44EB-B466-BE1351853F23);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/C345EFB7-FC1F-44EB-B466-BE1351853F23/batches/E0B12170-14C8-4C70-AC5F-B4A46C7F9892]
007760162_00255 (imageset: 3E61B73E-BB5A-4C22-8B04-765CBBC68779);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/3E61B73E-BB5A-4C22-8B04-765CBBC68779/batches/2D54F3AA-CCBC-406E-A961-F969484BD63B]
007760154_00267 (imageset: 2405B9CC-AC7E-4DA2-A25F-8FD0E437E96E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/2405B9CC-AC7E-4DA2-A25F-8FD0E437E96E/batches/CCE5C2FF-54C2-4CF4-9390-7F5F3E38E6B5]
007760146_00113 (imageset: 3292C295-0C45-4114-96E2-C0C85205C2D6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DADEBF06-0A4C-41FA-BAFD-4DF065AF3197/manage/3292C295-0C45-4114-96E2-C0C85205C2D6/batches/D3A0C34A-B195-47E4-AC62-80A2CD765617]
