Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
47FCBE96-AC27-41D2-9C95-ABCAC6333490;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/F8C5D43E-F679-4CEC-8549-DB9F531B8F4B/batches/47FCBE96-AC27-41D2-9C95-ABCAC6333490]
17252A0C-9BBE-4901-9167-DD107288FCBE;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/D1CF5394-318C-4D4E-A8F1-6A7C83BBBEBF/batches/17252A0C-9BBE-4901-9167-DD107288FCBE]
2D639257-CE1A-4856-8C9D-975C4AE094BD;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/D1CF5394-318C-4D4E-A8F1-6A7C83BBBEBF/batches/2D639257-CE1A-4856-8C9D-975C4AE094BD]
DC8AAA93-BDD9-44CA-B866-F8FDFCDD6886;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/D1CF5394-318C-4D4E-A8F1-6A7C83BBBEBF/batches/DC8AAA93-BDD9-44CA-B866-F8FDFCDD6886]
C6712DA8-4FBD-4A20-ABD1-60376F66FFBF;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/1AC2F916-E089-4CAC-8F6A-5C8ACC880F62/batches/C6712DA8-4FBD-4A20-ABD1-60376F66FFBF]
A2FA273B-FA91-4E9C-83CA-C867BFFCA480;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/D1CF5394-318C-4D4E-A8F1-6A7C83BBBEBF/batches/A2FA273B-FA91-4E9C-83CA-C867BFFCA480]
75A32DA5-B1E8-4B03-AEE2-5A139D6071BE;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/96A4C18D-337A-452C-9F16-FC15809E9E80/batches/75A32DA5-B1E8-4B03-AEE2-5A139D6071BE]
57C96495-927D-4A1A-9D22-9AF84D233C4E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/E7DDC32D-AEBD-4B8F-AC9A-B34F99426A0E/batches/57C96495-927D-4A1A-9D22-9AF84D233C4E]
63FC874F-879C-4D6B-8925-3796E68224DC;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/1AC2F916-E089-4CAC-8F6A-5C8ACC880F62/batches/63FC874F-879C-4D6B-8925-3796E68224DC]
42B644A9-EF5C-43EC-87A2-D39AE4EFF7B5;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/9E0A1D8B-A924-4D97-85FB-05917DDD31BF/batches/42B644A9-EF5C-43EC-87A2-D39AE4EFF7B5]
402BDE0B-765A-47A8-9CBE-9A8404401CCC;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/1AC2F916-E089-4CAC-8F6A-5C8ACC880F62/batches/402BDE0B-765A-47A8-9CBE-9A8404401CCC]
40A49C0B-F08A-4D79-8787-AAED9E725BAE;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/1AC2F916-E089-4CAC-8F6A-5C8ACC880F62/batches/40A49C0B-F08A-4D79-8787-AAED9E725BAE]
D77D60E2-8257-4845-8124-ACBD04DDB7E3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DBEF11EA-9B6F-4406-A676-8C67E5FD8561/manage/F8C5D43E-F679-4CEC-8549-DB9F531B8F4B/batches/D77D60E2-8257-4845-8124-ACBD04DDB7E3]
