Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 4;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 438;
007944515_00242 (imageset: 2ABA925A-12A7-44E0-9935-194964EE1BB8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/2ABA925A-12A7-44E0-9935-194964EE1BB8/batches/A48269D1-C398-401C-85FF-FCEEA9965459]
007944507_00266 (imageset: 9CC421AA-C5B5-48F0-ADE3-14E29A553515);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/9CC421AA-C5B5-48F0-ADE3-14E29A553515/batches/09C4EE14-14AE-4F90-A35A-34CC064648A9]
007944502_00367 (imageset: AC17DE74-566A-41C3-B0E7-9ECA88941808);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/AC17DE74-566A-41C3-B0E7-9ECA88941808/batches/D453BB66-8683-4D8A-8A15-7B2EF2D8F4DB]
007944496_00039 (imageset: 2587D645-9BA5-4D21-AA27-1E89DBA253EE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/2587D645-9BA5-4D21-AA27-1E89DBA253EE/batches/6F0AB9B3-1E9F-4FA4-BB0C-9DC6189C38EE]
007944502_00486 (imageset: AC17DE74-566A-41C3-B0E7-9ECA88941808);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/AC17DE74-566A-41C3-B0E7-9ECA88941808/batches/679E8089-D63D-4985-B95E-EBAE288ACCC1]
007944502_00361 (imageset: AC17DE74-566A-41C3-B0E7-9ECA88941808);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/AC17DE74-566A-41C3-B0E7-9ECA88941808/batches/618645A5-66EC-4721-90BB-7C719ED84E77]
007944513_00069 (imageset: 46880BF8-5D96-4A81-8329-E58773E33C5D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/46880BF8-5D96-4A81-8329-E58773E33C5D/batches/962A7A15-8CD9-4D00-B58A-1E98FCF109E9]
007944528_00241 (imageset: 85F5A166-CBCB-43A6-A582-019B5CC9D2B9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/85F5A166-CBCB-43A6-A582-019B5CC9D2B9/batches/5B0F399B-AE70-445A-A4B1-0146614D5C8E]
007944646_00123 (imageset: 8FE04F63-8164-4498-A787-5AC79099BF5E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/8FE04F63-8164-4498-A787-5AC79099BF5E/batches/CBF3A7BF-9E18-42AC-852A-D18B5DAA2027]
007944496_00031 (imageset: 2587D645-9BA5-4D21-AA27-1E89DBA253EE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/2587D645-9BA5-4D21-AA27-1E89DBA253EE/batches/1CBFE0DE-B3F9-4F74-A42A-B954E22047D6]
007944523_00464 (imageset: DA08E7E8-4159-42C8-AAB0-88080929B54F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/DA08E7E8-4159-42C8-AAB0-88080929B54F/batches/09D0A97D-EB99-4D4B-A8C3-BC45B11313B9]
007944526_00290 (imageset: 7EFFD5D7-B56C-4F35-B511-CF97EC9FFBEF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DBF694AF-61D6-439A-B945-038F3BAD0CFF/manage/7EFFD5D7-B56C-4F35-B511-CF97EC9FFBEF/batches/2E601D18-0DD2-4A8A-82C0-48D441C37F29]
