Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_FAILED_STATE: 12;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 5;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 4;
007750626_00942 (imageset: BAF25514-3EDF-458D-9DC8-A49C5267F3E2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/BAF25514-3EDF-458D-9DC8-A49C5267F3E2/batches/38D332E8-78B4-433D-9612-E12DC2B4502F]
007746823_01003 (imageset: 8073D822-8F18-4BD2-87E7-E3D97156E965);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/8073D822-8F18-4BD2-87E7-E3D97156E965/batches/C69EEA8C-2475-4F58-9CA0-4D9D07676628]
007747844_00601 (imageset: 6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7/batches/5F36C081-60F0-46D7-AB43-46351CD06878]
007747844_00602 (imageset: 6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7/batches/5F36C081-60F0-46D7-AB43-46351CD06878]
007747844_00603 (imageset: 6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7/batches/5F36C081-60F0-46D7-AB43-46351CD06878]
007746853_00382 (imageset: 93551CA8-1045-4EA8-8C26-B1A053D34E8E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/93551CA8-1045-4EA8-8C26-B1A053D34E8E/batches/184098D3-F0F5-4B93-97DA-54A9F885B84F]
007747844_00604 (imageset: 6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/6CFB952A-A975-4C2B-BE69-1AACF2B1B7C7/batches/5F36C081-60F0-46D7-AB43-46351CD06878]
007747872_01084 (imageset: D4ECEB2C-FAD3-4662-BCE1-3343CCF17286);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/D4ECEB2C-FAD3-4662-BCE1-3343CCF17286/batches/762C4C06-B2EF-4291-B302-43691C14D543]
007748891_01026 (imageset: 8D33F554-2B5E-484F-AE0F-5E4CAC2A838E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/8D33F554-2B5E-484F-AE0F-5E4CAC2A838E/batches/F49C4310-17FD-4114-8FB4-5EE574CEAB20]
007747872_01085 (imageset: D4ECEB2C-FAD3-4662-BCE1-3343CCF17286);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/D4ECEB2C-FAD3-4662-BCE1-3343CCF17286/batches/762C4C06-B2EF-4291-B302-43691C14D543]
007747872_01086 (imageset: D4ECEB2C-FAD3-4662-BCE1-3343CCF17286);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/D4ECEB2C-FAD3-4662-BCE1-3343CCF17286/batches/762C4C06-B2EF-4291-B302-43691C14D543]
007747872_01164 (imageset: D4ECEB2C-FAD3-4662-BCE1-3343CCF17286);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/D4ECEB2C-FAD3-4662-BCE1-3343CCF17286/batches/FF4E0FA7-D679-4136-A84C-354B4E983B5F]
007747872_01087 (imageset: D4ECEB2C-FAD3-4662-BCE1-3343CCF17286);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/D4ECEB2C-FAD3-4662-BCE1-3343CCF17286/batches/762C4C06-B2EF-4291-B302-43691C14D543]
007747872_01165 (imageset: D4ECEB2C-FAD3-4662-BCE1-3343CCF17286);IMAGE;IMAGE_IN_FAILED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DF2ECE28-E32F-4E03-859D-2C72945B606F/manage/D4ECEB2C-FAD3-4662-BCE1-3343CCF17286/batches/FF4E0FA7-D679-4136-A84C-354B4E983B5F]
