Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 1284;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 2;
E05A500C-35BE-41D9-854F-7BBE533582BF;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/overview]
105047332_00565 (imageset: F70D827C-4E79-41BC-950C-065E6696BD99);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/F70D827C-4E79-41BC-950C-065E6696BD99/batches/list]
105047332_00566 (imageset: F70D827C-4E79-41BC-950C-065E6696BD99);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/F70D827C-4E79-41BC-950C-065E6696BD99/batches/list]
105047332_00324 (imageset: F70D827C-4E79-41BC-950C-065E6696BD99);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/F70D827C-4E79-41BC-950C-065E6696BD99/batches/list]
105047322_00287 (imageset: 06B487EA-EA91-480B-AA78-A6DCE80F38F8);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/06B487EA-EA91-480B-AA78-A6DCE80F38F8/batches/list]
105047332_00568 (imageset: F70D827C-4E79-41BC-950C-065E6696BD99);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/F70D827C-4E79-41BC-950C-065E6696BD99/batches/list]
105047332_00326 (imageset: F70D827C-4E79-41BC-950C-065E6696BD99);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/F70D827C-4E79-41BC-950C-065E6696BD99/batches/list]
105047337_00101 (imageset: CC6E949E-D938-44E6-82BF-5B2164D9C1AC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/CC6E949E-D938-44E6-82BF-5B2164D9C1AC/batches/list]
105047332_00320 (imageset: F70D827C-4E79-41BC-950C-065E6696BD99);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/F70D827C-4E79-41BC-950C-065E6696BD99/batches/list]
105047284_00292 (imageset: E531FA6D-9757-41D7-BC74-150CF9D4FB9A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/E531FA6D-9757-41D7-BC74-150CF9D4FB9A/batches/list]
105047332_00321 (imageset: F70D827C-4E79-41BC-950C-065E6696BD99);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/F70D827C-4E79-41BC-950C-065E6696BD99/batches/list]
105047322_00289 (imageset: 06B487EA-EA91-480B-AA78-A6DCE80F38F8);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/06B487EA-EA91-480B-AA78-A6DCE80F38F8/batches/list]
105047284_00290 (imageset: E531FA6D-9757-41D7-BC74-150CF9D4FB9A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/E531FA6D-9757-41D7-BC74-150CF9D4FB9A/batches/list]
105047284_00295 (imageset: E531FA6D-9757-41D7-BC74-150CF9D4FB9A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/E531FA6D-9757-41D7-BC74-150CF9D4FB9A/batches/list]
105047284_00053 (imageset: E531FA6D-9757-41D7-BC74-150CF9D4FB9A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/E531FA6D-9757-41D7-BC74-150CF9D4FB9A/batches/list]
105047284_00054 (imageset: E531FA6D-9757-41D7-BC74-150CF9D4FB9A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E05A500C-35BE-41D9-854F-7BBE533582BF/manage/E531FA6D-9757-41D7-BC74-150CF9D4FB9A/batches/list]
