Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 24;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
103265782_00064 (imageset: 52E87326-477A-4E09-9D84-C2E85D0B9CE0);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/52E87326-477A-4E09-9D84-C2E85D0B9CE0/batches/C9BFDB49-2086-4365-9C92-84B0CAEEDE42]
103941093_00073 (imageset: 25E8A559-5D72-4BD5-9CF8-82EC539C5E25);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/25E8A559-5D72-4BD5-9CF8-82EC539C5E25/batches/5AF96606-7006-465E-B86F-F32CCA50EE19]
103941093_00072 (imageset: 25E8A559-5D72-4BD5-9CF8-82EC539C5E25);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/25E8A559-5D72-4BD5-9CF8-82EC539C5E25/batches/5AF96606-7006-465E-B86F-F32CCA50EE19]
103720443_00017 (imageset: B6418C8E-5EDF-4ECC-927C-2AE636E50158);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/B6418C8E-5EDF-4ECC-927C-2AE636E50158/batches/AD521D66-4711-4655-BAE4-024C6E44B0AF]
103941093_00071 (imageset: 25E8A559-5D72-4BD5-9CF8-82EC539C5E25);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/25E8A559-5D72-4BD5-9CF8-82EC539C5E25/batches/5AF96606-7006-465E-B86F-F32CCA50EE19]
103941093_00070 (imageset: 25E8A559-5D72-4BD5-9CF8-82EC539C5E25);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/25E8A559-5D72-4BD5-9CF8-82EC539C5E25/batches/5AF96606-7006-465E-B86F-F32CCA50EE19]
103720443_00013 (imageset: B6418C8E-5EDF-4ECC-927C-2AE636E50158);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/B6418C8E-5EDF-4ECC-927C-2AE636E50158/batches/AD521D66-4711-4655-BAE4-024C6E44B0AF]
103720443_00016 (imageset: B6418C8E-5EDF-4ECC-927C-2AE636E50158);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E484B655-6994-47CD-8548-CBB0DA39255F/manage/B6418C8E-5EDF-4ECC-927C-2AE636E50158/batches/AD521D66-4711-4655-BAE4-024C6E44B0AF]
