Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT: 5;
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 2;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
007513788 (5F87B43C-B1B3-462F-AE58-8711970DFEDA);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/5F87B43C-B1B3-462F-AE58-8711970DFEDA/batches/list]
007513789 (2C44422D-F525-4410-AFFB-64165DA1B30C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/E491E9DB-5C8E-4333-9669-F2E15E0286D6/manage/2C44422D-F525-4410-AFFB-64165DA1B30C/batches/list]
007513791 (E9CE1D63-9F4D-4C35-BA81-283AD44060A4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/E491E9DB-5C8E-4333-9669-F2E15E0286D6/manage/E9CE1D63-9F4D-4C35-BA81-283AD44060A4/batches/list]
007513784 (9DE85A68-735E-4052-9988-BB68316C0D5B);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/9DE85A68-735E-4052-9988-BB68316C0D5B/batches/list]
007513826 (3206185E-2562-44AB-B557-92A41C9C0D90);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/3206185E-2562-44AB-B557-92A41C9C0D90/batches/list]
007513782 (CE9E8D72-1B6E-4ECF-9F37-331D34011133);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/CE9E8D72-1B6E-4ECF-9F37-331D34011133/batches/list]
007513786 (CE39F49A-1D49-4025-A214-1C134C1BA598);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/B93FBA87-D7F7-4DF4-A2EE-88B934812CB7/manage/CE39F49A-1D49-4025-A214-1C134C1BA598/batches/list]
12-0847;DGS_ASSIGNMENT;DGS_MISSASSIGNMENTS;[12-0847 DgsMisassignments|12-0847 DgsMisassignments]
