Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 92;
100002068_00118 (imageset: 75034453-D24B-41B9-8B54-F6A7EAB05C61);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/75034453-D24B-41B9-8B54-F6A7EAB05C61/batches/127DB1E9-F9A5-4FE3-B13E-809055576B48]
007443829_00098 (imageset: 9913C1E6-7B15-465B-866C-2568A4746914);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/9913C1E6-7B15-465B-866C-2568A4746914/batches/79B1DAF2-857D-422D-966E-E15E4E9204C7]
007443829_00099 (imageset: 9913C1E6-7B15-465B-866C-2568A4746914);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/9913C1E6-7B15-465B-866C-2568A4746914/batches/79B1DAF2-857D-422D-966E-E15E4E9204C7]
007354749_00150 (imageset: 2C58506A-2FD8-425F-94A3-9688461B7485);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/2C58506A-2FD8-425F-94A3-9688461B7485/batches/70C51CFE-C9AA-4FF3-B029-E75FB931AC02]
007354719_00189 (imageset: CD1774A5-E3BE-456B-93DE-76D0D556FB28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/143F51F6-C390-49B9-AAF8-AD72B6CAE9C8]
007354719_00187 (imageset: CD1774A5-E3BE-456B-93DE-76D0D556FB28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/143F51F6-C390-49B9-AAF8-AD72B6CAE9C8]
007354749_00154 (imageset: 2C58506A-2FD8-425F-94A3-9688461B7485);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/2C58506A-2FD8-425F-94A3-9688461B7485/batches/52D27B43-53B7-4FF3-877E-061F3563ACD5]
007354719_00188 (imageset: CD1774A5-E3BE-456B-93DE-76D0D556FB28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/143F51F6-C390-49B9-AAF8-AD72B6CAE9C8]
007354749_00149 (imageset: 2C58506A-2FD8-425F-94A3-9688461B7485);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/2C58506A-2FD8-425F-94A3-9688461B7485/batches/70C51CFE-C9AA-4FF3-B029-E75FB931AC02]
007354719_00192 (imageset: CD1774A5-E3BE-456B-93DE-76D0D556FB28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/143F51F6-C390-49B9-AAF8-AD72B6CAE9C8]
007354719_00193 (imageset: CD1774A5-E3BE-456B-93DE-76D0D556FB28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/143F51F6-C390-49B9-AAF8-AD72B6CAE9C8]
007354719_00190 (imageset: CD1774A5-E3BE-456B-93DE-76D0D556FB28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/143F51F6-C390-49B9-AAF8-AD72B6CAE9C8]
007354719_00191 (imageset: CD1774A5-E3BE-456B-93DE-76D0D556FB28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/143F51F6-C390-49B9-AAF8-AD72B6CAE9C8]
007424736_00278 (imageset: 776C6BE0-B3FE-4073-A3AE-120CD855BD59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/776C6BE0-B3FE-4073-A3AE-120CD855BD59/batches/11FCDF8B-89C2-4C57-81A8-BF5D5BF22613]
100002117_00288 (imageset: 273E8E8A-AEE3-4E8B-9018-12ADA2F3DE3F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/273E8E8A-AEE3-4E8B-9018-12ADA2F3DE3F/batches/46B05A65-651D-4894-94E8-FC81C971E42D]
100002078_00111 (imageset: B94EC437-106D-40E1-AE84-605BD94C662E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/B94EC437-106D-40E1-AE84-605BD94C662E/batches/5E4FCCC4-D1F2-4116-A979-EF8EC171B2F5]
100002081_00407 (imageset: A6513ED7-9417-4A22-AE02-9E93F18F1CC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/A6513ED7-9417-4A22-AE02-9E93F18F1CC5/batches/2E7B556D-0AC0-4A8D-B04D-DB06DB8D93E9]
007424803_00182 (imageset: 257C869F-1D65-418A-91C0-34CE4EB502DD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/257C869F-1D65-418A-91C0-34CE4EB502DD/batches/905B2DCA-04E6-4A06-8EB7-434592189A80]
007354746_00189 (imageset: ECC7C367-BACF-42B1-A47B-3084E961F068);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/ECC7C367-BACF-42B1-A47B-3084E961F068/batches/8B103039-0D9D-4309-8002-24E87AD7B42D]
007424833_00123 (imageset: 45F6C337-65ED-4155-B710-B650516F050F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/45F6C337-65ED-4155-B710-B650516F050F/batches/940207B8-60C2-4DB9-8EB9-E4B278005F2A]
007392588_00203 (imageset: 1699F2BD-711F-4353-91D7-0529EE40065F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/1699F2BD-711F-4353-91D7-0529EE40065F/batches/F9A04297-0791-4DD5-ACE6-59084A3E09DF]
100033458_00357 (imageset: 549C06AD-39DC-4F64-992A-A2BA2DFFF093);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/549C06AD-39DC-4F64-992A-A2BA2DFFF093/batches/FC943609-68AB-4B3E-AFBD-F530E1A021A8]
007444078_00179 (imageset: 2AE61873-3379-48AB-9A45-BEC718676617);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/2AE61873-3379-48AB-9A45-BEC718676617/batches/14D5DEB5-BA46-45AA-89A2-045E22119065]
007424814_00396 (imageset: 5E7C1F8D-0D45-4DED-B8F9-2C587E504007);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/5E7C1F8D-0D45-4DED-B8F9-2C587E504007/batches/CEBDE922-1A11-4954-A139-1A27F7019882]
007424807_00330 (imageset: 475358E9-04A2-4AC2-B157-AAD2825CBABA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/475358E9-04A2-4AC2-B157-AAD2825CBABA/batches/2BE748F9-4106-4F76-BC19-149549250377]
007444001_00352 (imageset: 68AB2F52-AFB5-47A3-BCC2-12C5204F819F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/68AB2F52-AFB5-47A3-BCC2-12C5204F819F/batches/8825B11F-FEE3-440F-B4F7-108FD22537AB]
007424842_00153 (imageset: 552702FE-5E94-486F-AD8E-A49C87AFFE37);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/552702FE-5E94-486F-AD8E-A49C87AFFE37/batches/50DA60BA-4A15-4D44-AEBF-3C3E0F34A1F2]
100002081_00408 (imageset: A6513ED7-9417-4A22-AE02-9E93F18F1CC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/A6513ED7-9417-4A22-AE02-9E93F18F1CC5/batches/2E7B556D-0AC0-4A8D-B04D-DB06DB8D93E9]
007392522_00206 (imageset: 8BAF5289-EF85-4D37-8513-43662F78458A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/8BAF5289-EF85-4D37-8513-43662F78458A/batches/2F8AA582-E92D-47EA-8C09-79C31E255142]
007478059_00289 (imageset: DD0EBB9B-02B4-450A-809B-2BA0520E4B01);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/DD0EBB9B-02B4-450A-809B-2BA0520E4B01/batches/4C75CD12-D01E-41C5-BCB8-EA067EB9A700]
007443932_00291 (imageset: 8CE9CFC4-DF68-42A7-8E5D-13CB5E60FC13);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/8CE9CFC4-DF68-42A7-8E5D-13CB5E60FC13/batches/C64046F3-ECB9-4D34-91B6-E2DE3A16B058]
007478059_00288 (imageset: DD0EBB9B-02B4-450A-809B-2BA0520E4B01);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/DD0EBB9B-02B4-450A-809B-2BA0520E4B01/batches/4C75CD12-D01E-41C5-BCB8-EA067EB9A700]
100002081_00415 (imageset: A6513ED7-9417-4A22-AE02-9E93F18F1CC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/A6513ED7-9417-4A22-AE02-9E93F18F1CC5/batches/2E7B556D-0AC0-4A8D-B04D-DB06DB8D93E9]
007354746_00213 (imageset: ECC7C367-BACF-42B1-A47B-3084E961F068);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/ECC7C367-BACF-42B1-A47B-3084E961F068/batches/A455C258-E6CF-4BEE-9737-5F1D71B6F684]
007478042_00163 (imageset: 0F6BC066-9826-4751-A3AA-E35F4BE54B72);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/0F6BC066-9826-4751-A3AA-E35F4BE54B72/batches/4B9A971F-26B6-4255-B6E2-8C4331B14E07]
007354746_00212 (imageset: ECC7C367-BACF-42B1-A47B-3084E961F068);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/ECC7C367-BACF-42B1-A47B-3084E961F068/batches/A455C258-E6CF-4BEE-9737-5F1D71B6F684]
007354746_00211 (imageset: ECC7C367-BACF-42B1-A47B-3084E961F068);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/ECC7C367-BACF-42B1-A47B-3084E961F068/batches/A455C258-E6CF-4BEE-9737-5F1D71B6F684]
100002081_00412 (imageset: A6513ED7-9417-4A22-AE02-9E93F18F1CC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/A6513ED7-9417-4A22-AE02-9E93F18F1CC5/batches/2E7B556D-0AC0-4A8D-B04D-DB06DB8D93E9]
007354746_00210 (imageset: ECC7C367-BACF-42B1-A47B-3084E961F068);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/ECC7C367-BACF-42B1-A47B-3084E961F068/batches/A455C258-E6CF-4BEE-9737-5F1D71B6F684]
100033448_00103 (imageset: 8DB78C67-0C1F-4B7A-9398-71B05D766100);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/8DB78C67-0C1F-4B7A-9398-71B05D766100/batches/C1D53BDB-59D2-4022-AF09-8E72176F8B4A]
007392522_00222 (imageset: 8BAF5289-EF85-4D37-8513-43662F78458A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/8BAF5289-EF85-4D37-8513-43662F78458A/batches/9DFBBE36-8C8D-4E33-A303-25E1701835D5]
007478059_00287 (imageset: DD0EBB9B-02B4-450A-809B-2BA0520E4B01);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/DD0EBB9B-02B4-450A-809B-2BA0520E4B01/batches/4C75CD12-D01E-41C5-BCB8-EA067EB9A700]
100002081_00414 (imageset: A6513ED7-9417-4A22-AE02-9E93F18F1CC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/A6513ED7-9417-4A22-AE02-9E93F18F1CC5/batches/2E7B556D-0AC0-4A8D-B04D-DB06DB8D93E9]
