Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 98;
1A62852C-00AD-46FE-A9E2-295BE95AC69B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/82BDB6DB-67E5-440C-A1E6-CC33F5D111AF/batches/1A62852C-00AD-46FE-A9E2-295BE95AC69B]
7E4293FE-16FD-42A8-8D8B-3DF892EFC217;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/82BDB6DB-67E5-440C-A1E6-CC33F5D111AF/batches/7E4293FE-16FD-42A8-8D8B-3DF892EFC217]
A6229021-9D5B-404E-BED6-F5F33E09CEAB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/654F9A2D-51BB-4E03-A1C7-7792605713A6/batches/A6229021-9D5B-404E-BED6-F5F33E09CEAB]
2E00B233-E11C-4A87-A6FA-654BCA707DFB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/6517352E-D541-4AE3-8644-8AB1A2FF4BA7/batches/2E00B233-E11C-4A87-A6FA-654BCA707DFB]
BA1A239B-2562-46DF-A21F-EFB454B32E0E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/14D1E50C-B7D2-444E-9CFA-6AA9D71F1A3A/batches/BA1A239B-2562-46DF-A21F-EFB454B32E0E]
74239F75-7C32-430F-901C-8F79222FDC7F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/FEB665D0-3126-4CF5-A59E-2EEADD82B702/batches/74239F75-7C32-430F-901C-8F79222FDC7F]
65684506-2E67-4B75-A141-568E9F8AD2F4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/F72CD94E-041C-4A1A-8CA8-D36820D9A3BE/batches/65684506-2E67-4B75-A141-568E9F8AD2F4]
18156AF4-74CB-491A-B1B8-2BDBEB7B8624;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/34F91919-1989-4E08-9610-D6FC558E68DE/batches/18156AF4-74CB-491A-B1B8-2BDBEB7B8624]
FC7F9DD0-D791-4993-9053-D23D1D190A10;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/9F884355-A33A-42C3-900A-DEB8BB430113/batches/FC7F9DD0-D791-4993-9053-D23D1D190A10]
7E65CA62-5BA5-451A-968D-1575E66E7C08;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/37D3779D-DBC5-4341-A50A-E0ADC1578772/batches/7E65CA62-5BA5-451A-968D-1575E66E7C08]
66C844F9-A6CC-41DF-8E0E-A6771B5E707B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/96C1997C-89D9-4C1B-A598-9163F382A809/batches/66C844F9-A6CC-41DF-8E0E-A6771B5E707B]
55D280ED-CCEE-4931-BF79-F4B82C016FFF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/8CB33000-8625-4657-9B33-76E422F0F962/batches/55D280ED-CCEE-4931-BF79-F4B82C016FFF]
1BD967A9-9BD9-4A8D-BA81-1FE87C07B1D6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/2295DD80-BAC0-4FAD-9686-2467A9813BE6/batches/1BD967A9-9BD9-4A8D-BA81-1FE87C07B1D6]
030A389E-BA53-412F-BE82-42787537AEFE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/0E6594FC-C99B-4736-8B5D-AB9BE15FFC88/batches/030A389E-BA53-412F-BE82-42787537AEFE]
1CC8CDCB-28FC-494F-9345-265940219393;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/15AF5EC8-1282-4D19-AB16-D3339BAA5277/batches/1CC8CDCB-28FC-494F-9345-265940219393]
8B64D7F3-0C65-4DA9-B4BE-E2A3C29CE0B0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/96C1997C-89D9-4C1B-A598-9163F382A809/batches/8B64D7F3-0C65-4DA9-B4BE-E2A3C29CE0B0]
57A53664-2579-40C6-961D-E8A6DA612523;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/4265A59E-1A68-4BEB-BA63-1D413B906137/batches/57A53664-2579-40C6-961D-E8A6DA612523]
05379F01-D9FC-4694-9488-9653295113F3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/7402DFB6-2F20-41AC-968E-9C2221A53DC7/batches/05379F01-D9FC-4694-9488-9653295113F3]
FDD4EF94-B8E9-4055-8D68-3A8A5FBC99E1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/FC1D4650-A250-40C3-AF26-5F52AFEA5046/batches/FDD4EF94-B8E9-4055-8D68-3A8A5FBC99E1]
99715C84-3224-4CC7-BEB0-892E6B83D533;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/4898C0AA-0D68-4DD2-9D1F-85BD98E3A5EA/batches/99715C84-3224-4CC7-BEB0-892E6B83D533]
189155FB-D9CD-433C-84A2-0B5F1B171D48;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/AA32A939-4075-482B-8DED-DD5D752A7355/batches/189155FB-D9CD-433C-84A2-0B5F1B171D48]
E769DF26-2A93-449E-8DE3-B0973D3E6B56;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/overview]
1D1CEDE0-69EA-4CBA-92DA-FFA1A380DBBA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/0B0CF057-0B9C-46B6-AB8E-7A2922B8DAEF/batches/1D1CEDE0-69EA-4CBA-92DA-FFA1A380DBBA]
C51E69E1-1E04-446B-9319-9370D3BCE466;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/C2356BF7-73EE-448C-8155-835A8179F68E/batches/C51E69E1-1E04-446B-9319-9370D3BCE466]
9DD74A5B-EDDD-496D-A0F3-24DE28CDB643;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/918B288B-3F03-41E3-98E4-6F2DB19EDC11/batches/9DD74A5B-EDDD-496D-A0F3-24DE28CDB643]
97296E73-D670-4B01-8AAF-4ADA3633FED6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/82BDB6DB-67E5-440C-A1E6-CC33F5D111AF/batches/97296E73-D670-4B01-8AAF-4ADA3633FED6]
B9AAA02D-6EDC-4C40-BCC5-BEA2F2D392DE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/426351AB-9D4C-4A8E-BFE4-A5A22C8F14AB/batches/B9AAA02D-6EDC-4C40-BCC5-BEA2F2D392DE]
9CFB519F-7A23-4D96-BC2B-C756E39B008F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/407AD161-6716-487F-A525-0A34AC5AB9AE/batches/9CFB519F-7A23-4D96-BC2B-C756E39B008F]
F3E7840F-D4F2-4DF4-B72B-D52C3E37CBA2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E769DF26-2A93-449E-8DE3-B0973D3E6B56/manage/34F91919-1989-4E08-9610-D6FC558E68DE/batches/F3E7840F-D4F2-4DF4-B72B-D52C3E37CBA2]
