Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 256;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1046;
005076542_00119 (imageset: F6ED8585-5244-429B-A092-8998E064FB8E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/F6ED8585-5244-429B-A092-8998E064FB8E/batches/B6D70B1B-D290-43ED-B0E6-04AC5D831B33]
005076542_00117 (imageset: F6ED8585-5244-429B-A092-8998E064FB8E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/F6ED8585-5244-429B-A092-8998E064FB8E/batches/B6D70B1B-D290-43ED-B0E6-04AC5D831B33]
005076542_00116 (imageset: F6ED8585-5244-429B-A092-8998E064FB8E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/F6ED8585-5244-429B-A092-8998E064FB8E/batches/B6D70B1B-D290-43ED-B0E6-04AC5D831B33]
005077261_00577 (imageset: 5648C033-A9DE-43B4-A7C9-C6FC70AE9273);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/5648C033-A9DE-43B4-A7C9-C6FC70AE9273/batches/94A39C0D-2C92-4006-A1B5-10DE7DAEA0C2]
005076555_00356 (imageset: 061A8578-DD55-4C84-BB71-14373BA5AE10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/061A8578-DD55-4C84-BB71-14373BA5AE10/batches/E8B48344-B512-4154-BFBA-C43B2E4D0E25]
005076542_00110 (imageset: F6ED8585-5244-429B-A092-8998E064FB8E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/F6ED8585-5244-429B-A092-8998E064FB8E/batches/15658E49-66B7-4989-84A5-A61981CDEB72]
005076539_00159 (imageset: 307EC67B-FEB6-45ED-911F-0C69601EF29D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/307EC67B-FEB6-45ED-911F-0C69601EF29D/batches/BF01AA4C-163B-4AB7-9467-FDA591820548]
005076760_00099 (imageset: 8ACBD2B5-ECA9-4FE6-B13D-89146812AADB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/8ACBD2B5-ECA9-4FE6-B13D-89146812AADB/batches/3541E86D-173D-4970-B588-B3326CA6ED3A]
005076555_00358 (imageset: 061A8578-DD55-4C84-BB71-14373BA5AE10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/E7C47704-772B-4894-B073-52DE18833740/manage/061A8578-DD55-4C84-BB71-14373BA5AE10/batches/E8B48344-B512-4154-BFBA-C43B2E4D0E25]
