Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
64837559-AD46-437D-AB03-E132010C26D0;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/38F42507-BE64-4AAD-B4A4-D490885C0240/batches/64837559-AD46-437D-AB03-E132010C26D0]
1CDC0879-F4FB-4E81-8147-BED806BD83EF;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/73B086E3-39EF-4024-9329-85D384956907/batches/1CDC0879-F4FB-4E81-8147-BED806BD83EF]
BF103298-BE17-43CB-B18A-0C7F797CCD91;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/60825FE0-086A-4626-B351-3EAA50585D14/batches/BF103298-BE17-43CB-B18A-0C7F797CCD91]
BD836CBE-B618-4821-80FC-C98667D42285;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/020D0538-9D42-4B41-A72F-8186C977D4C8/batches/BD836CBE-B618-4821-80FC-C98667D42285]
62D74087-FDFB-47ED-90F4-34CE3F62C971;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/020D0538-9D42-4B41-A72F-8186C977D4C8/batches/62D74087-FDFB-47ED-90F4-34CE3F62C971]
FAECBB7E-D4A2-458E-9084-9D51169D2C83;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/7148A30B-4524-4C4F-BB7E-BF20158CBDD7/batches/FAECBB7E-D4A2-458E-9084-9D51169D2C83]
997CD0DB-0613-4B2E-9CDC-B598A52323A1;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/020D0538-9D42-4B41-A72F-8186C977D4C8/batches/997CD0DB-0613-4B2E-9CDC-B598A52323A1]
CA90D823-BD8C-499D-9CF5-7887769F6148;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/A99BC921-FA80-4479-9C32-4FBAA7CBFD62/batches/CA90D823-BD8C-499D-9CF5-7887769F6148]
DDC047D5-6F06-4888-920F-7B5644C117F4;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/C03DCFF0-9544-45A9-A444-1A3ECC55DFB6/batches/DDC047D5-6F06-4888-920F-7B5644C117F4]
476A628E-9622-4C70-B4D9-EEBE2494A1C6;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/D1570C8D-B93A-4A88-BE1E-90D30B367846/batches/476A628E-9622-4C70-B4D9-EEBE2494A1C6]
AFD5CF73-AA89-4DC0-9492-7C3BC097718F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/6BAC64FF-BB79-4593-AC51-4D17D686A700/batches/AFD5CF73-AA89-4DC0-9492-7C3BC097718F]
44FE827B-6F6F-475E-82AA-7BF2A9649531;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/F039C993-A2A7-4884-A09C-5A090D197C25/batches/44FE827B-6F6F-475E-82AA-7BF2A9649531]
5370DA3B-CDFA-427F-ACB3-8F28E28E4CE8;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/020D0538-9D42-4B41-A72F-8186C977D4C8/batches/5370DA3B-CDFA-427F-ACB3-8F28E28E4CE8]
C2102D26-1257-4888-875D-514AA0F83A7D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/D3CFEF5C-9E46-46C3-AD49-621550C77EE9/batches/C2102D26-1257-4888-875D-514AA0F83A7D]
05E090EE-2DFA-44AE-8F82-71ACCE3776C3;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/020D0538-9D42-4B41-A72F-8186C977D4C8/batches/05E090EE-2DFA-44AE-8F82-71ACCE3776C3]
B280AE7B-3A93-4D77-9D19-6533C242938E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/3429EF8D-942C-4A26-B00E-BD0F8D58EFF0/batches/B280AE7B-3A93-4D77-9D19-6533C242938E]
C9E7046A-7A6A-496E-BA10-0592A7261F3F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/49B13E99-32CC-435D-8729-1611C262DBE4/batches/C9E7046A-7A6A-496E-BA10-0592A7261F3F]
1DFF762B-1EC8-4A1C-B073-A55CB5857A70;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/E95E8F99-86F6-425E-A853-A0F4F20A8EBD/manage/D8730F7C-4EEA-43B3-B233-E9A4BBA33CEA/batches/1DFF762B-1EC8-4A1C-B073-A55CB5857A70]
