Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 101;
1871EE52-7E56-4CAA-A5D8-610488400342;BATCH;BATCH_HAS_TOO_MANY_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EB663007-5FE1-4DD4-878F-1829B3E08D3A/manage/8BFA64DF-19D2-4348-93E5-201D36D452B5/batches/1871EE52-7E56-4CAA-A5D8-610488400342]
100258302_00131 (imageset: D834CDC3-4ECD-47DC-AF08-CA0587FF7830);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EB663007-5FE1-4DD4-878F-1829B3E08D3A/manage/D834CDC3-4ECD-47DC-AF08-CA0587FF7830/batches/406210E4-C13C-4440-A1CF-00CEE09378A5]
100530611_00331 (imageset: E3C53532-75C5-40FE-A3E9-FA89532BF7CF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EB663007-5FE1-4DD4-878F-1829B3E08D3A/manage/E3C53532-75C5-40FE-A3E9-FA89532BF7CF/batches/BC537CB8-0F98-49DE-BD0C-673BC29347D9]
100436789_00104 (imageset: AB4307FB-5F28-4B16-82DB-ABB35102ED91);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EB663007-5FE1-4DD4-878F-1829B3E08D3A/manage/AB4307FB-5F28-4B16-82DB-ABB35102ED91/batches/8C1CF492-5684-43D2-A39C-0803099B4607]
100258195_00339 (imageset: C3BFD7B8-4167-4B31-B0CF-16173E804E56);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EB663007-5FE1-4DD4-878F-1829B3E08D3A/manage/C3BFD7B8-4167-4B31-B0CF-16173E804E56/batches/A9D59F22-826B-4940-A4B4-2DD00C2E01DF]
100530622_00382 (imageset: BA68AD4F-94E5-4BEA-ACBD-A18E5AAF462B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EB663007-5FE1-4DD4-878F-1829B3E08D3A/manage/BA68AD4F-94E5-4BEA-ACBD-A18E5AAF462B/batches/C0AEE2A6-4AA8-496B-B5CD-D83F7DF18D6A]
100594588_00440 (imageset: 248CE254-093E-421E-ABF9-836427794493);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EB663007-5FE1-4DD4-878F-1829B3E08D3A/manage/248CE254-093E-421E-ABF9-836427794493/batches/33CB9ED1-B6EB-4229-9621-B4AAE791F071]
