Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
102681647_00136 (imageset: 194C2FAB-B2CB-41EE-BFD6-225840376ED4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/194C2FAB-B2CB-41EE-BFD6-225840376ED4/batches/905E8EC1-980A-4076-96F5-F5FB7BD1E658]
102681655_00042 (imageset: 4794B3D5-D3C9-4FC3-8303-7E6E741BDFC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/4794B3D5-D3C9-4FC3-8303-7E6E741BDFC3/batches/1AF89BB2-D272-423C-96CD-0AC6DDA3B1C7]
102704733_00118 (imageset: FA982F95-6BF1-44EA-8C80-0CA93EC64CC1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/FA982F95-6BF1-44EA-8C80-0CA93EC64CC1/batches/F6D997A9-89DA-42DA-91F7-33FE40ECD5F6]
102704514_00171 (imageset: 88529EAA-EF32-43EE-85AF-C45F69FCC6CE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/88529EAA-EF32-43EE-85AF-C45F69FCC6CE/batches/D97CCFF1-A916-4FF9-9E63-9A81947ADEDF]
102704318_00235 (imageset: 26AC565D-3AD7-4C11-95A8-9CC1032362C7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/26AC565D-3AD7-4C11-95A8-9CC1032362C7/batches/28979715-6D8F-440B-89FC-B8DC3A62703A]
102704318_00104 (imageset: 26AC565D-3AD7-4C11-95A8-9CC1032362C7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/26AC565D-3AD7-4C11-95A8-9CC1032362C7/batches/1506BFCD-4AF6-49A1-9255-167AB1746786]
102704318_00286 (imageset: 26AC565D-3AD7-4C11-95A8-9CC1032362C7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/26AC565D-3AD7-4C11-95A8-9CC1032362C7/batches/D55E9531-0C91-4270-8DE8-3164CC78953E]
102704730_00299 (imageset: A84180A1-C342-47E3-8F5C-CCAD26336158);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/A84180A1-C342-47E3-8F5C-CCAD26336158/batches/A5497AD1-BF3B-4CD1-BB34-2165C775B162]
102681655_00045 (imageset: 4794B3D5-D3C9-4FC3-8303-7E6E741BDFC3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/4794B3D5-D3C9-4FC3-8303-7E6E741BDFC3/batches/9B92804D-55E1-442F-AC03-268C833FE416]
102704521_00232 (imageset: C3A32246-809D-43F2-87A1-1DCA02EFA6F2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/C3A32246-809D-43F2-87A1-1DCA02EFA6F2/batches/D7DD903F-C6DF-46AB-9962-B2B6E23A0B40]
102681697_00162 (imageset: A81763DA-4471-46D8-89CD-F87D0B3FCA1D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/A81763DA-4471-46D8-89CD-F87D0B3FCA1D/batches/B7ACB3EF-F3C2-429E-92B2-B32CC284FF8E]
102704674_00067 (imageset: 825FF83E-5394-4E49-9C95-C83B760E0803);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EBB5120C-D9B2-494E-90A6-2EAE27C6F327/manage/825FF83E-5394-4E49-9C95-C83B760E0803/batches/1AD95244-11CF-4CC6-8934-BDD559A77885]
