Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 9;
004679665 (06C7416C-DBEF-4D49-822D-DA54BC87E9BD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/06C7416C-DBEF-4D49-822D-DA54BC87E9BD/batches/list]
004679669 (1C8C3C47-0059-46C2-99F4-6A722E582D40);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/1C8C3C47-0059-46C2-99F4-6A722E582D40/batches/list]
004679666 (2D0CE718-C98C-4B88-BF04-CEC26BF40E1A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/2D0CE718-C98C-4B88-BF04-CEC26BF40E1A/batches/list]
004679663 (0136E194-854A-44DD-9454-059FF45390C6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/0136E194-854A-44DD-9454-059FF45390C6/batches/list]
004679670 (771044D5-1102-42D4-8373-E475535F5024);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/771044D5-1102-42D4-8373-E475535F5024/batches/list]
004679664 (2C190510-6D0B-4692-AEAD-AAFD287A0582);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/2C190510-6D0B-4692-AEAD-AAFD287A0582/batches/list]
004679668 (4C65784B-7D91-413A-8A52-417BF5E47208);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/4C65784B-7D91-413A-8A52-417BF5E47208/batches/list]
004679671 (CE231903-4632-4694-9E32-4E2F04F27CD9);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/CE231903-4632-4694-9E32-4E2F04F27CD9/batches/list]
004679667 (D811D3FE-455C-4F43-9CAA-2302FC022EEE);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/EBCB958B-5DB6-4C4C-BED1-5EF5699FD142/manage/D811D3FE-455C-4F43-9CAA-2302FC022EEE/batches/list]
