Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 6;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1248;
101630852_00058 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/CB85D8AC-53AE-49FA-984F-AC957633A54C]
101630852_00299 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/EF1C9DE7-ED0D-4DB6-895B-BB54DE73C656]
101630852_00056 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/CB85D8AC-53AE-49FA-984F-AC957633A54C]
101630852_00298 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/EF1C9DE7-ED0D-4DB6-895B-BB54DE73C656]
101630852_00297 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/EF1C9DE7-ED0D-4DB6-895B-BB54DE73C656]
101630852_00292 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/DE619FBF-3277-4BCC-B29B-3231E33AD9D2]
101630852_00296 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/DE619FBF-3277-4BCC-B29B-3231E33AD9D2]
101630852_00295 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/DE619FBF-3277-4BCC-B29B-3231E33AD9D2]
101630852_00053 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/96F40771-7AAB-4A9C-93D4-CBD50FD9223B]
101630852_00294 (imageset: AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC1129B1-30E5-4E47-BBAB-50AC221FD9FA/manage/AD3FC3DC-E0AC-4F03-B815-D5099BAADDA7/batches/DE619FBF-3277-4BCC-B29B-3231E33AD9D2]
