Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
007188651_00016 (imageset: C80FCD39-B778-4BA5-AE12-18DABA6DA448);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/C80FCD39-B778-4BA5-AE12-18DABA6DA448/batches/31582900-FCF1-4C08-B4AC-912697A1C8B0]
007188737_00313 (imageset: 161B1C46-9DCE-48B0-95C3-6A3B3A44CFB7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/161B1C46-9DCE-48B0-95C3-6A3B3A44CFB7/batches/460030E2-32B0-4437-B352-922D1692C81C]
007116732_00290 (imageset: B44EE6BB-6282-4B05-926F-C7DF717D9175);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/B44EE6BB-6282-4B05-926F-C7DF717D9175/batches/CBD91B69-EADF-4642-9D7E-E212A93FA3EB]
007188651_00026 (imageset: C80FCD39-B778-4BA5-AE12-18DABA6DA448);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/C80FCD39-B778-4BA5-AE12-18DABA6DA448/batches/0AB961F7-C349-4103-BB02-0D3EE756F1BB]
007188729_00229 (imageset: C96C6E78-6DBB-41EC-93D1-298A95295EED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/C96C6E78-6DBB-41EC-93D1-298A95295EED/batches/FF471359-0FA6-4145-B22D-7792C7225E96]
007188737_00316 (imageset: 161B1C46-9DCE-48B0-95C3-6A3B3A44CFB7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/161B1C46-9DCE-48B0-95C3-6A3B3A44CFB7/batches/535F8E67-7243-4B23-9056-8C44EFE856E8]
007116732_00289 (imageset: B44EE6BB-6282-4B05-926F-C7DF717D9175);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/B44EE6BB-6282-4B05-926F-C7DF717D9175/batches/D35F459C-9227-42E0-BEFD-FFB3CA72DF7D]
007116732_00014 (imageset: B44EE6BB-6282-4B05-926F-C7DF717D9175);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/B44EE6BB-6282-4B05-926F-C7DF717D9175/batches/702A6FB2-2E13-4300-85DB-2BC7FCC011BB]
007116732_00198 (imageset: B44EE6BB-6282-4B05-926F-C7DF717D9175);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/EC9F7E8C-8615-4189-93C6-AD4FDDED7760/manage/B44EE6BB-6282-4B05-926F-C7DF717D9175/batches/15FB9B20-952B-42D0-9D46-3A3ED9ADB6BA]
