Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;PROJECT_NO_BLOCKED_IMAGES: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 42;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
C5D289A7-C4DE-42DB-A86B-C065F42CF912;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/7DB24902-1F54-47CC-B007-437C23B07C2C/batches/C5D289A7-C4DE-42DB-A86B-C065F42CF912]
6F42F3F1-5B1E-4484-875F-F14F359D393C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/FEFEB1D1-0078-4CE9-B51E-92EA7FABCA16/batches/6F42F3F1-5B1E-4484-875F-F14F359D393C]
D4C943CB-3277-4E12-96EA-F08E9A0C5252;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/59A40DA1-E382-407A-9B0C-61886A8B1E15/batches/D4C943CB-3277-4E12-96EA-F08E9A0C5252]
D2C7E399-3CF6-48F6-8DA0-95B95E6B2A91;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/B949B999-D977-4F8D-AC9F-61858A000F94/batches/D2C7E399-3CF6-48F6-8DA0-95B95E6B2A91]
77B8A302-0809-4BF4-BF6E-75CBA33835AF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/A32D954B-7949-4DE1-99F5-D87D725B32A7/batches/77B8A302-0809-4BF4-BF6E-75CBA33835AF]
F7AF8EA6-267D-41B5-B64E-62DC3FEC40A2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/D87FBC5E-FF40-4991-8348-A198E9D0D2A6/batches/F7AF8EA6-267D-41B5-B64E-62DC3FEC40A2]
401CD098-1DD6-48A6-8FC4-2A0F748E1525;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/D67910B6-67EE-40A2-8B5C-AA8C523478C3/batches/401CD098-1DD6-48A6-8FC4-2A0F748E1525]
7671A7A1-ED93-4426-9768-8B6E36D3500A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/3EB7F70A-5F3B-47B4-A59F-B8FAFD57522A/batches/7671A7A1-ED93-4426-9768-8B6E36D3500A]
1C196347-40E8-47FD-BE9D-01851D769AED;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/5DE7F975-D9C3-41AD-8421-3F97DFE83401/batches/1C196347-40E8-47FD-BE9D-01851D769AED]
EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F;PROJECT;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL \\ PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL \\ PROJECT_NO_BLOCKED_IMAGES;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/overview]
17267F87-1D88-4A5B-AEDD-F3F98272C89D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/F9D04DEB-3C4D-437C-AC05-A465349C9AD6/batches/17267F87-1D88-4A5B-AEDD-F3F98272C89D]
D2659C79-B3EA-43C7-8497-95879322869A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/7AB03A56-CCD3-4030-805F-7E7621119F3F/batches/D2659C79-B3EA-43C7-8497-95879322869A]
D0FC11A6-9AD7-4509-9620-729A04D5D082;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/8584D0B1-6B24-4C8E-B93C-4331A00369AE/batches/D0FC11A6-9AD7-4509-9620-729A04D5D082]
49440E96-40AE-4783-8219-82EE5A7329E9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/F4D9F871-1931-4348-A74C-03240B2DF916/batches/49440E96-40AE-4783-8219-82EE5A7329E9]
B8EF96FF-4104-4968-A6F8-D0ECA7CDBBBF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/FEFBCD3E-04B8-4B16-9D9A-A5103263850E/batches/B8EF96FF-4104-4968-A6F8-D0ECA7CDBBBF]
9EA006FF-675A-4527-94EF-6109027CB055;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/0CD3688A-47BF-467B-A409-CCC43D9E6FCD/batches/9EA006FF-675A-4527-94EF-6109027CB055]
50753BB2-B807-4B2C-AA5D-E246D6E33659;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/44AF6225-A8E1-4FCE-8F9F-8DD99701BB7D/batches/50753BB2-B807-4B2C-AA5D-E246D6E33659]
C4F6A8B3-7995-4B29-B025-51271A19C20D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/73168854-7B16-4145-AC0D-AF326BBA0BD9/batches/C4F6A8B3-7995-4B29-B025-51271A19C20D]
6E8B1EF7-AD69-4758-B93C-F7B4FC8221A1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/67C532BF-0DD7-4738-A13C-A38F7984B893/batches/6E8B1EF7-AD69-4758-B93C-F7B4FC8221A1]
DF1A2E12-5E9B-4C83-BAF2-C3656157C727;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/4E6D5399-8CD2-423C-89B0-20D9D70815DD/batches/DF1A2E12-5E9B-4C83-BAF2-C3656157C727]
283642C6-755A-4C6A-B47F-8189BB99BFB9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/A78B49F7-4D0B-4F33-8790-C1B0802EB8F0/batches/283642C6-755A-4C6A-B47F-8189BB99BFB9]
337DDCEC-EC65-4D1E-980B-365A6ACEEA6F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/55A0BDA9-B3AB-44A4-B7F4-13B368E8938E/batches/337DDCEC-EC65-4D1E-980B-365A6ACEEA6F]
84F87438-A2C5-4F35-A974-12521E35E233;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/E51DCF7F-38D6-4D71-B3AE-C9D6AB123BDA/batches/84F87438-A2C5-4F35-A974-12521E35E233]
C3B193A4-93EC-4808-9B06-B5EC82C210EE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/39114568-5520-4BAF-9DDE-6BDEA9B95B94/batches/C3B193A4-93EC-4808-9B06-B5EC82C210EE]
D8666164-BDEF-46A6-9D1D-79277BF874C4;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/55A0BDA9-B3AB-44A4-B7F4-13B368E8938E/batches/D8666164-BDEF-46A6-9D1D-79277BF874C4]
1EF31BFB-CC1B-411C-A758-7000DF859902;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/81A96D61-34AE-4420-A04C-F16547EDB009/batches/1EF31BFB-CC1B-411C-A758-7000DF859902]
C8D316B4-C820-4A2C-A707-C7BE8C214E0E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/5DE7F975-D9C3-41AD-8421-3F97DFE83401/batches/C8D316B4-C820-4A2C-A707-C7BE8C214E0E]
B854FF58-4C96-4951-B18F-33A89353C042;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/manage/315D06DE-5791-49BB-864A-2FAACD3760CA/batches/B854FF58-4C96-4951-B18F-33A89353C042]
