Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_NOT_IN_PROJECT: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_HAS_NO_RESOURCES: 427;
ReportItem instance counts;;IMAGESET_STATES: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 23;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 478;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 31;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 144;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NO_WORKFLOW_STATE: 501;
EE135EB2-6D77-4296-B73D-5B85AF130457;IMAGESET;IMAGESET_NOT_IN_PROJECT \\ States: \\NA_BLOCKED: 92;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F133C8EB-DE65-4457-9E8A-530CC99B77FD/manage/EE135EB2-6D77-4296-B73D-5B85AF130457/batches/list]
FDA5DC0C-977C-4C41-B08C-2FDC35C45C77;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F133C8EB-DE65-4457-9E8A-530CC99B77FD/manage/EE135EB2-6D77-4296-B73D-5B85AF130457/batches/FDA5DC0C-977C-4C41-B08C-2FDC35C45C77]
02678121-65F1-4D06-A5B4-A4F80D6C8F68;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F133C8EB-DE65-4457-9E8A-530CC99B77FD/manage/EE135EB2-6D77-4296-B73D-5B85AF130457/batches/02678121-65F1-4D06-A5B4-A4F80D6C8F68]
589ABA36-923B-4DFE-A9BF-4AEB56E6E860;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F133C8EB-DE65-4457-9E8A-530CC99B77FD/manage/EE135EB2-6D77-4296-B73D-5B85AF130457/batches/589ABA36-923B-4DFE-A9BF-4AEB56E6E860]
A52554B1-AEF1-4BFC-8E42-BDDAC7A1BF31;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F133C8EB-DE65-4457-9E8A-530CC99B77FD/manage/EE135EB2-6D77-4296-B73D-5B85AF130457/batches/A52554B1-AEF1-4BFC-8E42-BDDAC7A1BF31]
