Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 32;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 9;
007976185 (D56F978A-437E-4B05-8D43-E4CC92C2CA3F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/D56F978A-437E-4B05-8D43-E4CC92C2CA3F/batches/list]
104239131 (7DCEB6F3-A0E3-477A-BBD1-AA30E46436ED);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/7DCEB6F3-A0E3-477A-BBD1-AA30E46436ED/batches/list]
104222106 (CB9FF5F6-5ACC-4ADA-B984-68C6779A63E4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/CB9FF5F6-5ACC-4ADA-B984-68C6779A63E4/batches/list]
104222098 (C7229F6D-9055-4B9A-917B-D5A786815A3E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/C7229F6D-9055-4B9A-917B-D5A786815A3E/batches/list]
104222100 (206B3528-91F4-4DDA-A3E7-E2B43B7245FB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/206B3528-91F4-4DDA-A3E7-E2B43B7245FB/batches/list]
007976188 (61C299D5-9264-4CB9-A4C3-924357F42FF0);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/61C299D5-9264-4CB9-A4C3-924357F42FF0/batches/list]
007976190 (6E37D28A-71CE-4269-B9FD-5C4329559FBB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/6E37D28A-71CE-4269-B9FD-5C4329559FBB/batches/list]
104222099 (A6DEB04F-1C6A-4426-9A49-BA5039C5A224);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/A6DEB04F-1C6A-4426-9A49-BA5039C5A224/batches/list]
104208432 (7F3E6135-1344-4997-A02E-24976B8A0B4D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/7F3E6135-1344-4997-A02E-24976B8A0B4D/batches/list]
104222110 (7622B858-2712-423A-9550-FECEAB564122);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/7622B858-2712-423A-9550-FECEAB564122/batches/list]
104208431 (B0D9D9E6-969B-4E5A-B864-6FF18B4A2238);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/B0D9D9E6-969B-4E5A-B864-6FF18B4A2238/batches/list]
104208433 (C033EB6E-5AD2-41B3-9185-CD728AF75827);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/C033EB6E-5AD2-41B3-9185-CD728AF75827/batches/list]
104222103 (8C5C69DD-CBC0-4F48-8072-684C2322BDB8);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/8C5C69DD-CBC0-4F48-8072-684C2322BDB8/batches/list]
104222112 (A9CB7439-F569-47B6-A58F-FAE418A44EDF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/A9CB7439-F569-47B6-A58F-FAE418A44EDF/batches/list]
104222097 (B37D97FC-8DAF-4FE7-B25B-2CB601AC4B17);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/B37D97FC-8DAF-4FE7-B25B-2CB601AC4B17/batches/list]
104222111 (F051CAA2-305C-4FA5-8BCA-36842AA5B5A0);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/F051CAA2-305C-4FA5-8BCA-36842AA5B5A0/batches/list]
104239132 (9392D83F-1601-420D-AAC4-08973574F155);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/F2666378-4E1C-4216-A27F-DD912185F7CD/manage/9392D83F-1601-420D-AAC4-08973574F155/batches/list]
