Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 10;
008642409_02761 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02762 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02763 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02764 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02760 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02758 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02759 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02765 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02766 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
008642409_02757 (imageset: 023B76B3-14FB-4AAE-B82B-54F5B1B708ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F2C83BD5-3DC5-4C03-BDA4-66480E4BA7EE/manage/023B76B3-14FB-4AAE-B82B-54F5B1B708ED/batches/973DADE6-2C36-4698-BC60-FFFC61A3745A]
