Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 8365;
105519983_00527 (imageset: F813A2FB-96DD-4D5B-9750-921551C48F19);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/F813A2FB-96DD-4D5B-9750-921551C48F19/batches/4B7390EE-21DA-44F8-AC3F-F16690D6B0D9]
105519964_00617 (imageset: 0A2B8E86-D4A6-45FF-B279-4B7978A68B88);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/0A2B8E86-D4A6-45FF-B279-4B7978A68B88/batches/E5A76A4E-86A8-4B15-BBD4-1E3C4BEC0636]
105519949_00077 (imageset: 8AAFB411-AF2C-4B1E-B4FF-1310E8BCE3E7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/8AAFB411-AF2C-4B1E-B4FF-1310E8BCE3E7/batches/5F20A62B-A1B7-4726-A417-0B958B049D73]
105519945_00706 (imageset: 1475714C-A4A3-418B-BFC8-771F33E7551F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/1475714C-A4A3-418B-BFC8-771F33E7551F/batches/C4DFD0AB-4FA4-47CA-959B-3AA612B60D18]
105519983_00526 (imageset: F813A2FB-96DD-4D5B-9750-921551C48F19);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/F813A2FB-96DD-4D5B-9750-921551C48F19/batches/80B31742-9834-4C47-8489-75EEC7438544]
105519972_00832 (imageset: 913B52AA-F892-412B-856E-B931702464BD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/913B52AA-F892-412B-856E-B931702464BD/batches/9E0DF96F-0F4B-4B8B-82FA-EB491C0A1100]
105519964_00610 (imageset: 0A2B8E86-D4A6-45FF-B279-4B7978A68B88);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/0A2B8E86-D4A6-45FF-B279-4B7978A68B88/batches/2DACF2F5-3DA0-4559-92B6-697FA78C4B98]
105519964_00619 (imageset: 0A2B8E86-D4A6-45FF-B279-4B7978A68B88);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/0A2B8E86-D4A6-45FF-B279-4B7978A68B88/batches/6DCBA1CE-C41D-421D-8738-3C13B81E8FBC]
105519986_00005 (imageset: 92057E20-FD59-476C-A99A-15562AC8A35D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/92057E20-FD59-476C-A99A-15562AC8A35D/batches/E7326C77-E6D2-4018-877C-EF902DA1E266]
105519956_00407 (imageset: 2AF8802D-FF4D-45FA-97D3-FD77B68D32B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F3275E44-13D5-43CD-A989-503BFCAE5BAD/manage/2AF8802D-FF4D-45FA-97D3-FD77B68D32B7/batches/415E408D-320A-479A-8224-35657939D263]
