Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 224;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 414;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 9;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 215;
F34E4D12-9724-47B6-8358-422916125413;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https:///www.familysearch.org/indexing/admin-new/#/projects/F34E4D12-9724-47B6-8358-422916125413/overview]
100374453_00252 (imageset: FAC2C8CD-2B9A-4611-A9E1-EB937C08C3B2);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F34E4D12-9724-47B6-8358-422916125413/manage/FAC2C8CD-2B9A-4611-A9E1-EB937C08C3B2/batches/92DE2719-C49D-49A8-AE28-BF5603F4854F]
100397055_00372 (imageset: FFCD4D5A-439A-4AF8-AC89-7520A3879275);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F34E4D12-9724-47B6-8358-422916125413/manage/FFCD4D5A-439A-4AF8-AC89-7520A3879275/batches/7A408478-6C6C-42F3-BC82-1EF936F9AF2B]
100374455_00311 (imageset: AF65DA50-0E4B-48A4-AF48-D3FBDE279DB9);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F34E4D12-9724-47B6-8358-422916125413/manage/AF65DA50-0E4B-48A4-AF48-D3FBDE279DB9/batches/9E4AD1A1-3B3B-40AA-9FB9-3B6D0C663942]
