Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 292;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5708;
392CB173-CBF0-4B46-9F94-B4ACFE097ED8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/8DC379FA-C1D9-41A9-9E2F-EEC15D8E8D21/batches/392CB173-CBF0-4B46-9F94-B4ACFE097ED8]
941BF384-09E2-4476-A833-C1CFA00784E7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/C88D7014-AD55-4258-B09D-7D9E7B5A0BCD/batches/941BF384-09E2-4476-A833-C1CFA00784E7]
468206BA-7DE3-4C98-91DD-28A322A442B1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/DBBD7FE3-DC2B-4F4F-8008-8E5BAE765331/batches/468206BA-7DE3-4C98-91DD-28A322A442B1]
4C113D59-98C1-4B3A-884A-7A53C0503BD9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/CE9181EA-7393-43F8-91E2-718EDAA71B9C/batches/4C113D59-98C1-4B3A-884A-7A53C0503BD9]
8F447A72-0CD6-4BBF-937D-75557DB7264B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/A1A3A790-2975-4A24-AE10-A98F6C354F35/batches/8F447A72-0CD6-4BBF-937D-75557DB7264B]
D41C4868-DC78-49B5-97DA-58858BDA8AFA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/887BB441-E086-4E95-BAC4-7946F8E014B8/batches/D41C4868-DC78-49B5-97DA-58858BDA8AFA]
B41BAC01-710B-468E-811E-DD8D8E419E32;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/4B52E4F1-1A65-4C8F-A0EA-6E8FE1D39498/batches/B41BAC01-710B-468E-811E-DD8D8E419E32]
53627115-509A-4278-B3BB-06ECA81FE3A9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/FF8370C4-BF10-4710-BC17-43342B141F34/batches/53627115-509A-4278-B3BB-06ECA81FE3A9]
0A9F5449-F5B9-4C5B-AD9D-C88FEBDCBA75;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/3CE71393-2139-4D9D-903F-06AF6B5FD921/batches/0A9F5449-F5B9-4C5B-AD9D-C88FEBDCBA75]
6D7793D6-E6DD-417E-A524-A1708328EA66;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/C1F23C08-E54B-40DE-9F53-AE931526C806/batches/6D7793D6-E6DD-417E-A524-A1708328EA66]
2394074F-FB49-4054-8C69-1BDC6EA8416F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/80E8DF3F-7D30-46FA-833E-FEAA9E0AE23B/batches/2394074F-FB49-4054-8C69-1BDC6EA8416F]
AED50C6E-789C-4CEB-A2A5-156CA2B453BD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/1B91E71D-E768-44BD-9D19-7F64FD924148/batches/AED50C6E-789C-4CEB-A2A5-156CA2B453BD]
A4D84EB9-6578-49EC-BAED-CBB79762D966;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/3B5A8ABF-5E93-4374-882A-CCB40CEC970D/batches/A4D84EB9-6578-49EC-BAED-CBB79762D966]
EBA98B77-DB19-4E59-BA90-1D89C90C7101;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/1C289562-3355-4EC1-8190-A8036F2FFFD5/batches/EBA98B77-DB19-4E59-BA90-1D89C90C7101]
BC8DBDEE-7ACB-47DF-9DC8-2605BC7F5562;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/A089B071-9DDE-4F34-AF2E-A6B2C1FA8813/batches/BC8DBDEE-7ACB-47DF-9DC8-2605BC7F5562]
E8DE032B-5A8A-400E-A509-44DE3DA98D8E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/B99C0DC8-7E50-446E-89F1-F985AF2F9DC9/batches/E8DE032B-5A8A-400E-A509-44DE3DA98D8E]
281DA4B8-E9DB-496F-9486-74FDF09A3667;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/9DF4CFC9-8283-46CC-B100-CD9E6A588374/batches/281DA4B8-E9DB-496F-9486-74FDF09A3667]
00BBCFEE-1BA6-43FA-A7D0-DD2E3F62ADB2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/B8FB9314-8A78-4EE0-B398-6276D23DD7B6/batches/00BBCFEE-1BA6-43FA-A7D0-DD2E3F62ADB2]
7F21599B-7011-48C0-B186-390882F39E89;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/C765730F-92CE-42B1-8219-8CDA33B75C77/batches/7F21599B-7011-48C0-B186-390882F39E89]
441ED250-441B-4C4A-BBCA-C6A4DBDC3350;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/1C289562-3355-4EC1-8190-A8036F2FFFD5/batches/441ED250-441B-4C4A-BBCA-C6A4DBDC3350]
011F780F-6350-4177-ADE6-9D23CC023D69;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/7D960909-718E-4AFC-A8CF-31317ABEBB3B/batches/011F780F-6350-4177-ADE6-9D23CC023D69]
9E2FCED2-2FE4-4EAD-9543-6668D1E98F16;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/3B5A8ABF-5E93-4374-882A-CCB40CEC970D/batches/9E2FCED2-2FE4-4EAD-9543-6668D1E98F16]
AF90E708-9257-4943-B01C-34B178F23273;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/DAAC73F5-C10D-4627-BF36-008E141E4BBC/batches/AF90E708-9257-4943-B01C-34B178F23273]
D48F66ED-8882-4BBD-958A-D83B5BC2CA49;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/5376B114-8F18-4878-97C9-84AFAB7236F6/batches/D48F66ED-8882-4BBD-958A-D83B5BC2CA49]
56DD2550-ED82-471E-AAC7-9822D998405B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/8789BBE8-1A7A-4418-91DF-35C8793CC906/batches/56DD2550-ED82-471E-AAC7-9822D998405B]
750FA13D-762B-484D-9F10-95BFF424F60A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/6055EF49-F7B9-43F3-B410-42733E5B5656/batches/750FA13D-762B-484D-9F10-95BFF424F60A]
642E2D01-C685-4015-9BDC-4D0514639719;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/502CF0ED-3AB5-40B8-B882-C3602BC5BB64/batches/642E2D01-C685-4015-9BDC-4D0514639719]
00DE3F67-A7F0-403F-9950-8B455A40753D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/932ABF70-E19B-45AB-94F3-561683EA0321/batches/00DE3F67-A7F0-403F-9950-8B455A40753D]
BCD7A90E-A417-4145-B024-43DA10BC8A47;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/2FE62841-561E-4A37-BD54-4F7491BD35AF/batches/BCD7A90E-A417-4145-B024-43DA10BC8A47]
142FC729-103D-4264-8443-66B2865FC322;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F4A7F975-BB43-4025-8326-AFF00B5E13C2/manage/A9FAB0A6-4795-464F-ACAA-D04FDD0C6C6D/batches/142FC729-103D-4264-8443-66B2865FC322]
