Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 107;
008168726_00448 (imageset: 43057C0E-E676-415F-8F3D-3E6218BE6D6D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/43057C0E-E676-415F-8F3D-3E6218BE6D6D/batches/30E02B8F-E32E-4F5B-88D1-90BD0331656F]
008168726_00205 (imageset: 43057C0E-E676-415F-8F3D-3E6218BE6D6D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/43057C0E-E676-415F-8F3D-3E6218BE6D6D/batches/0FDF1F85-6249-4000-ACCE-6CA9811AF07E]
008168726_00720 (imageset: 43057C0E-E676-415F-8F3D-3E6218BE6D6D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/43057C0E-E676-415F-8F3D-3E6218BE6D6D/batches/E07ECC7A-E522-44D8-A979-74C05D782508]
008168722_00918 (imageset: 8EFEA906-3375-45FC-B60A-8FFA826F999E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/8EFEA906-3375-45FC-B60A-8FFA826F999E/batches/495DA7B1-F2B3-42E3-8398-0D4D77162104]
008168726_00445 (imageset: 43057C0E-E676-415F-8F3D-3E6218BE6D6D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/43057C0E-E676-415F-8F3D-3E6218BE6D6D/batches/580EA858-E5E1-4A8B-A46D-431B47643E99]
008168725_00759 (imageset: 048FCA7E-6BF4-42CD-95B8-534E236FF4DD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/048FCA7E-6BF4-42CD-95B8-534E236FF4DD/batches/F79476E9-B74E-4C70-A8F8-1A3DFA3C58DA]
008168722_00919 (imageset: 8EFEA906-3375-45FC-B60A-8FFA826F999E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/8EFEA906-3375-45FC-B60A-8FFA826F999E/batches/495DA7B1-F2B3-42E3-8398-0D4D77162104]
008168727_00774 (imageset: 195C44B1-872D-445E-9C00-B4C8998D637A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/195C44B1-872D-445E-9C00-B4C8998D637A/batches/789F6A6B-03B7-4061-BB19-A68F88860B88]
008168727_00534 (imageset: 195C44B1-872D-445E-9C00-B4C8998D637A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F6E872AE-192B-44AF-BC4A-CFB1344D7A1D/manage/195C44B1-872D-445E-9C00-B4C8998D637A/batches/3692CCF9-C6BC-4915-89C9-419638F44379]
