Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 20;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
100190375_00154 (imageset: 29040B74-864D-4FAC-8A8D-CC1BF58F1BA0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/29040B74-864D-4FAC-8A8D-CC1BF58F1BA0/batches/471419B4-A47B-4442-A36B-E5D092EE115C]
100190375_00153 (imageset: 29040B74-864D-4FAC-8A8D-CC1BF58F1BA0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/29040B74-864D-4FAC-8A8D-CC1BF58F1BA0/batches/471419B4-A47B-4442-A36B-E5D092EE115C]
100189503_00059 (imageset: C6FB6CB8-EC7F-4071-B22A-03097D248073);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/C6FB6CB8-EC7F-4071-B22A-03097D248073/batches/177C3EF8-A234-4934-B9D7-034D74CD91B5]
100189500_00004 (imageset: E1C6F519-A89E-4272-9831-58B54F6E5A51);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/E1C6F519-A89E-4272-9831-58B54F6E5A51/batches/38627031-052E-4511-B177-300501F3F67C]
100189510_00204 (imageset: 2C5B6DDF-D610-4869-B55B-653C5EF9AB59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/2C5B6DDF-D610-4869-B55B-653C5EF9AB59/batches/0DC1D297-259B-4F91-A589-45418AFD28F5]
100189500_00003 (imageset: E1C6F519-A89E-4272-9831-58B54F6E5A51);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/E1C6F519-A89E-4272-9831-58B54F6E5A51/batches/38627031-052E-4511-B177-300501F3F67C]
100189510_00205 (imageset: 2C5B6DDF-D610-4869-B55B-653C5EF9AB59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/2C5B6DDF-D610-4869-B55B-653C5EF9AB59/batches/0DC1D297-259B-4F91-A589-45418AFD28F5]
100189500_00006 (imageset: E1C6F519-A89E-4272-9831-58B54F6E5A51);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/E1C6F519-A89E-4272-9831-58B54F6E5A51/batches/38627031-052E-4511-B177-300501F3F67C]
100189500_00005 (imageset: E1C6F519-A89E-4272-9831-58B54F6E5A51);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/E1C6F519-A89E-4272-9831-58B54F6E5A51/batches/38627031-052E-4511-B177-300501F3F67C]
100189510_00203 (imageset: 2C5B6DDF-D610-4869-B55B-653C5EF9AB59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/2C5B6DDF-D610-4869-B55B-653C5EF9AB59/batches/0DC1D297-259B-4F91-A589-45418AFD28F5]
100189488_00011 (imageset: 7977E6ED-7493-4D8A-B4F0-70008B52C1CE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/7977E6ED-7493-4D8A-B4F0-70008B52C1CE/batches/202E20B1-5099-4964-BEC7-197D1E45D35E]
100189500_00007 (imageset: E1C6F519-A89E-4272-9831-58B54F6E5A51);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/E1C6F519-A89E-4272-9831-58B54F6E5A51/batches/38627031-052E-4511-B177-300501F3F67C]
100189510_00206 (imageset: 2C5B6DDF-D610-4869-B55B-653C5EF9AB59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/2C5B6DDF-D610-4869-B55B-653C5EF9AB59/batches/0DC1D297-259B-4F91-A589-45418AFD28F5]
100189510_00207 (imageset: 2C5B6DDF-D610-4869-B55B-653C5EF9AB59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/2C5B6DDF-D610-4869-B55B-653C5EF9AB59/batches/0DC1D297-259B-4F91-A589-45418AFD28F5]
100189497_00005 (imageset: 3CCF4466-2D40-4A07-ABF7-5F42C441125E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/3CCF4466-2D40-4A07-ABF7-5F42C441125E/batches/016DE796-3396-4C07-82F9-BC3B6D0D6187]
100189507_00049 (imageset: D28A5144-8FA0-484E-BF22-A799FFEBB2AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/D28A5144-8FA0-484E-BF22-A799FFEBB2AF/batches/A4AE562E-7D7B-4E2B-8538-C35CDF8B1B48]
100189497_00004 (imageset: 3CCF4466-2D40-4A07-ABF7-5F42C441125E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/3CCF4466-2D40-4A07-ABF7-5F42C441125E/batches/016DE796-3396-4C07-82F9-BC3B6D0D6187]
100189507_00048 (imageset: D28A5144-8FA0-484E-BF22-A799FFEBB2AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/D28A5144-8FA0-484E-BF22-A799FFEBB2AF/batches/A4AE562E-7D7B-4E2B-8538-C35CDF8B1B48]
100189497_00003 (imageset: 3CCF4466-2D40-4A07-ABF7-5F42C441125E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/3CCF4466-2D40-4A07-ABF7-5F42C441125E/batches/016DE796-3396-4C07-82F9-BC3B6D0D6187]
100189503_00058 (imageset: C6FB6CB8-EC7F-4071-B22A-03097D248073);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/C6FB6CB8-EC7F-4071-B22A-03097D248073/batches/177C3EF8-A234-4934-B9D7-034D74CD91B5]
100189497_00008 (imageset: 3CCF4466-2D40-4A07-ABF7-5F42C441125E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/3CCF4466-2D40-4A07-ABF7-5F42C441125E/batches/016DE796-3396-4C07-82F9-BC3B6D0D6187]
100190375_00157 (imageset: 29040B74-864D-4FAC-8A8D-CC1BF58F1BA0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/29040B74-864D-4FAC-8A8D-CC1BF58F1BA0/batches/471419B4-A47B-4442-A36B-E5D092EE115C]
100189497_00007 (imageset: 3CCF4466-2D40-4A07-ABF7-5F42C441125E);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/3CCF4466-2D40-4A07-ABF7-5F42C441125E/batches/016DE796-3396-4C07-82F9-BC3B6D0D6187]
100190375_00156 (imageset: 29040B74-864D-4FAC-8A8D-CC1BF58F1BA0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/29040B74-864D-4FAC-8A8D-CC1BF58F1BA0/batches/471419B4-A47B-4442-A36B-E5D092EE115C]
100189488_00010 (imageset: 7977E6ED-7493-4D8A-B4F0-70008B52C1CE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/7977E6ED-7493-4D8A-B4F0-70008B52C1CE/batches/202E20B1-5099-4964-BEC7-197D1E45D35E]
100190375_00155 (imageset: 29040B74-864D-4FAC-8A8D-CC1BF58F1BA0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/29040B74-864D-4FAC-8A8D-CC1BF58F1BA0/batches/471419B4-A47B-4442-A36B-E5D092EE115C]
100189507_00052 (imageset: D28A5144-8FA0-484E-BF22-A799FFEBB2AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/D28A5144-8FA0-484E-BF22-A799FFEBB2AF/batches/A4AE562E-7D7B-4E2B-8538-C35CDF8B1B48]
100189507_00051 (imageset: D28A5144-8FA0-484E-BF22-A799FFEBB2AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/D28A5144-8FA0-484E-BF22-A799FFEBB2AF/batches/A4AE562E-7D7B-4E2B-8538-C35CDF8B1B48]
100189507_00050 (imageset: D28A5144-8FA0-484E-BF22-A799FFEBB2AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/D28A5144-8FA0-484E-BF22-A799FFEBB2AF/batches/A4AE562E-7D7B-4E2B-8538-C35CDF8B1B48]
100189488_00008 (imageset: 7977E6ED-7493-4D8A-B4F0-70008B52C1CE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/7977E6ED-7493-4D8A-B4F0-70008B52C1CE/batches/202E20B1-5099-4964-BEC7-197D1E45D35E]
100189501_00005 (imageset: 24DC0A61-541F-45F8-98A1-CFC21BDB7AB9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/24DC0A61-541F-45F8-98A1-CFC21BDB7AB9/batches/60B2D3CC-1432-4C3A-A5A4-1E8A0F494F3D]
100189488_00009 (imageset: 7977E6ED-7493-4D8A-B4F0-70008B52C1CE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/7977E6ED-7493-4D8A-B4F0-70008B52C1CE/batches/202E20B1-5099-4964-BEC7-197D1E45D35E]
100189501_00004 (imageset: 24DC0A61-541F-45F8-98A1-CFC21BDB7AB9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/24DC0A61-541F-45F8-98A1-CFC21BDB7AB9/batches/60B2D3CC-1432-4C3A-A5A4-1E8A0F494F3D]
100189501_00003 (imageset: 24DC0A61-541F-45F8-98A1-CFC21BDB7AB9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/24DC0A61-541F-45F8-98A1-CFC21BDB7AB9/batches/60B2D3CC-1432-4C3A-A5A4-1E8A0F494F3D]
100189503_00060 (imageset: C6FB6CB8-EC7F-4071-B22A-03097D248073);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/C6FB6CB8-EC7F-4071-B22A-03097D248073/batches/177C3EF8-A234-4934-B9D7-034D74CD91B5]
100189503_00061 (imageset: C6FB6CB8-EC7F-4071-B22A-03097D248073);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/C6FB6CB8-EC7F-4071-B22A-03097D248073/batches/177C3EF8-A234-4934-B9D7-034D74CD91B5]
100189501_00007 (imageset: 24DC0A61-541F-45F8-98A1-CFC21BDB7AB9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/24DC0A61-541F-45F8-98A1-CFC21BDB7AB9/batches/60B2D3CC-1432-4C3A-A5A4-1E8A0F494F3D]
100189488_00007 (imageset: 7977E6ED-7493-4D8A-B4F0-70008B52C1CE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/7977E6ED-7493-4D8A-B4F0-70008B52C1CE/batches/202E20B1-5099-4964-BEC7-197D1E45D35E]
100189501_00006 (imageset: 24DC0A61-541F-45F8-98A1-CFC21BDB7AB9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F97FC4A4-C0BC-43D0-B798-6AB6FA1AA456/manage/24DC0A61-541F-45F8-98A1-CFC21BDB7AB9/batches/60B2D3CC-1432-4C3A-A5A4-1E8A0F494F3D]
