Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
A278A3C4-F357-4CB4-B019-E4DE83A2E7A5;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/A64FF6DD-4351-486C-A1CD-EE4A954D1AAA/batches/A278A3C4-F357-4CB4-B019-E4DE83A2E7A5]
68C52815-6F97-4651-A108-0FB36BC85ED8;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/A64FF6DD-4351-486C-A1CD-EE4A954D1AAA/batches/68C52815-6F97-4651-A108-0FB36BC85ED8]
C0317CBE-4973-460C-A8D8-31A5A867322A;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/1F9D385F-D343-49F9-BEAC-F2E03DDE4C7D/batches/C0317CBE-4973-460C-A8D8-31A5A867322A]
D05088A4-BE97-49AE-B256-08F909FFB578;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/967A289C-3A73-44F9-BEF6-2B9D95311113/batches/D05088A4-BE97-49AE-B256-08F909FFB578]
941DFB69-2B54-4B1C-86F7-38DB47251A01;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/C1997AEA-94CE-45A3-A82E-E2ACCCE3EBCA/batches/941DFB69-2B54-4B1C-86F7-38DB47251A01]
058F6BCC-853E-4CAE-BC7D-F6AE34E53C7E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/C57F7F1A-A0B6-42DE-82A1-B860CEDD88AA/batches/058F6BCC-853E-4CAE-BC7D-F6AE34E53C7E]
4040A3B4-6710-445F-97A6-AF169F6139D9;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/D33C3DE1-0470-47D6-B8BA-C58978DF177E/batches/4040A3B4-6710-445F-97A6-AF169F6139D9]
058463AA-EE20-4099-B8C1-BCA9B4D2EF19;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/A64FF6DD-4351-486C-A1CD-EE4A954D1AAA/batches/058463AA-EE20-4099-B8C1-BCA9B4D2EF19]
4152EC63-CC64-4ADB-A5EF-4ADDAA31267A;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/967A289C-3A73-44F9-BEF6-2B9D95311113/batches/4152EC63-CC64-4ADB-A5EF-4ADDAA31267A]
03CDF091-9DFA-42CA-A8A2-6B5E0F92FB47;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/8FE3EC7C-4019-49F8-815D-73F6F2EC5D8E/batches/03CDF091-9DFA-42CA-A8A2-6B5E0F92FB47]
8ABE4066-BD68-4711-BC54-8CA71A420F8F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/7D18D8FC-CBDF-4197-9A74-805501E01F53/batches/8ABE4066-BD68-4711-BC54-8CA71A420F8F]
8A72A380-27D2-4BEA-A515-34E9B0421B12;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/09D112A5-C351-43D9-B62A-DD334BB3927E/batches/8A72A380-27D2-4BEA-A515-34E9B0421B12]
B3F362FD-5CD1-455D-9640-A7F59F89A11E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/F9AE0610-94A1-471B-932D-4EC7AA502232/manage/A118E20C-2910-476A-BBC7-E5171F18BBFE/batches/B3F362FD-5CD1-455D-9640-A7F59F89A11E]
