Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 30;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 3397;
005035582_00288 (imageset: D9BB6E42-EA03-4FBC-9B28-F683399F25D0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/D9BB6E42-EA03-4FBC-9B28-F683399F25D0/batches/148A7362-07B0-463F-A7D9-C13095764E2E]
005035582_00289 (imageset: D9BB6E42-EA03-4FBC-9B28-F683399F25D0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/D9BB6E42-EA03-4FBC-9B28-F683399F25D0/batches/148A7362-07B0-463F-A7D9-C13095764E2E]
005035582_00284 (imageset: D9BB6E42-EA03-4FBC-9B28-F683399F25D0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/D9BB6E42-EA03-4FBC-9B28-F683399F25D0/batches/150F35A7-035F-4C6F-8FEF-A62CA6AB5409]
005035582_00285 (imageset: D9BB6E42-EA03-4FBC-9B28-F683399F25D0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/D9BB6E42-EA03-4FBC-9B28-F683399F25D0/batches/150F35A7-035F-4C6F-8FEF-A62CA6AB5409]
005035582_00286 (imageset: D9BB6E42-EA03-4FBC-9B28-F683399F25D0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/D9BB6E42-EA03-4FBC-9B28-F683399F25D0/batches/150F35A7-035F-4C6F-8FEF-A62CA6AB5409]
005035582_00287 (imageset: D9BB6E42-EA03-4FBC-9B28-F683399F25D0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/D9BB6E42-EA03-4FBC-9B28-F683399F25D0/batches/150F35A7-035F-4C6F-8FEF-A62CA6AB5409]
005035592_00126 (imageset: 551DC011-2FE2-4DAA-A6FE-453D1DDCD3FD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/551DC011-2FE2-4DAA-A6FE-453D1DDCD3FD/batches/17388BBF-38B6-44D8-AC27-24963093BE89]
005035592_00127 (imageset: 551DC011-2FE2-4DAA-A6FE-453D1DDCD3FD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/F9EDEC79-0327-4228-A8DF-034659AB3002/manage/551DC011-2FE2-4DAA-A6FE-453D1DDCD3FD/batches/17388BBF-38B6-44D8-AC27-24963093BE89]
