Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 5526;
005599859_00571 (imageset: ACDB100E-4221-4D1E-9ACE-2098AD6C8669);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/ACDB100E-4221-4D1E-9ACE-2098AD6C8669/batches/EED7208E-3087-4190-9B17-C6BC24422D18]
005599575_00543 (imageset: 9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F/batches/A1511694-C1EA-4AF1-B6C9-70692B55CD1B]
005599905_01633 (imageset: 626052D7-A485-4BF8-8F67-3A34EC15A54A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/626052D7-A485-4BF8-8F67-3A34EC15A54A/batches/98A27518-B184-4E03-8D09-15C10D330097]
005599905_01632 (imageset: 626052D7-A485-4BF8-8F67-3A34EC15A54A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/626052D7-A485-4BF8-8F67-3A34EC15A54A/batches/98A27518-B184-4E03-8D09-15C10D330097]
005599881_00682 (imageset: 098C673C-8363-409A-9873-7481E96B46C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/098C673C-8363-409A-9873-7481E96B46C1/batches/8BF8BA26-621E-41FB-98B1-A75054CB129D]
005599575_00547 (imageset: 9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F/batches/A1511694-C1EA-4AF1-B6C9-70692B55CD1B]
005599575_00546 (imageset: 9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F/batches/A1511694-C1EA-4AF1-B6C9-70692B55CD1B]
005599881_00684 (imageset: 098C673C-8363-409A-9873-7481E96B46C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/098C673C-8363-409A-9873-7481E96B46C1/batches/8BF8BA26-621E-41FB-98B1-A75054CB129D]
005599575_00545 (imageset: 9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/9329D6FB-53DA-4D1E-94C6-CDAFEDD2137F/batches/A1511694-C1EA-4AF1-B6C9-70692B55CD1B]
005599881_00683 (imageset: 098C673C-8363-409A-9873-7481E96B46C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/098C673C-8363-409A-9873-7481E96B46C1/batches/8BF8BA26-621E-41FB-98B1-A75054CB129D]
005599884_01489 (imageset: 5B9AAA79-D9A4-4A40-AE34-7AEDAB3BF6F0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FA009701-BD8A-414F-A162-367CFA4D1973/manage/5B9AAA79-D9A4-4A40-AE34-7AEDAB3BF6F0/batches/8332A094-B90D-4AAB-85D5-90C4FA35F2D4]
