Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 10;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 10;
3859FCCB-FB18-4A98-9BA3-345003DFEA2B;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/3859FCCB-FB18-4A98-9BA3-345003DFEA2B]
18E19235-EB6B-4C70-AAF3-021858EEF7DB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/18E19235-EB6B-4C70-AAF3-021858EEF7DB]
C61678BE-F5E0-4897-A47D-27B7649C8FC9;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/C61678BE-F5E0-4897-A47D-27B7649C8FC9]
A2A7BCD2-0957-4991-90DC-FEA84D460186;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/A2A7BCD2-0957-4991-90DC-FEA84D460186]
88F0373D-FE41-4F5A-9C65-69939C5EA076;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/88F0373D-FE41-4F5A-9C65-69939C5EA076]
3D0692FF-3223-4843-B45A-385AAEA08FF9;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/3D0692FF-3223-4843-B45A-385AAEA08FF9]
FF6E2441-9F09-4756-A532-CE3F50C2E869;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/FF6E2441-9F09-4756-A532-CE3F50C2E869]
9F9699CB-1F47-46BC-8ABF-86DADCEC4720;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/9F9699CB-1F47-46BC-8ABF-86DADCEC4720]
2121EBBF-823B-4E34-8A81-BA381DAD5DED;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/2121EBBF-823B-4E34-8A81-BA381DAD5DED]
52DCB108-6FD8-41F2-81BB-097AFFFD87F2;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/manage/606D0A22-3A47-449B-9F31-82E358D68909/batches/52DCB108-6FD8-41F2-81BB-097AFFFD87F2]
FB6E2F37-F796-4EE8-9C54-3F3339389990;PROJECT;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/overview]
