Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 15;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 72;
106123566_00027 (imageset: C0157DA9-830D-494D-AEFA-9C93F009D197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/C0157DA9-830D-494D-AEFA-9C93F009D197/batches/2E6B1814-5612-4122-ADAE-FBC7EF7C255D]
106231959_00079 (imageset: D49F386D-6C3F-4C17-A681-D982B3D781D9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/D49F386D-6C3F-4C17-A681-D982B3D781D9/batches/A755FD27-74F5-4D64-A255-DA17338070BA]
106267499_00089 (imageset: F64A9A78-70D9-42D0-92E9-96AE3C33928E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F64A9A78-70D9-42D0-92E9-96AE3C33928E/batches/9644650A-C5D1-4635-9FA5-6B551D199A9C]
106232003_00066 (imageset: 73E64B89-CFC4-46DE-97F1-CB2045A582F3);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/73E64B89-CFC4-46DE-97F1-CB2045A582F3/batches/7FC078C1-EBD6-46BF-B455-AD5C6ACA9D83]
106231585_00107 (imageset: EE29BDF5-1A8B-4ACA-9946-6F84B3FE1FD4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/EE29BDF5-1A8B-4ACA-9946-6F84B3FE1FD4/batches/A4F8CE60-5470-4578-ABCD-91EB695002D9]
106123537_00155 (imageset: 6343771D-EBBC-40E2-88DD-E82A8638A00E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/6343771D-EBBC-40E2-88DD-E82A8638A00E/batches/9AE59446-4E1F-4D88-A332-5B114132BBFE]
106231607_00106 (imageset: F107A678-67AE-498A-BB32-949106BA5090);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F107A678-67AE-498A-BB32-949106BA5090/batches/CE706FAB-62EF-49BA-9AF7-4D4F6EFFCC14]
106332211_00194 (imageset: 44A4138F-C8E0-44D0-9CA9-5523FCA994BC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/44A4138F-C8E0-44D0-9CA9-5523FCA994BC/batches/03667060-FD3C-4756-B12C-38F2B479E9D5]
106123551_00165 (imageset: 5EAD0184-5638-4B23-A785-AE66EBDBC848);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/5EAD0184-5638-4B23-A785-AE66EBDBC848/batches/4AB9B450-4FF7-4591-B90F-6BD1FD771C09]
106231648_00119 (imageset: 2E3641DB-083A-4F92-A4FA-FE1B35244B3C);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/2E3641DB-083A-4F92-A4FA-FE1B35244B3C/batches/B3059280-AA8A-4281-BF88-764508FEFA0C]
106267499_00207 (imageset: F64A9A78-70D9-42D0-92E9-96AE3C33928E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F64A9A78-70D9-42D0-92E9-96AE3C33928E/batches/B22C6424-E41B-4820-990F-FB9A86CAC5DC]
106332208_00033 (imageset: 3C02E032-619E-4FF3-88EF-267AD5190163);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/3C02E032-619E-4FF3-88EF-267AD5190163/batches/BFCA21E8-3F47-495B-A321-E5022D805867]
106267499_00208 (imageset: F64A9A78-70D9-42D0-92E9-96AE3C33928E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F64A9A78-70D9-42D0-92E9-96AE3C33928E/batches/B22C6424-E41B-4820-990F-FB9A86CAC5DC]
106332208_00034 (imageset: 3C02E032-619E-4FF3-88EF-267AD5190163);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/3C02E032-619E-4FF3-88EF-267AD5190163/batches/BFCA21E8-3F47-495B-A321-E5022D805867]
106123566_00023 (imageset: C0157DA9-830D-494D-AEFA-9C93F009D197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/C0157DA9-830D-494D-AEFA-9C93F009D197/batches/EC2E9A46-79AD-4202-9C44-B43FB7D66156]
106267499_00326 (imageset: F64A9A78-70D9-42D0-92E9-96AE3C33928E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F64A9A78-70D9-42D0-92E9-96AE3C33928E/batches/63886B87-D4A2-44DA-A22F-549A16C376D1]
106231585_00188 (imageset: EE29BDF5-1A8B-4ACA-9946-6F84B3FE1FD4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/EE29BDF5-1A8B-4ACA-9946-6F84B3FE1FD4/batches/469659A7-4739-46BF-B825-56CF8B322739]
106231648_00037 (imageset: 2E3641DB-083A-4F92-A4FA-FE1B35244B3C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/2E3641DB-083A-4F92-A4FA-FE1B35244B3C/batches/FF5EB08A-E7D9-4766-B6B6-0D478AF90ED0]
106231648_00038 (imageset: 2E3641DB-083A-4F92-A4FA-FE1B35244B3C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/2E3641DB-083A-4F92-A4FA-FE1B35244B3C/batches/FF5EB08A-E7D9-4766-B6B6-0D478AF90ED0]
106267480_00019 (imageset: 1BD4AE1D-7EE5-48AA-A2CC-D129EDC5AF8E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/1BD4AE1D-7EE5-48AA-A2CC-D129EDC5AF8E/batches/35F59BD0-D633-4356-A847-3BF968DE1D87]
106267499_00325 (imageset: F64A9A78-70D9-42D0-92E9-96AE3C33928E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F64A9A78-70D9-42D0-92E9-96AE3C33928E/batches/63886B87-D4A2-44DA-A22F-549A16C376D1]
106123591_00166 (imageset: 7DA906CD-2045-4E12-86E3-E2A1357695C9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/7DA906CD-2045-4E12-86E3-E2A1357695C9/batches/7A6770AF-FFB3-43C9-AD35-A6A981C9D7A2]
106123500_00033 (imageset: F76DBB25-E0CB-4069-ABF0-7EE805A5F9F2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F76DBB25-E0CB-4069-ABF0-7EE805A5F9F2/batches/8F2F0ACF-6D07-4B09-876F-7B2F88B48306]
106232003_00181 (imageset: 73E64B89-CFC4-46DE-97F1-CB2045A582F3);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/73E64B89-CFC4-46DE-97F1-CB2045A582F3/batches/47451574-CE3F-4C0A-A9AB-085E2440E85D]
106267468_00033 (imageset: 6614333F-121E-4FA3-B9D3-0DB627B9BF18);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/6614333F-121E-4FA3-B9D3-0DB627B9BF18/batches/872D47AC-0113-4CD6-A77F-63A4467CF2AD]
106231614_00071 (imageset: 9221E33E-D979-46B2-9712-DFDD0F537B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/9221E33E-D979-46B2-9712-DFDD0F537B99/batches/436E5C3B-2677-4A4F-B4B8-EA5AD56F645B]
106123500_00079 (imageset: F76DBB25-E0CB-4069-ABF0-7EE805A5F9F2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/F76DBB25-E0CB-4069-ABF0-7EE805A5F9F2/batches/9761F262-A938-475F-9770-7B684A7F6FFF]
106123252_00070 (imageset: 10D5CA20-0AEC-49CF-AB51-CD3A6269A5A0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/10D5CA20-0AEC-49CF-AB51-CD3A6269A5A0/batches/DBE1C3AF-4F91-449C-A74D-B7236ECC1A9E]
106267468_00034 (imageset: 6614333F-121E-4FA3-B9D3-0DB627B9BF18);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/6614333F-121E-4FA3-B9D3-0DB627B9BF18/batches/872D47AC-0113-4CD6-A77F-63A4467CF2AD]
106231979_00044 (imageset: A4B881D3-65F0-449B-A675-D434E7DD887A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/A4B881D3-65F0-449B-A675-D434E7DD887A/batches/94863DB1-143F-447A-B958-433022FA22D3]
106123566_00015 (imageset: C0157DA9-830D-494D-AEFA-9C93F009D197);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/C0157DA9-830D-494D-AEFA-9C93F009D197/batches/342BC30B-EE0C-49BC-B5A8-A915474C4304]
106123249_00046 (imageset: E791DAB8-BFCB-4B1B-BDBF-0FE6AC6341C2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/E791DAB8-BFCB-4B1B-BDBF-0FE6AC6341C2/batches/F3CD19F1-FE16-4B54-ABA7-E38D5348E72D]
106267482_00055 (imageset: 34B9E21F-CFA0-445A-882B-AC2509312C49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/34B9E21F-CFA0-445A-882B-AC2509312C49/batches/2770F3F3-13E9-4CBE-97DA-4A96C9A02121]
106123247_00220 (imageset: 082EC6B1-5987-46F8-AB68-AFC770F453BC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/082EC6B1-5987-46F8-AB68-AFC770F453BC/batches/DED73EF0-38E3-45C3-A543-4602C3FF88BD]
106123530_00101 (imageset: 943BD933-D825-4125-A8FA-AA2C5C64CAC4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/943BD933-D825-4125-A8FA-AA2C5C64CAC4/batches/62777EE2-941E-4D45-84E6-0628C4483C29]
106267482_00056 (imageset: 34B9E21F-CFA0-445A-882B-AC2509312C49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/manage/34B9E21F-CFA0-445A-882B-AC2509312C49/batches/2770F3F3-13E9-4CBE-97DA-4A96C9A02121]
