Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
44D8BF1E-60FC-44C9-92B3-6B81E876CBDD;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/44D8BF1E-60FC-44C9-92B3-6B81E876CBDD]
51160996-1890-4891-A024-F28EA35905F3;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/51160996-1890-4891-A024-F28EA35905F3]
FF709C6A-B6AC-4033-BF71-C71AA9DADC66;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/0B6B13D4-D2A1-47A9-9A8C-5EB43DB273AE/batches/FF709C6A-B6AC-4033-BF71-C71AA9DADC66]
FF709C6A-B6AC-4033-BF71-C71AA9DADC66;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/0B6B13D4-D2A1-47A9-9A8C-5EB43DB273AE/batches/FF709C6A-B6AC-4033-BF71-C71AA9DADC66]
60C1B19B-D434-416A-A526-BFE6BD6547CE;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/26DD9A0D-795E-4359-ABB5-562C750761FC/batches/60C1B19B-D434-416A-A526-BFE6BD6547CE]
60C1B19B-D434-416A-A526-BFE6BD6547CE;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/26DD9A0D-795E-4359-ABB5-562C750761FC/batches/60C1B19B-D434-416A-A526-BFE6BD6547CE]
4E2EC464-3293-4682-B8BA-220644784C2D;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/4E2EC464-3293-4682-B8BA-220644784C2D]
6F004C8E-CC12-494A-8250-BFBE100B1E9D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/6F6105FC-C42B-4B32-877F-60ABE5D03DBC/batches/6F004C8E-CC12-494A-8250-BFBE100B1E9D]
6F004C8E-CC12-494A-8250-BFBE100B1E9D;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/6F6105FC-C42B-4B32-877F-60ABE5D03DBC/batches/6F004C8E-CC12-494A-8250-BFBE100B1E9D]
35783EFF-374A-41AF-B4FC-05F67CBA59E3;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/35783EFF-374A-41AF-B4FC-05F67CBA59E3]
47732127-6E0E-44BF-8AE1-4732BC518C33;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/47732127-6E0E-44BF-8AE1-4732BC518C33]
20408F40-49E6-4418-A089-BDB28CBE42EC;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/20408F40-49E6-4418-A089-BDB28CBE42EC]
005E3983-02EB-4117-A732-FD057C370B69;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/005E3983-02EB-4117-A732-FD057C370B69]
2FD9610F-A5E6-4A7D-A018-B643B228C746;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/2FD9610F-A5E6-4A7D-A018-B643B228C746]
1D9DEE5C-8AF4-4BA1-9FBB-5CE57E509E24;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/1D9DEE5C-8AF4-4BA1-9FBB-5CE57E509E24]
BE11FE66-22B7-4D38-BDD2-3C1603748301;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/1DF6E60A-ED12-4C95-83B2-1848EA3E0077/batches/BE11FE66-22B7-4D38-BDD2-3C1603748301]
BE11FE66-22B7-4D38-BDD2-3C1603748301;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/1DF6E60A-ED12-4C95-83B2-1848EA3E0077/batches/BE11FE66-22B7-4D38-BDD2-3C1603748301]
40B7F6EC-799D-40F4-BB8C-DA966198665B;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/40B7F6EC-799D-40F4-BB8C-DA966198665B]
1BA546A8-9F1C-45F6-827E-A13F8B6E537B;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/1BA546A8-9F1C-45F6-827E-A13F8B6E537B]
1BA546A8-9F1C-45F6-827E-A13F8B6E537B;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/FD672C2C-67E3-4F48-BD3E-2D12C067B520/manage/000F7EDF-6ABC-457D-9400-37133516F7F3/batches/1BA546A8-9F1C-45F6-827E-A13F8B6E537B]
