project UUID;name;count;state
[801BEB31-9428-4716-95F4-9465E04C6080];[República Dominicana—Registro civil, Defunciones, 1838–1984 \[Parte D\]|https://www.familysearch.org/indexing/admin-new/#/projects/801BEB31-9428-4716-95F4-9465E04C6080/overview];1;READY_FOR_DELIVERY
[BC5F56AD-3C8C-4945-81F8-55CD26190499];[Brazil, São Paulo—Civil Registration, 1907-1995 \[Part BD\]|https://www.familysearch.org/indexing/admin-new/#/projects/BC5F56AD-3C8C-4945-81F8-55CD26190499/overview];1;READY_FOR_DELIVERY
[9655357B-6DF0-4D87-B530-4133C8F1F5A8];[US, New York, New York City—World War II Draft Registration Cards, 1940–1947 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/9655357B-6DF0-4D87-B530-4133C8F1F5A8/overview];1;READY_FOR_DELIVERY
[0AC3B37C-77A9-4399-AC54-DB97D1F758B7];[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/0AC3B37C-77A9-4399-AC54-DB97D1F758B7/overview];400;ACTIVE
[3FDB544E-C6B3-4BCE-AA06-76CC2B779550];[US, Oregon—Death Records, 1864–1967 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/overview];3;READY_FOR_DELIVERY
[45FF173A-5F79-42C9-84DB-FFEA5E116004];[Schweiz, Freiburg—1880 Volkszählungslisten|https://www.familysearch.org/indexing/admin-new/#/projects/45FF173A-5F79-42C9-84DB-FFEA5E116004/overview];22;ACTIVE
[69EB8C95-C082-4BD5-B002-FAAA9DAB3C1A];[US, Oregon—Death Records, 1864–1967 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/69EB8C95-C082-4BD5-B002-FAAA9DAB3C1A/overview];1;READY_FOR_DELIVERY
[C7CA6DA6-99A0-4728-8178-2997F667CA61];[United States, Enlisted and Officer Muster Rolls and Rosters, 1916–1939 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/C7CA6DA6-99A0-4728-8178-2997F667CA61/overview];100;READY_FOR_DELIVERY
[1E1B42AB-8068-4D60-A7A7-4D2665970562];[US—American Medical Association, Deceased Physicians File, 1864–1970|https://www.familysearch.org/indexing/admin-new/#/projects/1E1B42AB-8068-4D60-A7A7-4D2665970562/overview];135;READY_FOR_DELIVERY
[D54C6840-F385-4693-AC44-9A56A3FAB114];[Philippines—Marriage Records, 1945–1987 \[Part G\]|https://www.familysearch.org/indexing/admin-new/#/projects/D54C6840-F385-4693-AC44-9A56A3FAB114/overview];176;ACTIVE
[0655A536-F58A-4757-BB06-348A78B40DC8];[Italia, Teramo—Stato Civile, 1818–1938 \[Parte B\]|https://www.familysearch.org/indexing/admin-new/#/projects/0655A536-F58A-4757-BB06-348A78B40DC8/overview];1;READY_FOR_DELIVERY
[FF9E7D2A-28D5-4487-81A9-F670CE049DC7];[US, Oregon—Birth Records, 1903–1918|https://www.familysearch.org/indexing/admin-new/#/projects/FF9E7D2A-28D5-4487-81A9-F670CE049DC7/overview];1;READY_FOR_DELIVERY
[C3146690-ADEC-4072-B47F-F9A5CA90C822];[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];11;READY_FOR_DELIVERY
[F133C8EB-DE65-4457-9E8A-530CC99B77FD];[Philippines, Camarines Sur, Caceres—Registros Parroquiales, 1716–1977 \[Parte B\]|https://www.familysearch.org/indexing/admin-new/#/projects/F133C8EB-DE65-4457-9E8A-530CC99B77FD/overview];8;ACTIVE
[D987FA6E-0051-481D-B4BD-17EC5A6AEC36];[Sri Lanka, District Colombo—Nederlands hervormde doopfeesten en huwelijken, 1677–1810 \[deel B\]|https://www.familysearch.org/indexing/admin-new/#/projects/D987FA6E-0051-481D-B4BD-17EC5A6AEC36/overview];2;ACTIVE
[A794349A-CA50-4C0C-83FB-E5A4B9B47F9C];[US, New Jersey—Obituaries, 1980-2014 \[A\]|https://www.familysearch.org/indexing/admin-new/#/projects/A794349A-CA50-4C0C-83FB-E5A4B9B47F9C/overview];2;READY_FOR_DELIVERY
[DEAA81D5-0EF8-4398-B4E3-E7E7C2717150];[UK, England, Northumberland—Parish Registers, 1754–2012|https://www.familysearch.org/indexing/admin-new/#/projects/DEAA81D5-0EF8-4398-B4E3-E7E7C2717150/overview];1;READY_FOR_DELIVERY
[667F3665-1EE2-454D-929A-CCBA2A443F57];[US, Wisconsin—Marriage Records, 1979–1997|https://www.familysearch.org/indexing/admin-new/#/projects/667F3665-1EE2-454D-929A-CCBA2A443F57/overview];12;READY_FOR_DELIVERY
[F7A234EC-FB87-4CE5-94C0-1D1C56BE844B];[Philippines, Camarines Sur, Archdiocese de Caceres—Registros Parroquiales, 1716–1977 \[Parte C\]|https://www.familysearch.org/indexing/admin-new/#/projects/F7A234EC-FB87-4CE5-94C0-1D1C56BE844B/overview];1;READY_FOR_DELIVERY
[86FBF6B6-4E1E-4938-83FE-1933234FD6E5];[Guatemala (Lote rápido)—Registros Civiles, 1885–2009 \[Parte F\]|https://www.familysearch.org/indexing/admin-new/#/projects/86FBF6B6-4E1E-4938-83FE-1933234FD6E5/overview];2;READY_FOR_DELIVERY
[4B3B8911-F119-4668-9E4E-A01CF46DF79E];[Perú, Lima—Registros Civiles, 1917–1995 \[Parte F\]|https://www.familysearch.org/indexing/admin-new/#/projects/4B3B8911-F119-4668-9E4E-A01CF46DF79E/overview];2;READY_FOR_DELIVERY
[F539DD35-7557-4555-AF64-61E7D4EC9458];[Chile—Registros de cementerios, 1880–2015 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/F539DD35-7557-4555-AF64-61E7D4EC9458/overview];1;READY_FOR_DELIVERY
